asx500_name,morningstar_name,match_score
finbar,finbar,100
flinders mines,flinders mines,100
gowing brothers,gowing brothers,100
greatcell solar,greatcell solar,100
handini resources,handini resources,100
heartware international inc,"heartware international, inc",98
idt australia,idt australia,100
infomedia,infomedia,100
integra mining,integra mining,100
kazia therapeutics,kazia therapeutics,100
berkeley energia,berkeley energia,100
cash converters international,cash converters international,100
carsales.com,carsales.com,100
atlas arteria,atlas arteria,100
accent,accent,100
adamus resources,adamus resources,100
allkem,allkem,100
amcom telecommunications,amcom telecommunications,100
australian silica quartz,australian silica quartz,100
blue star helium,blue star helium,100
brisconnections unit trust,brisconnections unit trusts,98
brookside energy,brookside energy,100
capral,capral,100
centrex,centrex,100
coalspur mines,coalspur mines,100
decmil,decmil,100
discovery metals,discovery metals,100
drillsearch energy,drillsearch energy,100
evolution mining,evolution mining,100
ferraus,ferraus,100
focus minerals,focus minerals,100
forge,forge,100
galaxy resources,galaxy resources,100
gold one international,gold one international,100
highlands pacific,highlands pacific,100
hillgrove resources,hillgrove resources,100
hutchison telecommunications australia,hutchison telecommunications (australia),99
k2 asset management,k2 asset management,100
kangaroo resources,kangaroo resources,100
kingsrose mining,kingsrose mining,100
kmd brands,kmd brands,100
dart energy,dart energy,100
dulux,dulux,100
ampella mining,ampella mining,100
aurora oil & gas,aurora oil & gas,100
aeris resources,aeris resources,100
acrow formwork and construction services,acrow formwork and construction services,100
alkane resources,alkane resources,100
aspire mining,aspire mining,100
aston resources,aston resources,100
atlantic,atlantic,100
aurizon,aurizon,100
azumah resources,azumah resources,100
bandanna energy,bandanna energy,100
bathurst resources,bathurst resources,100
beadell resources,beadell resources,100
calima energy,calima energy,100
chalice mining,chalice mining,100
chandler macleod,chandler macleod,100
continental coal,continental coal,100
countplus,countplus,100
danakali,danakali,100
equatorial resources,equatorial resources,100
exco resources,exco resources,100
g8 education,g8 education,100
gerard lighting,gerard lighting,100
hunnu coal,hunnu coal,100
impedimed,impedimed,100
indiana resources,indiana resources,100
jupiter mines,jupiter mines,100
kore potash plc,kore potash plc,100
kula gold,kula gold,100
los cerros,los cerros,100
immutep,immutep,100
chorus,chorus,100
ainsworth game technology,ainsworth game technology,100
alcyone resources,alcyone resources,100
alliance aviation services,alliance aviation services,100
antilles gold,antilles gold,100
audio pixels,audio pixel,96
aurelia metals,aurelia metals,100
ausgold,ausgold,100
avecho biotechnology,avecho biotechnology,100
azimuth resources,azimuth resources,100
base resources,base resources,100
bci minerals,bci minerals,100
bega cheese,bega cheese,100
big river gold,big river gold,100
bionomics,bionomics,100
blackgold international,blackgold international,100
carabella resources,carabella resources,100
cobar consolidated resources,cobar consolidated resources,100
cokal,cokal,100
collins foods,collins foods,100
copper mountain mining,copper mountain mining,100
corporate travel management,corporate travel management,100
doray minerals,doray minerals,100
dragon mountain gold,dragon mountain gold,100
empire oil & gas nl,empire oil & gas nl,100
finders resources,finders resources,100
gold road resources,gold road resources,100
gr engineering services,gr engineering services,100
hansen technologies,hansen technologies,100
freedom oil and gas,freedom oil and gas,100
altium,altium,100
ama,ama,100
avanco resources,avanco resources,100
bigair,bigair,100
calibre,calibre,100
central petroleum,central petroleum,100
collection house,collection house,100
coventry,coventry,100
cti logistics,cti logistics,100
donaco international,donaco international,100
far,far,100
gale pacific,gale pacific,100
greencross,greencross,100
hot chili,hot chili,100
indochine mining,indochine mining,100
integrated research,integrated research,100
iron road,iron road,100
jumbo interactive,jumbo interactive,100
jupiter energy,jupiter energy,100
lifestyle communities,lifestyle communities,100
ampol,ampol,100
carindale property trust,carindale property trust,100
arena reit,arena reit,100
centuria industrial reit,centuria industrial reit,100
iselect,iselect,100
adslot,adslot,100
affinity education,affinity education,100
amex resources,amex resources,100
anteotech,anteotech,100
anteris technologies,anteris technologies,100
atrum coal,atrum coal,100
aumake,aumake,100
australian industrial reit,australian industrial reit,100
beyond international,beyond international,100
capitol health,capitol health,100
cover-more,cover-more,100
dexus industria reit,dexus industria reit,100
dicker data,dicker data,100
dshe,dshe,100
energy action,energy action,100
folkestone,folkestone,100
freelancer,freelancer,100
fsa,fsa,100
gbst,gbst,100
gi dynamics inc,"gi dynamics, inc",97
good drinks australia,good drinks australia,100
hotel property investments,hotel property investments,100
icar asia,icar asia,100
kelsian,kelsian,100
