yearmonth,log_scope1,log_scope2,log_total_emissions,log_energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int,year,month,smb,hml,rmw,cma,wml,asx500_ret,rf,rmrf
200901,0.0356095876127402,0.006778611318752,0.0430074253979891,0.0095438245742367,,,,,0.0022664952027597,0.0311220176421521,0.0025094944818806,-4.01132394212e-06,2009,1,0.0715909285094,0.1096852435016,0.0189691205116999,0.095480583674,0.0992469707495002,-0.024548084767215,0.03251,-0.0570580847672149
200902,-0.0251720324507199,-0.0689754126496682,-0.1440747309534682,-0.0370662393749481,,,,,-0.0181887023785842,-0.1218843394189134,-0.0190395993432468,-0.0007390798050022,2009,2,0.0311373719029,-0.0448737219724999,0.0085933991787001,-0.036394794178,0.0006132318427001,-0.0295648649286973,0.0261099999999999,-0.0556748649286973
200903,-0.0085984796498151,0.0156822657567319,0.0070032846687837,-0.0124830099619377,,,,,-0.0012225011093353,0.0473396354651531,0.0007910820321503,-0.0003183933613371,2009,3,-0.0896038117354999,-0.1220005817149999,-0.0365482319139999,-0.1329873124037,-0.1604071872849,0.0885401408317803,0.0275636363636363,0.0609765044681439
200904,-0.0334261466632739,0.0055663869178413,-0.0690521547725682,0.0051311924021555,,,,,-0.0082791449356354,-0.0577483940797372,-0.0086273584519271,-3.64983284614e-05,2009,4,-0.053768121466,-0.068431782851,-0.070702285259,-0.108543992059,-0.188011576339,0.0623542628757818,0.027175,0.0351792628757818
200905,0.0118017740581187,-0.0236012497851541,0.0069380848951868,-0.0223498266590167,,,,,0.0017382666093522,0.0176222098903092,0.0009257996987401,-0.0003834862099769,2009,5,0.014547332852,-0.0326494568199998,-0.152753349604,-0.1396227252399999,-0.2473305740439999,0.042837065705702,0.0285761904761904,0.0142608752295115
200906,0.0161302536352763,0.0117022800748934,0.0206553526302877,0.0333728161644038,,,,,0.0032128437700004,0.0109676767806152,0.0033566244946243,0.0006356704466978,2009,6,-0.0303558296392,-0.051223071439,0.0045529206613998,-0.0236276068158999,-0.0208973134962999,0.0174570991924363,0.0293380952380952,-0.0118809960456589
200907,0.0311880771612376,0.0018249010545754,0.0627489950135933,0.0197598783938348,,,,,0.006327858122518,-0.0445885566491739,0.005657922237822,0.0004204153674384,2009,7,-0.0197747136588001,0.0452862209803999,-0.0175210969469,-0.0369217973363,-0.0447604641602999,0.0844314569205422,0.0293869565217391,0.055044500398803
200908,-0.0463709364375764,0.0251477309002793,-0.0917354022656873,0.0024219702956321,,,,,-0.0088387414319178,0.0231802348111119,-0.0090187259417003,-0.0002475067127517,2009,8,0.0258257711762002,-0.063663886846,0.0616413674960001,-0.0446214348081999,-0.0576452880154,0.0504295890179784,0.0307142857142857,0.0197153033036926
200909,-0.0159326921488781,-0.0031383131915681,-0.0310705356242428,-0.0167401118822262,,,,,-0.0057097684561404,0.0130185529085479,-0.0051554929668914,-0.0003987614450939,2009,9,-0.0436881714304001,-0.0413994315135999,-0.0354868533951999,-0.0736325186752,-0.0488378362432,0.0569867143729662,0.0313181818181818,0.0256685325547843
200910,0.0080948445504098,0.0011436897308857,0.0080901417171015,0.0102249106448512,,,,,0.0008977009381486,-0.0340301069282691,-4.27406558185e-05,0.000101411780643,2009,10,-0.023349350532,-0.0185458356319999,-0.061104977646,-0.023541491128,-0.02728823275,-0.0137746864658028,0.0357545454545454,-0.0495292319203482
200911,-0.0001728835449125,0.0129154465626629,0.0159978252791152,0.0151396782169554,,,,,0.0047505446812069,0.0301214779724668,0.006024981243113,0.0003729641733258,2009,11,0.0148168123415,-0.0275046520464998,-0.0071424380484998,-0.0064437346269999,0.0106245918125,0.0339878168028946,0.0369761904761904,-0.0029883736732958
200912,0.0162566577177621,-0.002143875335085,0.0210365775209334,0.0045911624099154,,,,,0.0016882427015659,-0.0199571340984335,0.0007886354450915,-0.0002206407296121,2009,12,0.0191069458074,0.0386520232899998,0.0368100788152001,0.0296469614132,0.0301586126561999,0.0430804853069711,0.0382571428571428,0.0048233424498282
201001,-0.0023805615513186,-0.0161458875003437,-0.0291838963905171,0.0036590319172435,,,,,-0.0001373037217645,0.0643458417296401,0.0002088897932753,0.0003692938017139,2010,1,0.0522391742876,0.0065334160474002,0.0179095188693001,0.0237485804946999,-0.0205477490772999,-0.0596125444495277,0.0394578947368421,-0.0990704391863698
201002,-0.0128567934182779,-0.0102395935922707,-0.0312304750252391,-0.0098063909783374,0.0440841738804975,-0.270472963172244,0.0050030347340481,0.0289656895349152,-0.0033432577162813,0.0204438799320341,-0.0030546195800709,-0.0003175515538611,2010,2,-0.0196996514175999,0.0168413644353999,0.0010236096278,-0.0108897626639999,0.01113495922,0.0178602857591792,0.03864,-0.0207797142408208
201003,0.0225940763820729,0.0167837148541778,0.015102805609347,0.0161311318663109,-0.0818644946478226,0.1150914210330933,-0.0807363025371686,-0.1372121162188087,0.0022756401169729,0.1187742430132346,0.002841458587112,0.0005899090752299,2010,3,-0.0324681520081999,-0.0166308662858999,-0.0188655753141999,-0.0482082764683999,-0.0121614482293,0.0595637227429866,0.0412304347826086,0.0183332879603779
201004,-0.0034923239098819,0.0030604519493044,-0.0128703259581033,-0.000569016489754,,,,,-0.0021023946945754,0.0093390402168879,-0.0019967799337781,-3.61839481943e-05,2010,4,0.023641355174,-0.0237293867769999,-0.0052144190289999,0.0078839358140001,-0.0110249674179999,-0.0071051117944748,0.0437,-0.0508051117944748
