yearmonth,ticker,industry,carbon_beta,logsize,bm,leverage,mom,investa,roe,logppe,beta,volat,salesgr,epsgr,log_scope1,log_scope2,log_total_emissions,log_energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int
200901,AGL,91.0,0.545586391627116,22.518246645418728,0.9711498858549594,0.1239886216476474,0.0154443555320713,-0.0654033891551462,-0.0853999999999999,21.600524637846807,0.3451,0.1272551862733779,0.1917254062555941,22.619310405721603,14.3002463835305,10.87583720514026,14.332295787946718,17.52329044330219,,,,,2.363806556804286,0.0769856751877948,2.4407922319920807,59.34200052407849
200901,AIO,81.0,0.6806482250522191,21.210094298500696,1.3543744771586252,0.6220724920564068,-0.0824562399773543,-0.0624556409605286,0.0039,21.704653808845663,3.99,0.513540494820965,-0.1503657691419184,-1.5485074626865665,13.841222163400168,11.351582314561464,13.920901573156986,16.52622274616618,,,,,3.651018504087467,0.3028148616267741,3.9538333657142415,53.51739566408972
200901,AMP,104.0,0.8340965043677864,23.341765582290066,0.1920506495463981,0.1374819102749638,-0.046213970171215,0.0,0.2952,19.978825361998915,1.0059,0.1415089413578003,0.0636037221507579,1.138519924098672,8.995412975433313,12.120155215416954,12.163165144518898,13.584176052186194,,,,,0.0071053558844256,0.1616754756871035,0.1687808315715292,0.6989728682170542
200901,BKN,43.0,0.4202429874854664,20.119946153480036,0.6392314769493411,0.4300163121915356,-0.0620098685056806,-0.0845811150354127,0.1626,19.785061751760367,2.89,0.3784504187935534,1.5197066789984806,-1.020408163265306,10.488520429241628,11.523924750428597,11.827787298395473,13.909681907729585,,,,,0.2934869777977972,0.8265311377739919,1.120018115571789,8.982151747343362
200901,BKW,30.0,0.3335905530820406,21.26315136818684,0.7993004149123684,0.1873297640768951,-0.0233682293921937,-0.0085455155127777,0.0828999999999999,19.80649749103283,0.4788,0.1467546620868785,0.0063089538117491,14.538095238095236,12.60941884366667,11.748337450338292,12.961978639486947,15.669064787658836,,,,,5.047666740856147,2.1336725815915667,7.181339322447712,107.616292009793
200901,BLD,30.0,0.4295110827430183,21.60416333566519,1.141121610696323,0.2939430361305361,-0.0170739526252826,-0.0421583624708624,0.0475999999999999,21.855957439267385,1.3384,0.1272911613616482,-0.1450860045903499,-9.426368892415828,14.828304575790284,13.261128301182454,15.017794937703298,,,,,,5.57864205535519,1.1638914778943956,6.742533533249586,
200901,BSL,56.0,3.069648050002726,22.252131903457688,1.2276977833494944,0.1268979987816709,-0.0688726544279639,-0.084064706811362,0.0078,22.172910513567064,1.4175,1.918588235284672,-0.0785486092792872,-6.033631444983795,15.888728900647708,14.063495783929286,16.03816568692898,19.052555285903345,,,,,7.657101993643456,1.2341722045651544,8.891274198208611,181.17437542136184
200901,CCL,114.0,0.105014651421856,22.878159432741,0.1854764297218632,0.4407804983126301,0.0002489757466002,-0.0552164859625188,0.2805999999999999,21.099782623098683,0.28,0.0887367742695268,0.0473473171586855,0.7912568306010923,10.975139659621457,11.744981184671014,12.125529395939765,14.223107392328645,,,,,0.1284507785695434,0.2773796956100994,0.4058304741796428,3.3060636051728687
200901,CEY,49.0,0.7955898953174827,20.63937489479748,0.7185180458324145,0.1850668460438913,0.0280959855647428,-0.1468090473387707,0.1241,20.59429545564945,1.38,0.7900850709927336,-0.2297767882628304,-25.300353356890454,14.671914121036664,12.483473294823778,14.77815649189231,14.31701285426938,,,,,26.31218013185831,2.949368644541289,29.2615487763996,18.45122360040228
200901,CSR,30.0,1.5167261157687,21.15717004260247,1.0280112662756735,0.2874844809473785,-0.0278877590263593,-0.113718842517429,0.0935,21.53712509266862,1.8003,0.1693771948769602,0.1411086798753703,-16.012569146672778,13.376293714543603,12.979374835149926,13.890546599328507,17.87466235594408,,,,,1.8155573082448384,1.2207599785921524,3.0363172868369905,163.16486296160673
200901,DOW,216.0,1.722906391089547,21.33884280024312,0.7188472912554305,0.2397728821204526,-0.0212491969842575,-0.086236276964632,0.1338,20.556389191085504,0.9554,0.0980098000016019,0.3384838873273335,2.062988664552391,12.208335084284426,10.720863616235846,12.412045622655407,16.112023351810397,,,,,0.3426747927271633,0.0774250524432458,0.4200998451704091,16.99152787932694
200901,FGL1,67.0,0.5157204384745803,23.0190569027162,0.3783014793164517,0.3431413525035526,-0.0119956398682637,-0.0222471668597222,0.1939999999999999,21.385335061935496,0.32,0.0851403292712967,0.0098522261180992,3.91264367816092,11.106474871430772,12.036754180910872,12.369249608476444,14.343160849892646,,,,,0.1418038197031958,0.3595034811676283,0.5013073008708242,3.608799795601167
200901,FMG,56.0,1.587354262283093,23.18367242030919,0.0895357225468148,0.5829787677859374,-0.0745902840019333,-0.2188571478506213,0.1362,22.052353536503627,2.2993,0.2995480642321442,0.381199638993526,100.11299435028248,12.68931019389621,10.522961281909057,12.797801529664916,15.395316961513766,,,,,1.416327971144541,0.1623044598975523,1.5786324310420932,21.20155131230865
200901,GFF,71.0,1.360136279725797,21.29332125326545,0.9166093870623868,0.3437943949373628,-0.0241327880949636,-0.0302208446338628,0.1051,20.01541102751419,0.55,0.1973360436276783,-0.0997113876501448,7.832167832167832,11.503450721007685,11.476925160729186,12.183423069518572,14.476918330489063,,,,,0.3969584034623707,0.386567283802196,0.7835256872645668,7.764358419491865
