yearmonth,ticker,industry,ret,ln_marketcap,bm,roe,leverage,investa,logppe,ppea,carbon_beta
201612,1AL,252010,-0.0102040712307373,18.624029667938395,0.183030656874745,0.4081,0.0,-0.0081822938904041,15.48156847265415,0.171719906985813,-3.835418861697417
201701,1AL,252010,0.0154639015995328,18.618752610837557,0.1741988925802879,0.3483,0.0659647124707655,-0.0049369909937001,15.41852307166591,0.1513349340958766,0.6115348508259209
201702,1AL,252010,-0.0101522739673789,18.618752610837557,0.1741988925802879,0.3483,0.0659647124707655,-0.0049369909937001,15.41852307166591,0.1513349340958766,-0.0448041732438924
201703,1AL,252010,-0.0307692618067052,18.618752610837557,0.1741988925802879,0.3483,0.0659647124707655,-0.0049369909937001,15.41852307166591,0.1513349340958766,-0.210894700500571
201704,1AL,252010,0.0052910000391925,18.618752610837557,0.1741988925802879,0.3483,0.0659647124707655,-0.0049369909937001,15.41852307166591,0.1513349340958766,-0.3826992692049231
201705,1AL,252010,-0.0052631526980607,18.618752610837557,0.1741988925802879,0.3483,0.0659647124707655,-0.0049369909937001,15.41852307166591,0.1513349340958766,-0.1385670781344549
201706,1AL,252010,-0.0370370023907503,18.618752610837557,0.1741988925802879,0.3483,0.0659647124707655,-0.0049369909937001,15.41852307166591,0.1513349340958766,-0.1018490739110893
201707,1AL,252010,-0.0329670660910508,18.618752610837557,0.1741988925802879,0.3483,0.0659647124707655,-0.0049369909937001,15.41852307166591,0.1513349340958766,0.014947441567839
201708,1AL,252010,0.1136363915547522,18.618752610837557,0.1741988925802879,0.3483,0.0659647124707655,-0.0049369909937001,15.41852307166591,0.1513349340958766,-0.2002309393920321
201709,1AL,252010,0.0,18.618752610837557,0.1741988925802879,0.3483,0.0659647124707655,-0.0049369909937001,15.41852307166591,0.1513349340958766,-0.1717374374750322
201710,1AL,252010,-0.0102040712307373,18.618752610837557,0.1741988925802879,0.3483,0.0659647124707655,-0.0049369909937001,15.41852307166591,0.1513349340958766,-0.1776210368206812
201711,1AL,252010,-0.0103093295886901,18.618752610837557,0.1741988925802879,0.3483,0.0659647124707655,-0.0049369909937001,15.41852307166591,0.1513349340958766,-0.190465629340878
201712,1AL,252010,-0.0156249857584631,18.618752610837557,0.1741988925802879,0.3483,0.0659647124707655,-0.0049369909937001,15.41852307166591,0.1513349340958766,-0.2371162009133732
201801,1AL,252010,0.0158730011757788,18.56996244666812,0.2125992161929371,0.3726,0.2532946965051677,-0.138754751443327,16.17318356167417,0.2473580801089371,-0.267970367144495
201802,1AL,252010,-0.0625000044921875,18.56996244666812,0.2125992161929371,0.3726,0.2532946965051677,-0.138754751443327,16.17318356167417,0.2473580801089371,-0.4001255501484462
202103,360,451030,0.0958904260430344,21.285313525339078,0.1966977890074976,-0.1086999999999999,0.0474058563527351,0.0,14.92790082618127,0.007281279403155,-3.551244849109752
202104,360,451030,0.2020832815421027,21.285313525339078,0.1966977890074976,-0.1086999999999999,0.0474058563527351,0.0,14.92790082618127,0.007281279403155,-2.519050959691589
