var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
scope1_int,3.2080710e-08,1.8775415e-07,.17086551,.8648445,-3.4267816e-07,4.0683958e-07,3560,.23016435
logsize,-.0051558954,.0052109114,-.98944217,.32600674,-.015556918,.0052451277,3560,.23016435
winsor_bm,-.029853368,.010488673,-2.8462484,.0058651757,-.05078885,-.0089178886,3560,.23016435
winsor_leverage,-.012266929,.016075324,-.76309061,.44808793,-.044353411,.019819552,3560,.23016435
winsor_mom,-.062286917,.11688384,-.53289586,.59586883,-.29558805,.17101422,3560,.23016435
winsor_investa,.15127961,.045624964,3.3157201,.0014785082,.060211804,.24234742,3560,.23016435
winsor_roe,.0020270168,.021560622,.094014764,.92537802,-.041008167,.045062199,3560,.23016435
logppe,.0027145226,.0044913692,.60438645,.54762799,-.0062502879,.011679334,3560,.23016435
beta,.0040251231,.0052029355,.77362537,.44187349,-.00635998,.014410226,3560,.23016435
winsor_volat,.0098931585,.0098816324,1.0011665,.3203485,-.009830663,.02961698,3560,.23016435
winsor_salesgr,.0063522574,.0046200026,1.3749467,.17372866,-.0028693066,.015573821,3560,.23016435
winsor_epsgr,.00011312678,.000069799367,1.6207422,.10977032,-.000026193346,.00025244689,3560,.23016435
_cons,.088608295,.053700965,1.6500317,.10361727,-.018579282,.19579588,3560,.23016435
