Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
ONT AT Equity,1300SMILES Ltd,Health Care Providers & Services,351020,7.110000134,6.900000095,163380848
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,0.959999979,0.939999998,232652368
3PL AT Equity,3P Learning Ltd,Diversified Consumer Services,253020,1.679999948,1.409999967,193477792
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,3.109999895,2.960000038,356474816
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.00999999,2.900000095,1614072960
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,1.585000038,1.450000048,682037632
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,0.067000002,0.017999999,52871288
MIG AT Equity,ACN 059457279 Ltd,Interactive Media & Services,502030,0.850000024,0.579999983,158941344
ACX AT Equity,Aconex Ltd,Interactive Media & Services,502030,5,4.949999809,829723968
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,0.704999983,0.660000026,109904328
ADH AT Equity,Adairs Ltd,Specialty Retail,255040,2.519999981,2.519999981,418004448
ABC AT Equity,Adbri Ltd,Construction Materials,151020,4.730000019,4.949999809,3211984384
ADS AT Equity,Adslot Ltd,Software,451030,0.097999997,0.082000002,86860232
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,18.60000038,18.34000015,12374225920
AGI AT Equity,Ainsworth Game Technology Ltd,"Hotels, Restaurants & Leisure",253010,2.220000029,2.190000057,706420352
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,0.340000004,0.289999992,77541304
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,2.200000048,2.75999999,804268096
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.829999924,3.950000048,773287872
ALK AT Equity,Alkane Resources Ltd,Metals & Mining,151040,0.204999998,0.239999995,99412480
AQZ AT Equity,Alliance Aviation Services Ltd,Airlines,203020,0.5,0.449999988,54447664
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,2.5,2.329999924,452845376
ALQ AT Equity,ALS Ltd,Professional Services,202020,3.309999943,3.720000029,1875679488
ATH AT Equity,Alterity Therapeutics ltd,Biotechnology,352010,0.075999998,0.088,46982452
ALU AT Equity,Altium Ltd,Software,451030,4.920000076,5.610000134,730510720
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.034999967,1.345000029,3873389568
AMA AT Equity,AMA Group Ltd,Commercial Services & Supplies,202010,0.920000017,0.779999971,369164288
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,13.30000019,14.01000023,16225558528
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,5.369999886,5.320000172,15735165952
ALD AT Equity,Ampol Ltd,"Oil, Gas & Consumable Fuels",101020,37.15000153,36.54000092,9865799680
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,2.5,3.349999905,6822376960
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,20.04000092,17.20000076,2603139584
ADO AT Equity,Anteotech Ltd,Life Sciences Tools & Services,352030,0.071000002,0.061999999,63201100
AVR AT Equity,Anteris Technologies Ltd,Health Care Equipment & Supplies,351010,0.629999995,0.460000008,90277200
APA AT Equity,APA Group,Gas Utilities,551020,8.479999542,8.720000267,9716760576
APO AT Equity,APN Outdoor Group Pty Ltd,Media,502010,6,6.099999905,1016348480
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,15.22999954,15.06999969,1193064960
AAI AT Equity,Arconic Inc/PA,Aerospace & Defense,201010,12.10000038,12,15778151424
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,2.049999952,1.985000014,919133632
ARF AT Equity,Arena REIT,Equity Real Estate Investment Trusts (REITs),601010,1.769999981,1.86500001,431026208
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,10.25,10,6371196416
AHY AT Equity,Asaleo Care Ltd,Personal Products,303020,1.554999948,1.720000029,974332160
AFA AT Equity,ASF Group Ltd,Diversified Financial Services,402010,0.25999999,0.280000001,169081312
ASZ AT Equity,ASG Group Ltd,IT Services,451020,1.149999976,1.034999967,211798336
ASH AT Equity,Ashley Services Group Ltd,Professional Services,202020,0.155000001,0.159999996,24000000
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,1.225000024,1.200000048,135848368
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,5.329999924,5.840000153,354210400
ASX AT Equity,ASX Ltd,Capital Markets,402030,42.34999847,42.02999878,8136804864
ALX AT Equity,Atlas Arteria Ltd,Transportation Infrastructure,203050,4.269999981,4.71999979,2442528768
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,0.016000001,0.014,37377020
ATU AT Equity,Atrum Coal Ltd,Metals & Mining,151040,0.36500001,0.455000013,84904352
AUB AT Equity,AUB Group Ltd,Insurance,403010,8.579999924,8.449999809,534653088
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,5.050000191,5.690000057,6775321088
AKP AT Equity,Audio Pixels Holdings Ltd,Household Durables,252010,7.5,7.849999905,201800320
AMI AT Equity,Aurelia Metals Ltd,Metals & Mining,151040,0.052000001,0.059999999,23279470
AZJ AT Equity,Aurizon Holdings Ltd,Road & Rail,203040,3.690000057,4.070000172,8519936000
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,1.465000033,1.465000033,5182635520
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,1.304999948,1.38499999,481517600
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,24.18000031,22.39999962,65353347072
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,1.335000038,1.200000048,639523456
ACO AT Equity,Australian Careers Network Ltd,Diversified Consumer Services,253020,2.799999952,--,--
API AT Equity,Australian Pharmaceutical Industries Ltd,Health Care Providers & Services,351020,2.089999914,1.945000052,951293504
ABA AT Equity,Auswide Bank Ltd,Thrifts & Mortgage Finance,401020,5.300000191,5.150000095,191271680
AHG AT Equity,Automotive Holdings Group Ltd,Specialty Retail,255040,4.329999924,4.059999943,1244558208
AVB AT Equity,Avanco Resources Ltd,Metals & Mining,151040,0.057999998,0.07,171983456
AOG AT Equity,Aveo Group,Real Estate Management & Development,601020,2.970000029,3.170000076,1722020480
AVJ AT Equity,AVJennings Ltd,Household Durables,252010,0.540000021,0.540000021,207588880
AWE AT Equity,AWE Ltd,"Oil, Gas & Consumable Fuels",101020,0.514999986,0.485000014,255466880
AWN AT Equity,AWN Holdings Ltd,Industrial Conglomerates,201050,0.550000012,0.550000012,89737912
BOQ AT Equity,Bank of Queensland Ltd,Banks,401010,13.09000015,10.55000019,3968552192
BAP AT Equity,Bapcor Ltd,Distributors,255010,4.199999809,4.699999809,1149727104
BSE AT Equity,Base Resources Ltd,Metals & Mining,151040,0.029088043,0.076942571,56339804
BCI AT Equity,BCI Minerals Ltd,Metals & Mining,151040,0.079999998,0.104999997,20600684
BPT AT Equity,Beach Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.375,0.529999971,690525312
BLX AT Equity,Beacon Lighting Group Ltd,Specialty Retail,255040,2,1.809999943,389424864
