Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
ONT AT Equity,1300SMILES Ltd,Health Care Providers & Services,351020,6.460000038,6.25,147989904
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,1.315000057,1.24000001,308391104
3PL AT Equity,3P Learning Ltd,Diversified Consumer Services,253020,2.339999914,2.549999952,343777408
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,4.639999866,4.53000021,545550976
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,2.910000086,2.950000048,1631857920
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,1.029999971,1.00999999,307386368
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,0.170000002,0.174999997,514026400
MIG AT Equity,ACN 059457279 Ltd,Interactive Media & Services,502030,0.779999971,0.660000026,173212832
ACX AT Equity,Aconex Ltd,Interactive Media & Services,502030,2.049999952,2.299999952,378367616
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,0.860000014,0.889999986,148204320
ABC AT Equity,Adbri Ltd,Construction Materials,151020,4.53000021,4.519999981,2930169856
ADS AT Equity,Adslot Ltd,Software,451030,0.090000004,0.090000004,94837568
AFJ AT Equity,Affinity Education Group Ltd,Diversified Consumer Services,253020,1.105000019,1.080000043,249967776
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,15.19999981,15.18999958,10248881152
AGI AT Equity,Ainsworth Game Technology Ltd,"Hotels, Restaurants & Leisure",253010,2.890000105,2.799999952,902549248
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,0.234999999,0.319999993,85562824
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,2.839999914,2.940000057,855064128
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.819999933,3.799999952,743668864
ALK AT Equity,Alkane Resources Ltd,Metals & Mining,151040,0.289999992,0.270000011,111839040
AQZ AT Equity,Alliance Aviation Services Ltd,Airlines,203020,0.495000005,0.474999994,50554080
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,2.339999914,2.440000057,370034944
ALQ AT Equity,ALS Ltd,Professional Services,202020,4.960000038,5.269999981,2146188032
ATH AT Equity,Alterity Therapeutics ltd,Biotechnology,352010,0.144999996,0.140000001,73795048
ALU AT Equity,Altium Ltd,Software,451030,4.449999809,5.199999809,672218368
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.605000019,1.544999957,4335618560
AMA AT Equity,AMA Group Ltd,Commercial Services & Supplies,202010,0.529999971,0.5,167125488
1942012D AT Equity,Amcom Telecommunications Pty Ltd,Diversified Telecommunication Services,501010,2.700000048,2.299999952,612718016
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,14.03999996,13.52999973,16259719168
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,6.440000057,6.440000057,19047833600
ALD AT Equity,Ampol Ltd,"Oil, Gas & Consumable Fuels",101020,34.95000076,35.43000031,9566100480
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,2.579999924,2.849999905,5778829312
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,27.54999924,26.09000015,3995420672
ADO AT Equity,Anteotech Ltd,Life Sciences Tools & Services,352030,0.093999997,0.090999998,76878120
AVR AT Equity,Anteris Technologies Ltd,Health Care Equipment & Supplies,351010,0.071999997,0.075999998,140226000
APA AT Equity,APA Group,Gas Utilities,551020,9.050000191,9.600000381,10697351168
APO AT Equity,APN Outdoor Group Pty Ltd,Media,502010,3.279999971,3.230000019,538164864
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,12.40999985,12.57999992,995785152
AAI AT Equity,Arconic Inc/PA,Aerospace & Defense,201010,23.69000053,21.39999962,26158970880
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,2.24000001,1.985000014,878009408
ARF AT Equity,Arena REIT,Equity Real Estate Investment Trusts (REITs),601010,1.649999976,1.669999957,380048896
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,8.430000305,8.319999695,5273401344
AHY AT Equity,Asaleo Care Ltd,Personal Products,303020,1.889999986,1.845000029,1113401088
AFA AT Equity,ASF Group Ltd,Diversified Financial Services,402010,0.305000007,0.340000004,206198240
ASZ AT Equity,ASG Group Ltd,IT Services,451020,0.790000021,0.75999999,157107840
ASH AT Equity,Ashley Services Group Ltd,Professional Services,202020,1.299999952,0.620000005,93000000
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,1.269999981,1.25999999,142611152
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,5,5.289999962,355550176
ASX AT Equity,ASX Ltd,Capital Markets,402030,41.40999985,42.15000153,8160036352
ALX AT Equity,Atlas Arteria Ltd,Transportation Infrastructure,203050,3.25,3.25999999,1667616640
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,0.185000002,0.119999997,110337080
ATU AT Equity,Atrum Coal Ltd,Metals & Mining,151040,1.325000048,1.190000057,202470128
AUB AT Equity,AUB Group Ltd,Insurance,403010,8.680000305,8.539999962,531672096
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,4.449999809,4.429999828,5273908736
AKP AT Equity,Audio Pixels Holdings Ltd,Household Durables,252010,10.39999962,9.5,244216944
AMI AT Equity,Aurelia Metals Ltd,Metals & Mining,151040,0.264999986,0.25,96997792
AZJ AT Equity,Aurizon Holdings Ltd,Road & Rail,203040,4.849999905,4.849999905,10301080576
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,1.460000038,1.475000024,5113696768
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,1.75999999,1.99000001,690377664
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,36.63999939,33.99000168,94015668224
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,1.605000019,1.620000005,863356672
ACO AT Equity,Australian Careers Network Ltd,Diversified Consumer Services,253020,1.769999981,1.700000048,142372912
ANI AT Equity,Australian Industrial REIT,Equity Real Estate Investment Trusts (REITs),601010,2.339999914,2.359999895,227239760
