index,year,month,portfolio_ret,ASX200,pmc
0,2009,8,0.04766877492938717,0.05540362865221482,-0.007734853722827652
1,2009,9,-0.021351869711775297,0.05905249966902071,-0.08040436938079601
2,2009,10,-0.017465508425743365,-0.02116667021527996,0.0037011617895365938
3,2009,11,0.018839127312684674,0.012516717888194195,0.0063224094244904785
4,2009,12,0.05474919948808826,0.03600945941461897,0.01873974007346929
5,2010,1,-0.04946335488058839,-0.06180377490354949,0.012340420022961103
6,2010,2,0.003623565632127434,0.014902343019119524,-0.01127877738699209
7,2010,3,0.03859181948742503,0.051275466474330456,-0.012683646986905425
8,2010,4,-0.032196299586912135,-0.013977802554642316,-0.01821849703226982
9,2010,5,-0.05749203126085898,-0.07856587608143928,0.0210738448205803
10,2010,6,-0.015373412086074149,-0.028933970731918723,0.013560558645844574
11,2010,7,0.04228519645509178,0.04462927385398219,-0.0023440773988904068
12,2010,8,0.016334271881979563,-0.019861456951932865,0.03619572883391243
13,2010,9,0.03824497069019158,0.04056918008369226,-0.002324209393500677
14,2010,10,0.017626013127054994,0.017169891767363277,0.0004561213596917177
15,2010,11,-0.0360613145677182,-0.01655399419168624,-0.019507320376031964
16,2010,12,0.01995742896170707,0.035077891976007525,-0.015120463014300454
17,2011,1,-0.011433845541815703,0.0018283592940964155,-0.013262204835912119
18,2011,2,0.011583413960324505,0.016353261754419757,-0.004769847794095252
19,2011,3,-0.005729420583594872,0.0012887920828801303,-0.007018212666475002
20,2011,4,-0.03866843668788783,-0.003027150511907717,-0.035641286175980114
21,2011,5,0.004520791892315476,-0.02383067142861306,0.028351463320928534
22,2011,6,-0.021760387609922247,-0.02130961576977819,-0.0004507718401440576
23,2011,7,-0.031714284556097636,-0.03978328828452471,0.008069003728427074
24,2011,8,-0.05218479011630148,-0.028951023189431213,-0.023233766926870264
25,2011,9,-0.10625500256904169,-0.06701846855160654,-0.039236534017435154
26,2011,10,0.07171552455963688,0.07222323809390763,-0.0005077135342707456
27,2011,11,-0.0370649365061702,-0.041482622723041596,0.004417686216871393
28,2011,12,-0.015241477204934508,-0.015354083774615113,0.00011260656968060424
29,2012,1,0.05822286066601608,0.05081152503599107,0.007411335630025009
30,2012,2,0.029069234042565232,0.008414190133906096,0.020655043908659135
31,2012,3,0.032209082229698247,0.008535674961795303,0.023673407267902943
32,2012,4,-0.007735111342415462,0.014148242841569347,-0.021883354183984807
33,2012,5,-0.06284638913647494,-0.07285604654897193,0.010009657412496986
34,2012,6,6.86755400358696e-06,0.0045080572692055565,-0.00450118971520197
35,2012,7,0.0072271414508299995,0.042620425322611455,-0.03539328387178146
36,2012,8,-0.016523964785620227,0.011001024091926492,-0.02752498887754672
