ticker_year_month,ticker,yearmonth,year,month,ret,mktrf,smb,hml,wml,pmc,winsor_ret,winsor_mktrf,winsor_smb,winsor_hml,winsor_wml,winsor_pmc,ticker_encode,date,_Nobs,_R2,_adjR2,_b_winsor_mktrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_wml,_b_winsor_pmc,_b_cons
ABC_2020_12,ABC,202012,2020,12,.084142394,5.25,1.3,-2.5599999,6.0999999,.035711408,.084142394,5.25,1.3,-2.5599999,6.0999999,.024871632,ABC,2020m12,18,.411031000372074,.1656272505271047,.0141810372023397,.0009872859239019,.0008971473973262,-.0061850103875572,.5328644525133059,.00251805214724
ABC_2020_05,ABC,202005,2020,5,-.0036630037,.31999999,5.6100001,-8.6499996,.47,.023724236,-.0036630037,.31999999,5.6100001,-6,.47,.023724236,ABC,2020m5,18,.411031000372074,.1656272505271047,.0141810372023397,.0009872859239019,.0008971473973262,-.0061850103875572,.5328644525133059,.00251805214724
ABC_2020_07,ABC,202007,2020,7,-.30503145,2.3199999,2.3399999,-6,7.6500001,.020237032,-.22918165,2.3199999,2.3399999,-6,6.71,.020237032,ABC,2020m7,18,.411031000372074,.1656272505271047,.0141810372023397,.0009872859239019,.0008971473973262,-.0061850103875572,.5328644525133059,.00251805214724
ABC_2020_08,ABC,202008,2020,8,.15384616,6.4200001,.41,-3.9100001,3.4200001,.0042903302,.15384616,6.4200001,.41,-3.9100001,3.4200001,.0042903302,ABC,2020m8,18,.411031000372074,.1656272505271047,.0141810372023397,.0009872859239019,.0008971473973262,-.0061850103875572,.5328644525133059,.00251805214724
ABC_2020_01,ABC,202001,2020,1,.05202312,-2.8699999,-1.4400001,-2.96,3.72,.023965102,.05202312,-2.8699999,-1.4400001,-2.96,3.72,.023965102,ABC,2020m1,18,.411031000372074,.1656272505271047,.0141810372023397,.0009872859239019,.0008971473973262,-.0061850103875572,.5328644525133059,.00251805214724
ABC_2020_04,ABC,202004,2020,4,.31884059,11.12,1.13,-5.6599998,4.8600001,.03886361,.25617579,11.12,1.13,-5.6599998,4.8600001,.024871632,ABC,2020m4,18,.411031000372074,.1656272505271047,.0141810372023397,.0009872859239019,.0008971473973262,-.0061850103875572,.5328644525133059,.00251805214724
ABC_2020_06,ABC,202006,2020,6,.16911764,7.5799999,-2.96,1.3,3.0899999,.0047752219,.16911764,7.5799999,-2.96,1.3,3.0899999,.0047752219,ABC,2020m6,18,.411031000372074,.1656272505271047,.0141810372023397,.0009872859239019,.0008971473973262,-.0061850103875572,.5328644525133059,.00251805214724
ABC_2020_10,ABC,202010,2020,10,-.007017544,-.029999999,-.43000001,-.11,.38999999,-.011004752,-.007017544,-.029999999,-.43000001,-.11,.38999999,-.011004752,ABC,2020m10,18,.411031000372074,.1656272505271047,.0141810372023397,.0009872859239019,.0008971473973262,-.0061850103875572,.5328644525133059,.00251805214724
ABY1_2011_12,ABY1,201112,2011,12,-.1038961,-1.04,-1.67,1.2,-.11,-.0012340012,-.1038961,-1.04,-1.67,1.2,-.11,-.0012340012,ABY1,2011m12,32,.6502317682287856,.5829686467343214,.0158628912822494,.0072549405164888,-.0041398056392144,-.0011806794463531,1.600567199115542,-.029323274943368
ABY1_2015_02,ABY1,201502,2015,2,-.050000001,3.25,-.41,-3.1900001,.46000001,.00044278792,-.050000001,3.25,-.41,-3.1900001,.46000001,.00044278792,ABY1,2015m2,32,.6502317682287856,.5829686467343214,.0158628912822494,.0072549405164888,-.0041398056392144,-.0011806794463531,1.600567199115542,-.029323274943368
