ticker_year_month,ticker,industry,year,month,ret,log_scope1,log_scope2,log_total_emissions,log_energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int,logsize,bm,leverage,mom,investa,roe,logppe,beta,volat,salesgr,epsgr,yearmonth,ticker_encode,date,winsor_bm,winsor_leverage,winsor_mom,winsor_investa,winsor_roe,winsor_volat,winsor_salesgr,winsor_epsgr,_b_log_scope1,_b_log_scope2,_b_log_total_emissions,_b_log_energy_consumption,_b_change_scope1,_b_change_scope2,_b_change_total_emissions,_b_change_energy_consumption,_b_scope1_int,_b_scope2_int,_b_total_emissions_int,_b_energy_consumption_int
FMG_2009_08,FMG,56,2009,8,.045023698,12.68931,10.52296128190906,24.202236,15.395317,,,,,141.6328,16.230446,14163296,2120.155,23.183672,.089535721,.58297879,-.022589589,-.21885715,.1362,22.052353,2.2993,.48906431,.13900137,40.181404,200908,FMG,2009m8,.089535721,.58297879,-.022589589,-.21885715,.1362,.48906431,.13900137,40.181404,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
DOW_2009_08,DOW,216,2009,8,.23572978,12.208335,10.72086361623585,23.721262,16.112022,,,,,34.267479,7.7425051,3426755.8,1699.1528,21.338842,.71884727,.23977289,.0046286122,-.086236276,.1338,20.556389,.95539999,.51508802,.14830373,.91575605,200908,DOW,2009m8,.71884727,.23977289,.0046286122,-.086236276,.1338,.51508802,.14830373,.91575605,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
GFF_2009_08,GFF,71,2009,8,.10852713,11.50345,11.47692516072919,23.016386,14.476918,,,,,39.695839,38.656727,3969622.8,776.43585,21.293322,.91660941,.34379441,.014133438,-.030220844,.1051,20.015411,.55000001,.3700175,-.097182289,7.8321676,200908,GFF,2009m8,.91660941,.34379441,.014133438,-.030220844,.1051,.3700175,-.097182289,7.8321676,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
FLX1_2009_08,FLX1,49,2009,8,-.035754189,14.102183,10.46942616635503,25.615108,14.659453,,,,,1733.8063,45.847355,173380672,3027.0513,21.749136,.25525472,.05104265,.034705177,-.095168382,.37760001,19.414835,2.3199999,.011272343,.058820166,2.3325608,200908,FLX1,2009m8,.25525472,.05104265,.034705177,-.095168382,.37760001,.017436754,.058820166,2.3325608,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
GRR_2009_08,GRR,122,2009,8,.072026193,12.162606,10.22976514274727,23.675533,15.190538,,,,,382.02481,55.292885,38202536,7890.5195,19.233652,1.1779701,.19165643,-.050801571,-.13369749,.32390001,20.047087,1.8994,.43043613,1.4713621,64.031219,200908,GRR,2009m8,1.1779701,.19165643,-.050801571,-.13369749,.32390001,.43043613,1.4713621,64.031219,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
AMP_2009_08,AMP,104,2009,8,.13167259,8.9954128,12.12015521541695,22.810946,13.584176,,,,,.71053559,16.167547,710551.75,69.897285,23.341766,.19205065,.13748191,-.0083768358,0,.29519999,19.978825,1.0059,.13178447,.052158527,.94339621,200908,AMP,2009m8,.19205065,.13748191,-.0083768358,-.0014736718,.29519999,.13178447,.052158527,.94339621,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
GNC_2009_08,GNC,35,2009,8,.042675316,9.7384949,11.65304386554574,23.554012,13.331268,,,,,9.5413208,64.727158,9541386,346.68112,20.581348,.79954004,.17841701,-.0012601621,-.02894987,.090999998,19.842546,.74370003,.10310829,.32625562,40.545715,200908,GNC,2009m8,.79954004,.17841701,-.0012601621,-.02894987,.090999998,.10310829,.32625562,40.545715,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
BSL_2009_08,BSL,56,2009,8,-.15133537,15.888729,14.06349578392929,32.006824,19.052555,,,,,765.71021,123.41722,7657102336,18117.438,22.252132,1.2276977,.12689801,-.055076532,-.084064707,.0077999998,22.172911,1.4175,1.0109787,-.046254478,-5.9692864,200908,BSL,2009m8,1.2276977,.12689801,-.055076532,-.084064707,.0077999998,1.0109787,-.046254478,-5.9692864,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
ENV1_2009_08,ENV1,31,2009,8,-.057692308,13.348959,3.80666248977032,17.95413,5.2626901,,,,,1615.9778,.1159495,161597.91,.49729452,20.267416,.75562847,.72055662,-.018244056,-.042425614,.098700002,21.414211,.97000003,.36830789,.068078198,-30.32653,200908,ENV1,2009m8,.75562847,.65629202,-.018244056,-.042425614,.098700002,.36830789,.068078198,-30.32653,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
ILU_2009_08,ILU,122,2009,8,.25391155,13.724843,13.18835708923815,27.540354,16.409966,,,,,1514.8798,885.90149,1514880640,22208.156,21.128029,.73071253,.2232177,-.027196599,-.24857034,-.018999999,21.159065,-.041700002,.36957696,-.27813554,-23.221655,200908,ILU,2009m8,.73071253,.2232177,-.027196599,-.23823786,-.018999999,.36957696,-.27813554,-23.221655,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
CCL_2009_08,CCL,114,2009,8,.062165059,10.97514,11.74498118467101,24.790653,14.223107,,,,,12.845078,27.73797,12845106,330.60635,22.878159,.18547642,.44078049,.017420867,-.055216487,.28060001,21.099783,.28,.052745715,.04331075,.7305752,200908,CCL,2009m8,.18547642,.44078049,.017420867,-.055216487,.28060001,.052745715,.04331075,.7305752,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
AIO_2009_08,AIO,81,2009,8,-.0062500001,13.841222,11.35158231456147,25.354149,16.526222,,,,,365.10184,30.281487,36510216,5351.7397,21.210094,1.3543745,.62207252,.041456174,-.062455639,.0038999999,21.704655,3.99,.58984089,-.025182644,-.87002099,200908,AIO,2009m8,1.3543745,.62207252,.041456174,-.062455639,.0038999999,.58984089,-.025182644,-.87002099,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
AOE_2009_08,AOE,50,2009,8,.069930069,12.702907,10.58088637612793,24.215834,15.220808,,,,,481.95856,57.733505,48195912,5977.5107,21.670279,.45036209,.16308242,.037600257,-.42446956,-.0206,20.280653,1.6900001,.19305748,.17174089,10.690632,200908,AOE,2009m8,.45036209,.16308242,.037600257,-.23823786,-.0206,.19305748,.17174089,10.690632,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
FGL1_2009_08,FGL1,67,2009,8,.016317016,11.106475,12.03675418091087,24.921988,14.343161,,,,,14.180382,35.950348,14180418,360.87997,23.019056,.37830147,.34314135,.0083855344,-.022247167,.19400001,21.385336,.31999999,.10262405,.0098068174,3.9036698,200908,FGL1,2009m8,.37830147,.34314135,.0083855344,-.022247167,.19400001,.10262405,.0098068174,3.9036698,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
IPL_2009_08,IPL,92,2009,8,.090579711,13.831323,12.2892136255204,27.646833,17.02487,,,,,294.00607,62.896542,294006144,7166.3135,22.24135,.74090421,.23956448,-.062123138,-.059265293,.1029,21.23213,1.0958,.28724849,.10859689,-22.657806,200908,IPL,2009m8,.74090421,.23956448,-.062123138,-.059265293,.1029,.28724849,.10859689,-22.657806,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
AGL_2009_08,AGL,91,2009,8,-.063092329,14.300246,10.87583720514026,25.813171,17.523291,,,,,236.38066,7.6985674,23638074,5934.2002,22.518246,.97114986,.12398862,.012761408,-.065403387,-.0854,21.600525,.34509999,.034903917,.20057303,23.737307,200908,AGL,2009m8,.97114986,.12398862,.012761408,-.065403387,-.0854,.034903917,.20057303,23.737307,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
CSR_2009_08,CSR,30,2009,8,.099748552,13.376294,12.97937483514993,27.191805,17.874662,,,,,181.55573,122.076,181555856,16316.486,21.157169,1.0280113,.28748447,.016669104,-.11371884,.093500003,21.537125,1.8003,.32048395,.098323256,-11.185038,200908,CSR,2009m8,1.0280113,.28748447,.016669104,-.11371884,.093500003,.32048395,.098323256,-11.185038,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
HVN_2009_08,HVN,87,2009,8,.20121208,8.9663563,11.94592791607148,22.781887,13.421134,,,,,3.1723549,62.430004,3172417.5,272.93994,21.97764,.58739024,.16046229,.015358189,-.033441678,.1248,20.122908,1.5554,.37742817,-.011067893,-3.6251035,200908,HVN,2009m8,.58739024,.16046229,.015358189,-.033441678,.1248,.37742817,-.011067893,-3.6251035,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
CEY_2009_08,CEY,49,2009,8,.17391305,14.671914,12.48347329482378,28.487425,14.317013,,,,,2631.218,294.93686,2631218432,1845.1223,20.639376,.71851802,.18506685,-.017858785,-.14680904,.1241,20.594296,1.38,.13522846,-.18406872,-20.398861,200908,CEY,2009m8,.71851802,.18506685,-.017858785,-.14680904,.1241,.13522846,-.18406872,-20.398861,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
BKN_2009_08,BKN,43,2009,8,.19128788,10.488521,11.5239247504286,24.304033,13.909682,,,,,29.348698,82.653114,29348780,898.21515,20.119946,.6392315,.43001631,.021636093,-.084581114,.1626,19.785061,2.8900001,.39562508,.57633412,-.39745629,200908,BKN,2009m8,.6392315,.43001631,.021636093,-.084581114,.1626,.39562508,.57633412,-.39745629,-.0558190608328415,.0323847277965535,.0075691416405823,.0315730412070137,,,,,-.0001413307369938,.0002648130082565,-4.63176944632e-11,-1.26814291263e-06
FMG_2009_09,FMG,56,2009,9,-.13378684,12.68931,10.52296128190906,24.202236,15.395317,,,,,141.6328,16.230446,14163296,2120.155,23.183672,.089535721,.58297879,-.0087801423,-.21885715,.1362,22.052353,2.2993,.42149284,.16044763,46.387436,200909,FMG,2009m9,.089535721,.58297879,-.0087801423,-.21885715,.1362,.42149284,.16044763,46.387436,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
AMP_2009_09,AMP,104,2009,9,.025157232,8.9954128,12.12015521541695,22.810946,13.584176,,,,,.71053559,16.167547,710551.75,69.897285,23.341766,.19205065,.13748191,-.0024854199,0,.29519999,19.978825,1.0059,.13143718,.050878569,.92024541,200909,AMP,2009m9,.19205065,.13748191,-.0024854199,-.0014736718,.29519999,.13143718,.050878569,.92024541,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
CCL_2009_09,CCL,114,2009,9,-.010090818,10.97514,11.74498118467101,24.790653,14.223107,,,,,12.845078,27.73797,12845106,330.60635,22.878159,.18547642,.44078049,.013641877,-.055216487,.28060001,21.099783,.28,.051114675,.043750849,.73802245,200909,CCL,2009m9,.18547642,.44078049,.013641877,-.055216487,.28060001,.051114675,.043750849,.73802245,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
ILU_2009_09,ILU,122,2009,9,.0076144626,13.724843,13.18835708923815,27.540354,16.409966,,,,,1514.8798,885.90149,1514880640,22208.156,21.128029,.73071253,.2232177,-.00030702134,-.24857034,-.018999999,21.159065,-.041700002,.37069833,-.27603918,-23.046171,200909,ILU,2009m9,.73071253,.2232177,-.00030702134,-.23823786,-.018999999,.37069833,-.27603918,-23.046171,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
CSR_2009_09,CSR,30,2009,9,-.078446165,13.376294,12.97937483514993,27.191805,17.874662,,,,,181.55573,122.076,181555856,16316.486,21.157169,1.0280113,.28748447,.0032589496,-.11371884,.093500003,21.537125,1.8003,.32038096,.10669109,-12.137151,200909,CSR,2009m9,1.0280113,.28748447,.0032589496,-.11371884,.093500003,.32038096,.10669109,-12.137151,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
GFF_2009_09,GFF,71,2009,9,.083916083,11.50345,11.47692516072919,23.016386,14.476918,,,,,39.695839,38.656727,3969622.8,776.43585,21.293322,.91660941,.34379441,.012248404,-.030220844,.1051,20.015411,.55000001,.368175,-.089617141,7.2258062,200909,GFF,2009m9,.91660941,.34379441,.012248404,-.030220844,.1051,.368175,-.089617141,7.2258062,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
GRR_2009_09,GRR,122,2009,9,-.22056328,12.162606,10.22976514274727,23.675533,15.190538,,,,,382.02481,55.292885,38202536,7890.5195,19.233652,1.1779701,.19165643,-.039308432,-.13369749,.32390001,20.047087,1.8994,.44662529,1.7862642,82.150635,200909,GRR,2009m9,1.1779701,.19165643,-.039308432,-.13369749,.32390001,.44662529,1.6109884,82.150635,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
FLX1_2009_09,FLX1,49,2009,9,-.0063731172,14.102183,10.46942616635503,25.615108,14.659453,,,,,1733.8063,45.847355,173380672,3027.0513,21.749136,.25525472,.05104265,.035019312,-.095168382,.37760001,19.414835,2.3199999,.011183632,.059197437,2.3475218,200909,FLX1,2009m9,.25525472,.05104265,.035019312,-.095168382,.37760001,.017436754,.059197437,2.3475218,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
ENV1_2009_09,ENV1,31,2009,9,.1632653,13.348959,3.80666248977032,17.95413,5.2626901,,,,,1615.9778,.1159495,161597.91,.49729452,20.267416,.75562847,.72055662,-.015475991,-.042425614,.098700002,21.414211,.97000003,.36918825,.05801421,-26.070175,200909,ENV1,2009m9,.75562847,.65629202,-.015475991,-.042425614,.098700002,.36918825,.05801421,-26.070175,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
BKW_2009_09,BKW,30,2009,9,.07297688,12.609419,11.74833745033829,26.424931,15.669065,,,,,504.76666,213.36726,504766880,10761.629,21.263151,.79930043,.18732977,.016724383,-.0085455151,.082900003,19.806498,.4788,.11298517,.0044509848,10.279461,200909,BKW,2009m9,.79930043,.18732977,.016724383,-.0085455151,.082900003,.11298517,.0044509848,10.279461,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
FGL1_2009_09,FGL1,67,2009,9,.013761468,11.106475,12.03675418091087,24.921988,14.343161,,,,,14.180382,35.950348,14180418,360.87997,23.019056,.37830147,.34314135,-.00080323732,-.022247167,.19400001,21.385336,.31999999,.10251848,.0096739614,3.8506787,200909,FGL1,2009m9,.37830147,.34314135,-.00080323732,-.022247167,.19400001,.10251848,.0096739614,3.8506787,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
BSL_2009_09,BSL,56,2009,9,.024479855,15.888729,14.06349578392929,32.006824,19.052555,,,,,765.71021,123.41722,7657102336,18117.438,22.252132,1.2276977,.12689801,-.0505477,-.084064707,.0077999998,22.172911,1.4175,.99759501,-.045149177,-5.8266511,200909,BSL,2009m9,1.2276977,.12689801,-.0505477,-.084064707,.0077999998,.99759501,-.045149177,-5.8266511,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
BKN_2009_09,BKN,43,2009,9,.047694754,10.488521,11.5239247504286,24.304033,13.909682,,,,,29.348698,82.653114,29348780,898.21515,20.119946,.6392315,.43001631,.019058231,-.084581114,.1626,19.785061,2.8900001,.38585499,.5381698,-.37936267,200909,BKN,2009m9,.6392315,.43001631,.019058231,-.084581114,.1626,.38585499,.5381698,-.37936267,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
AIO_2009_09,AIO,81,2009,9,.039832287,13.841222,11.35158231456147,25.354149,16.526222,,,,,365.10184,30.281487,36510216,5351.7397,21.210094,1.3543745,.62207252,.028202727,-.062455639,.0038999999,21.704655,3.99,.51444554,-.024193577,-.83669353,200909,AIO,2009m9,1.3543745,.62207252,.028202727,-.062455639,.0038999999,.51444554,-.024193577,-.83669353,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
IPL_2009_09,IPL,92,2009,9,-.059800666,13.831323,12.2892136255204,27.646833,17.02487,,,,,294.00607,62.896542,294006144,7166.3135,22.24135,.74090421,.23956448,-.05234924,-.059265293,.1029,21.23213,1.0958,.26803574,.11550396,-24.09894,200909,IPL,2009m9,.74090421,.23956448,-.05234924,-.059265293,.1029,.26803574,.11550396,-24.09894,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
HVN_2009_09,HVN,87,2009,9,.091375031,8.9663563,11.94592791607148,22.781887,13.421134,,,,,3.1723549,62.430004,3172417.5,272.93994,21.97764,.58739024,.16046229,.020329747,-.033441678,.1248,20.122908,1.5554,.37457559,-.010141289,-3.3215928,200909,HVN,2009m9,.58739024,.16046229,.020329747,-.033441678,.1248,.37457559,-.010141289,-3.3215928,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
GNC_2009_09,GNC,35,2009,9,.15472202,9.7384949,11.65304386554574,23.554012,13.331268,,,,,9.5413208,64.727158,9541386,346.68112,20.581348,.79954004,.17841701,-.0034733247,-.02894987,.090999998,19.842546,.74370003,.096748181,.28253755,35.112968,200909,GNC,2009m9,.79954004,.17841701,-.0034733247,-.02894987,.090999998,.096748181,.28253755,35.112968,-.0022903728507557,-.0052815568701132,-.0057309555862855,-.0083811424581646,,,,,6.50278138954e-06,.0000743721746365,6.78314598166e-13,1.97779607548e-06
