ticker_year_month,ticker,year-month,year,month,ret,MKT-RF,SMB,HML,WML,pmc
AOE_2009_09,AOE,200909.0,2009,9,-0.0675381263616556,8.7,0.28,0.52,-0.26,0.0110866323389361
BKN_2009_09,BKN,200909.0,2009,9,0.0476947535771064,8.7,0.28,0.52,-0.26,0.0110866323389361
BKW_2009_09,BKW,200909.0,2009,9,0.0729768786127167,8.7,0.28,0.52,-0.26,0.0110866323389361
BSL_2009_09,BSL,200909.0,2009,9,0.0244798546895641,8.7,0.28,0.52,-0.26,0.0110866323389361
CCL_2009_09,CCL,200909.0,2009,9,-0.0100908173562057,8.7,0.28,0.52,-0.26,0.0110866323389361
CEY_2009_09,CEY,200909.0,2009,9,-0.0826210826210824,8.7,0.28,0.52,-0.26,0.0110866323389361
CSR_2009_09,CSR,200909.0,2009,9,-0.0784461668610102,8.7,0.28,0.52,-0.26,0.0110866323389361
DOW_2009_09,DOW,200909.0,2009,9,0.0212003791257804,8.7,0.28,0.52,-0.26,0.0110866323389361
ENV1_2009_09,ENV1,200909.0,2009,9,0.1632653061224489,8.7,0.28,0.52,-0.26,0.0110866323389361
FGL1_2009_09,FGL1,200909.0,2009,9,0.013761467889908,8.7,0.28,0.52,-0.26,0.0110866323389361
FLX1_2009_09,FLX1,200909.0,2009,9,-0.0063731170336038,8.7,0.28,0.52,-0.26,0.0110866323389361
FMG_2009_09,FMG,200909.0,2009,9,-0.1337868480725624,8.7,0.28,0.52,-0.26,0.0110866323389361
GFF_2009_09,GFF,200909.0,2009,9,0.0839160839160839,8.7,0.28,0.52,-0.26,0.0110866323389361
GNC_2009_09,GNC,200909.0,2009,9,0.1547220132667714,8.7,0.28,0.52,-0.26,0.0110866323389361
GRR_2009_09,GRR,200909.0,2009,9,-0.2205632846963013,8.7,0.28,0.52,-0.26,0.0110866323389361
HVN_2009_09,HVN,200909.0,2009,9,0.0913750300312323,8.7,0.28,0.52,-0.26,0.0110866323389361
ILU_2009_09,ILU,200909.0,2009,9,0.0076144625663194,8.7,0.28,0.52,-0.26,0.0110866323389361
IPL_2009_09,IPL,200909.0,2009,9,-0.0598006644518271,8.7,0.28,0.52,-0.26,0.0110866323389361
AGL_2009_10,AGL,200910.0,2009,10,0.0146276071442652,1.25,1.66,2.16,1.25,-0.0099916000330104
AIO_2009_10,AIO,200910.0,2009,10,-0.0745967741935483,1.25,1.66,2.16,1.25,-0.0099916000330104
AMP_2009_10,AMP,200910.0,2009,10,-0.0874233128834355,1.25,1.66,2.16,1.25,-0.0099916000330104
AOE_2009_10,AOE,200910.0,2009,10,-0.0397196261682243,1.25,1.66,2.16,1.25,-0.0099916000330104
BKN_2009_10,BKN,200910.0,2009,10,-0.0470409711684369,1.25,1.66,2.16,1.25,-0.0099916000330104
BKW_2009_10,BKW,200910.0,2009,10,-0.1245791245791245,1.25,1.66,2.16,1.25,-0.0099916000330104
BSL_2009_10,BSL,200910.0,2009,10,0.0307114746611865,1.25,1.66,2.16,1.25,-0.0099916000330104
CCL_2009_10,CCL,200910.0,2009,10,0.0846075433231396,1.25,1.66,2.16,1.25,-0.0099916000330104
CEY_2009_10,CEY,200910.0,2009,10,-0.0093167701863354,1.25,1.66,2.16,1.25,-0.0099916000330104
CSR_2009_10,CSR,200910.0,2009,10,0.0495459733042227,1.25,1.66,2.16,1.25,-0.0099916000330104
DOW_2009_10,DOW,200910.0,2009,10,0.0525080188357331,1.25,1.66,2.16,1.25,-0.0099916000330104
ENV1_2009_10,ENV1,200910.0,2009,10,-0.0701754385964911,1.25,1.66,2.16,1.25,-0.0099916000330104
FGL1_2009_10,FGL1,200910.0,2009,10,-0.01131221719457,1.25,1.66,2.16,1.25,-0.0099916000330104
FLX1_2009_10,FLX1,200910.0,2009,10,0.0134110787172012,1.25,1.66,2.16,1.25,-0.0099916000330104
FMG_2009_10,FMG,200910.0,2009,10,0.0078534031413612,1.25,1.66,2.16,1.25,-0.0099916000330104
GFF_2009_10,GFF,200910.0,2009,10,-0.0322580645161291,1.25,1.66,2.16,1.25,-0.0099916000330104
GNC_2009_10,GNC,200910.0,2009,10,-0.0881821681324213,1.25,1.66,2.16,1.25,-0.0099916000330104
GRR_2009_10,GRR,200910.0,2009,10,-0.0565955594253373,1.25,1.66,2.16,1.25,-0.0099916000330104
HVN_2009_10,HVN,200910.0,2009,10,-0.0721064475100283,1.25,1.66,2.16,1.25,-0.0099916000330104
ILU_2009_10,ILU,200910.0,2009,10,-0.1206182048656817,1.25,1.66,2.16,1.25,-0.0099916000330104
IPL_2009_10,IPL,200910.0,2009,10,-0.0600706713780918,1.25,1.66,2.16,1.25,-0.0099916000330104
AGL_2009_11,AGL,200911.0,2009,11,-0.0021605657884511,2.65,1.67,-2.57,1.25,-0.0021897577695044
AIO_2009_11,AIO,200911.0,2009,11,0.0806100217864924,2.65,1.67,-2.57,1.25,-0.0021897577695044
AMP_2009_11,AMP,200911.0,2009,11,0.0386554621848738,2.65,1.67,-2.57,1.25,-0.0021897577695044
AOE_2009_11,AOE,200911.0,2009,11,-0.0510948905109489,2.65,1.67,-2.57,1.25,-0.0021897577695044
BKN_2009_11,BKN,200911.0,2009,11,0.1305732484076431,2.65,1.67,-2.57,1.25,-0.0021897577695044
BKW_2009_11,BKW,200911.0,2009,11,-0.0307692307692307,2.65,1.67,-2.57,1.25,-0.0021897577695044
BSL_2009_11,BSL,200911.0,2009,11,-0.1026486398436227,2.65,1.67,-2.57,1.25,-0.0021897577695044
CCL_2009_11,CCL,200911.0,2009,11,-0.0037593984962407,2.65,1.67,-2.57,1.25,-0.0021897577695044
CEY_2009_11,CEY,200911.0,2009,11,0.031347962382445,2.65,1.67,-2.57,1.25,-0.0021897577695044
CSR_2009_11,CSR,200911.0,2009,11,-0.1064936292934307,2.65,1.67,-2.57,1.25,-0.0021897577695044
DOW_2009_11,DOW,200911.0,2009,11,-0.0104393609295569,2.65,1.67,-2.57,1.25,-0.0021897577695044
ENE1_2009_11,ENE1,200911.0,2009,11,0.1208333333333333,2.65,1.67,-2.57,1.25,-0.0021897577695044
ENV1_2009_11,ENV1,200911.0,2009,11,-0.0754716981132076,2.65,1.67,-2.57,1.25,-0.0021897577695044
FGL1_2009_11,FGL1,200911.0,2009,11,0.0228832951945079,2.65,1.67,-2.57,1.25,-0.0021897577695044
FLX1_2009_11,FLX1,200911.0,2009,11,-0.0327963176064441,2.65,1.67,-2.57,1.25,-0.0021897577695044
FMG_2009_11,FMG,200911.0,2009,11,0.0935064935064935,2.65,1.67,-2.57,1.25,-0.0021897577695044
GFF_2009_11,GFF,200911.0,2009,11,-0.0533333333333333,2.65,1.67,-2.57,1.25,-0.0021897577695044
GNC_2009_11,GNC,200911.0,2009,11,-0.1264248368135615,2.65,1.67,-2.57,1.25,-0.0021897577695044
GRR_2009_11,GRR,200911.0,2009,11,0.0396862021227504,2.65,1.67,-2.57,1.25,-0.0021897577695044
HVN_2009_11,HVN,200911.0,2009,11,0.0777098270771825,2.65,1.67,-2.57,1.25,-0.0021897577695044
ILU_2009_11,ILU,200911.0,2009,11,0.0257248988190941,2.65,1.67,-2.57,1.25,-0.0021897577695044
IPL_2009_11,IPL,200911.0,2009,11,0.0714285714285714,2.65,1.67,-2.57,1.25,-0.0021897577695044
AGL_2009_12,AGL,200912.0,2009,12,0.0158966290734625,2.45,-0.41,1.5,0.67,0.0141952101108457
AIO_2009_12,AIO,200912.0,2009,12,0.1008064516129032,2.45,-0.41,1.5,0.67,0.0141952101108457
AMP_2009_12,AMP,200912.0,2009,12,0.0954692556634304,2.45,-0.41,1.5,0.67,0.0141952101108457
AOE_2009_12,AOE,200912.0,2009,12,0.0666666666666666,2.45,-0.41,1.5,0.67,0.0141952101108457
BKN_2009_12,BKN,200912.0,2009,12,-0.0394366197183098,2.45,-0.41,1.5,0.67,0.0141952101108457
BKW_2009_12,BKW,200912.0,2009,12,-0.0095238095238094,2.45,-0.41,1.5,0.67,0.0141952101108457
BSL_2009_12,BSL,200912.0,2009,12,0.147602762105997,2.45,-0.41,1.5,0.67,0.0141952101108457
CCL_2009_12,CCL,200912.0,2009,12,0.0877358490566038,2.45,-0.41,1.5,0.67,0.0141952101108457
CEY_2009_12,CEY,200912.0,2009,12,0.21580547112462,2.45,-0.41,1.5,0.67,0.0141952101108457
CSR_2009_12,CSR,200912.0,2009,12,0.049420604264776,2.45,-0.41,1.5,0.67,0.0141952101108457
DOW_2009_12,DOW,200912.0,2009,12,0.0961248640360648,2.45,-0.41,1.5,0.67,0.0141952101108457
ENE1_2009_12,ENE1,200912.0,2009,12,0.0111524163568774,2.45,-0.41,1.5,0.67,0.0141952101108457
ENV1_2009_12,ENV1,200912.0,2009,12,0.0408163265306122,2.45,-0.41,1.5,0.67,0.0141952101108457
FGL1_2009_12,FGL1,200912.0,2009,12,-0.0201342281879194,2.45,-0.41,1.5,0.67,0.0141952101108457
FLX1_2009_12,FLX1,200912.0,2009,12,0.0059488399762046,2.45,-0.41,1.5,0.67,0.0141952101108457
FMG_2009_12,FMG,200912.0,2009,12,0.0546318289786225,2.45,-0.41,1.5,0.67,0.0141952101108457
GFF_2009_12,GFF,200912.0,2009,12,0.0704225352112677,2.45,-0.41,1.5,0.67,0.0141952101108457
GNC_2009_12,GNC,200912.0,2009,12,0.0197397769516729,2.45,-0.41,1.5,0.67,0.0141952101108457
GRR_2009_12,GRR,200912.0,2009,12,0.0386151797603195,2.45,-0.41,1.5,0.67,0.0141952101108457
HVN_2009_12,HVN,200912.0,2009,12,-0.0186136385872224,2.45,-0.41,1.5,0.67,0.0141952101108457
ILU_2009_12,ILU,200912.0,2009,12,-0.0027566077509324,2.45,-0.41,1.5,0.67,0.0141952101108457
IPL_2009_12,IPL,200912.0,2009,12,0.2456140350877191,2.45,-0.41,1.5,0.67,0.0141952101108457
AIO_2010_01,AIO,201001.0,2010,1,-0.0604395604395604,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
AMP_2010_01,AMP,201001.0,2010,1,-0.0753323485967503,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
BKN_2010_01,BKN,201001.0,2010,1,-0.1158357771260997,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
BKW_2010_01,BKW,201001.0,2010,1,-0.0184294871794872,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
BSL_2010_01,BSL,201001.0,2010,1,-0.157558731785712,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
CCL_2010_01,CCL,201001.0,2010,1,-0.0520381613183,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
CEY_2010_01,CEY,201001.0,2010,1,-0.0875,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
CRG_2010_01,CRG,201001.0,2010,1,-0.0676532769556026,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
CSR_2010_01,CSR,201001.0,2010,1,0.0110674128976957,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
DJS_2010_01,DJS,201001.0,2010,1,-0.1185185185185185,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
DOW_2010_01,DOW,201001.0,2010,1,-0.1112240262069295,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
ENE1_2010_01,ENE1,201001.0,2010,1,0.0110294117647058,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
ENV1_2010_01,ENV1,201001.0,2010,1,-0.0392156862745098,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
FGL1_2010_01,FGL1,201001.0,2010,1,-0.0296803652968036,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
FMG_2010_01,FMG,201001.0,2010,1,0.0202702702702701,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
GFF_2010_01,GFF,201001.0,2010,1,-0.0460526315789474,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
GNC_2010_01,GNC,201001.0,2010,1,-0.0725821151252232,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
GRR_2010_01,GRR,201001.0,2010,1,0.2405982905982906,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
HVN_2010_01,HVN,201001.0,2010,1,-0.1279565336589985,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
ILU_2010_01,ILU,201001.0,2010,1,-0.078211382113821,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
KZL_2010_01,KZL,201001.0,2010,1,-0.1238095238095238,-6.25,4.52,-0.02,-2.71,-0.0191615588478858
ABY1_2010_02,ABY1,201002.0,2010,2,-0.0865384615384615,2.63,-2.08,1.57,1.0,-0.0044435572806903
AIO_2010_02,AIO,201002.0,2010,2,0.0526315789473685,2.63,-2.08,1.57,1.0,-0.0044435572806903
AMP_2010_02,AMP,201002.0,2010,2,-0.0511182108626196,2.63,-2.08,1.57,1.0,-0.0044435572806903
BKN_2010_02,BKN,201002.0,2010,2,0.0746268656716417,2.63,-2.08,1.57,1.0,-0.0044435572806903
BKW_2010_02,BKW,201002.0,2010,2,0.0040816326530612,2.63,-2.08,1.57,1.0,-0.0044435572806903
BSL_2010_02,BSL,201002.0,2010,2,-0.0763366805110141,2.63,-2.08,1.57,1.0,-0.0044435572806903
CCL_2010_02,CCL,201002.0,2010,2,0.0265324794144556,2.63,-2.08,1.57,1.0,-0.0044435572806903
CRG_2010_02,CRG,201002.0,2010,2,-0.0476190476190475,2.63,-2.08,1.57,1.0,-0.0044435572806903
CSR_2010_02,CSR,201002.0,2010,2,-0.1123301333998255,2.63,-2.08,1.57,1.0,-0.0044435572806903
