ticker_year_month,ticker,year,month,industry,scope1_int,logsize,bm,leverage,mom,investa,roe,logppe,beta,volat,salesgr,epsgr,yearmonth,carbon_beta
AGL_2009_08,AGL,2009,8,91.0,236.3806556804286,22.518246645418728,0.9711498858549594,0.1239886216476474,0.0127614079151457,-0.0654033891551462,-0.0853999999999999,21.600524637846807,0.3451,0.0349039183756213,0.2005730200396952,23.737307439867187,20098,0.0601461456914089
AIO_2009_08,AIO,2009,8,81.0,365.1018504087467,21.210094298500696,1.3543744771586252,0.6220724920564068,0.0414561757284235,-0.0624556409605286,0.0039,21.704653808845663,3.99,0.5898409107716909,-0.0251826441324967,-0.8700209643605867,20098,0.6780783856801988
AMP_2009_08,AMP,2009,8,104.0,0.7105355884425651,23.341765582290066,0.1920506495463981,0.1374819102749638,-0.0083768356037468,0.0,0.2952,19.978825361998915,1.0059,0.1317844671458588,0.05215852756789,0.9433962264150942,20098,0.2587210377009719
BKN_2009_08,BKN,2009,8,43.0,29.34869777977972,20.119946153480036,0.6392314769493411,0.4300163121915356,0.0216360924789224,-0.0845811150354127,0.1626,19.785061751760367,2.89,0.3956250756282268,0.5763341183544621,-0.397456279809221,20098,0.5552301084959117
BSL_2009_08,BSL,2009,8,56.0,765.7101993643456,22.252131903457688,1.2276977833494944,0.1268979987816709,-0.0550765316910825,-0.084064706811362,0.0078,22.172910513567064,1.4175,1.0109786429794414,-0.0462544801836371,-5.969286657859973,20098,0.1461508882627301
CCL_2009_08,CCL,2009,8,114.0,12.84507785695434,22.878159432741,0.1854764297218632,0.4407804983126301,0.0174208683816955,-0.0552164859625188,0.2805999999999999,21.099782623098683,0.28,0.0527457132656783,0.0433107515849125,0.7305751765893032,20098,-0.0555632548824489
CEY_2009_08,CEY,2009,8,49.0,2631.218013185831,20.63937489479748,0.7185180458324145,0.1850668460438913,-0.0178587854682264,-0.1468090473387707,0.1241,20.59429545564945,1.38,0.1352284594613113,-0.1840687189884223,-20.3988603988604,20098,5.422427527003772
CSR_2009_08,CSR,2009,8,30.0,181.55573082448385,21.15717004260247,1.0280112662756735,0.2874844809473785,0.0166691046314863,-0.113718842517429,0.0935,21.53712509266862,1.8003,0.3204839623903479,0.098323257670811,-11.18503783981526,20098,0.0304832907850731
DOW_2009_08,DOW,2009,8,216.0,34.26747927271633,21.33884280024312,0.7188472912554305,0.2397728821204526,0.004628612251883,-0.086236276964632,0.1338,20.556389191085504,0.9554,0.515088034602793,0.1483037314894322,0.915756021409456,20098,-0.0263829479399221
ENV1_2009_08,ENV1,2009,8,31.0,1615.97784076269,20.267416642274917,0.7556284537531723,0.7205566240524947,-0.0182440562645729,-0.0424256137572123,0.0987,21.41421059395116,0.97,0.3683078791790271,0.0680781962400849,-30.3265306122449,20098,-0.8982825038174661
FGL1_2009_08,FGL1,2009,8,67.0,14.180381970319589,23.0190569027162,0.3783014793164517,0.3431413525035526,0.008385534514135,-0.0222471668597222,0.1939999999999999,21.385335061935496,0.32,0.1026240544381181,0.0098068170631044,3.903669724770642,20098,0.0892373614934951
FMG_2009_08,FMG,2009,8,56.0,141.6327971144541,23.18367242030919,0.0895357225468148,0.5829787677859374,-0.0225895878485971,-0.2188571478506213,0.1362,22.052353536503627,2.2993,0.4890643136665732,0.139001373363049,40.18140589569161,20098,0.4473394746341538
GFF_2009_08,GFF,2009,8,71.0,39.69584034623708,21.29332125326545,0.9166093870623868,0.3437943949373628,0.0141334385951625,-0.0302208446338628,0.1051,20.01541102751419,0.55,0.3700174887066375,-0.0971822886716503,7.832167832167832,20098,0.7561233469828369
GNC_2009_08,GNC,2009,8,35.0,9.541321156211424,20.581348125647796,0.7995400169890006,0.1784170072985965,-0.0012601620843372,-0.0289498694372422,0.091,19.842547343706286,0.7437,0.1031082902600891,0.3262556226877112,40.54571565342269,20098,0.1272489085740711
GRR_2009_08,GRR,2009,8,122.0,382.024825538944,19.23365284632179,1.1779700397379431,0.1916564268760943,-0.0508015719791921,-0.1336974912636024,0.3239,20.04708589521621,1.8994,0.430436126839699,1.4713621140670878,64.03121818798779,20098,0.0298086023176073
HVN_2009_08,HVN,2009,8,87.0,3.1723550413924517,21.977640473777804,0.587390272706588,0.1604622959554027,0.0153581895282207,-0.0334416793893964,0.1248,20.122907478419904,1.5554,0.3774281868652326,-0.0110678934328507,-3.625103440911881,20098,0.0991251860439747
ILU_2009_08,ILU,2009,8,122.0,1514.8797478852214,21.12802926617552,0.7307125457177095,0.2232176896683187,-0.0271965992206972,-0.248570339306138,-0.019,21.159066144850648,-0.0417,0.3695769565993093,-0.2781355245575529,-23.22165454902731,20098,0.1509023514200883
IPL_2009_08,IPL,2009,8,92.0,294.0060772681233,22.24135085136881,0.7409042242339026,0.239564483049825,-0.062123136892792,-0.0592652913499819,0.1028999999999999,21.232129537398865,1.0958,0.2872485022247032,0.1085968935231255,-22.657807308970103,20098,0.0945474567538386
AGL_2009_09,AGL,2009,9,91.0,236.3806556804286,22.518246645418728,0.9711498858549594,0.1239886216476474,-0.0049089782716841,-0.0654033891551462,-0.0853999999999999,21.600524637846807,0.3451,0.0343809482882859,0.2048281983258715,24.24082324646138,20099,0.0601461456914089
AIO_2009_09,AIO,2009,9,81.0,365.1018504087467,21.210094298500696,1.3543744771586252,0.6220724920564068,0.0282027273118385,-0.0624556409605286,0.0039,21.704653808845663,3.99,0.5144455687396062,-0.024193578362439,-0.8366935483870965,20099,0.6780783856801988
