,year,nger_name,scope1,scope2,energy_consumption,total_emissions
95,2009,goldfields power,193906.0,0.0,3749180.0,193906.0
96,2009,goodman fielder,99057.0,96464.0,1937518.0,195521.0
97,2009,gpt management,25769.0,168516.0,957933.0,194285.0
98,2009,graincorp,16958.0,115041.0,616164.0,131999.0
99,2009,grange resources,191493.0,27716.0,3955186.0,219209.0
100,2009,great energy alliance,18962761.0,313211.0,210600596.0,19275972.0
101,2009,gujarat nre minerals,673538.0,50584.0,230622.0,724122.0
102,2009,hanson australia (),174344.0,67373.0,2176261.0,241717.0
103,2009,harvey norman,7835.0,154188.0,674100.0,162023.0
104,2009,hcph,124577.0,53491.0,8179237.0,178068.0
105,2009,holcim participations (australia),212215.0,65788.0,3469234.0,278003.0
106,2009,honan,365711.0,206341.0,5324937.0,572052.0
107,2009,hrl,2423970.0,177470.0,32759413.0,2601440.0
108,2009,hydro aluminium kurri kurri,369995.0,2496761.0,13673532.0,2866756.0
109,2009,hydro-electric,332836.0,8231.0,6645117.0,341067.0
110,2009,icc,138848.0,1811.0,2270369.0,140659.0
111,2009,idemitsu australia resources,398168.0,249293.0,4024707.0,647461.0
112,2009,iluka resources,913321.0,534110.0,13389297.0,1447431.0
113,2009,incitec pivot,1015938.0,217339.0,24763196.0,1233277.0
114,2009,inghams enterprises,58050.0,230561.0,1773293.0,288611.0
115,2009,integral energy australia,12481.0,792802.0,3388043.0,805283.0
116,2009,international power (australia),17968483.0,193974.0,208409630.0,18162457.0
117,2009,jbs holdco australia,186221.0,146658.0,2036690.0,332879.0
118,2009,jellinbah,173253.0,7053.0,1396717.0,180306.0
119,2009,jet systems,126803.0,2176.0,1830973.0,128979.0
120,2009,kalgoorlie consolidated gold mines,244751.0,317830.0,4868909.0,562581.0
121,2009,kimberly clark pacific,118665.0,281325.0,5379255.0,399990.0
122,2009,kirin  (australia),71983.0,217934.0,2192961.0,289917.0
123,2009,koppers australia,147319.0,34846.0,4069739.0,182165.0
124,2009,leighton,478444.0,114785.0,5278962.0,593229.0
125,2009,linfox,202075.0,45340.0,3067091.0,247415.0
126,2009,lion nathan,41945.0,90724.0,1188969.0,132669.0
127,2009,loy yang,10139886.0,1892.0,115927457.0,10141778.0
128,2009,lyondellbasell australia (),43766.0,124647.0,1329509.0,168413.0
129,2009,macarthur coal,267176.0,54532.0,2117660.0,321708.0
130,2009,macquarie communications infrastructure  (inc australia),1528.0,155950.0,632152.0,157478.0
131,2009,macquarie generation,25290141.0,219704.0,286920709.0,25509845.0
132,2009,macquarie,13775.0,123152.0,682302.0,136927.0
133,2009,mars australia,33611.0,99833.0,970959.0,133444.0
134,2009,mcdonald's australia,3135.0,127267.0,523990.0,130402.0
135,2009,melbourne water,194574.0,196103.0,1371863.0,390677.0
136,2009,metropolitan health service,25130.0,125893.0,970848.0,151023.0
137,2009,millenium inorganic chemicals,147896.0,77371.0,2612383.0,225267.0
138,2009,minara resources,565719.0,350.0,7444640.0,566069.0
139,2009,mirvac,15676.0,280697.0,1329376.0,296373.0
140,2009,monash university,19288.0,116700.0,712728.0,135988.0
141,2009,multinet,292777.0,3022.0,44928.0,295799.0
142,2009,murray goulburn co-operative co.,163197.0,486264.0,5376795.0,649461.0
143,2009,myer,2485.0,226531.0,895125.0,229016.0
144,2009,national australia bank,6273.0,160510.0,636977.0,166783.0
145,2009,nestle australia,39451.0,175015.0,1824915.0,214466.0
146,2009,new hope,251834.0,33314.0,1444572.0,285148.0
147,2009,new zealand milk (australasia),173677.0,192962.0,3420657.0,366639.0
148,2009,newcrest mining,625060.0,606129.0,13271688.0,1231189.0
149,2009,newmont australia,323755.0,31456.0,5060037.0,355211.0
150,2009,news australia,6618.0,126954.0,590642.0,133572.0
151,2009,nippon meat packers australia,65428.0,63368.0,886135.0,128796.0
152,2009,norilsk nickel australia,66651.0,68421.0,1321883.0,135072.0
153,2009,norske skog industries australia,287583.0,731550.0,8726270.0,1019133.0
154,2009,northgate australian ventures,21045.0,163280.0,814912.0,184325.0
155,2009,nrg victoria 1,8019597.0,50710.0,86846520.0,8070307.0
156,2009,nyrstar australia,428281.0,384820.0,9848345.0,813101.0
157,2009,onesteel,2559167.0,1188190.0,40012454.0,3747357.0
158,2009,orica,2318304.0,437851.0,18517011.0,2756155.0
159,2009,origin energy,1295988.0,36037.0,39593731.0,1332025.0
