ticker_year_month,ticker,yearmonth,year,industry,month,ret,mktrf,smb,hml,wml,pmc,winsor_ret,winsor_mktrf,winsor_smb,winsor_hml,winsor_wml,winsor_pmc,ticker_encode,date,_Nobs,_R2,_adjR2,_b_winsor_mktrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_wml,_b_winsor_pmc,_b_cons
ABC_2020_11,ABC,202011,2020,206,11,.091872789,13.52,-1.9299999,2,-8.3699999,-.0074838502,.091872789,12.84,-1.9299999,2,-5.3800001,-.0074838502,ABC,2020m11,18,.4721295437745968,.2521835203473453,.011159844721557,.0109838314856774,.0048711906794245,-.0102442050314188,-5.813177760267719,-.0007290927513254
ABC_2020_07,ABC,202007,2020,206,7,-.30503145,2.3199999,2.3399999,-6,7.6500001,-.0032703271,-.22056328,2.3199999,2.3399999,-5.6599998,6.52,-.0032703271,ABC,2020m7,18,.4721295437745968,.2521835203473453,.011159844721557,.0109838314856774,.0048711906794245,-.0102442050314188,-5.813177760267719,-.0007290927513254
ABC_2021_05,ABC,202105,2021,206,5,.031055901,1.75,-.43000001,1.1900001,-2.3599999,-.0086520249,.031055901,1.75,-.43000001,1.1900001,-2.3599999,-.0086520249,ABC,2021m5,18,.4721295437745968,.2521835203473453,.011159844721557,.0109838314856774,.0048711906794245,-.0102442050314188,-5.813177760267719,-.0007290927513254
ABC_2020_12,ABC,202012,2020,206,12,.084142394,5.25,1.3,-2.5599999,6.0999999,-.008135289,.084142394,5.25,1.3,-2.5599999,6.0999999,-.008135289,ABC,2020m12,18,.4721295437745968,.2521835203473453,.011159844721557,.0109838314856774,.0048711906794245,-.0102442050314188,-5.813177760267719,-.0007290927513254
ABC_2020_09,ABC,202009,2020,206,9,.11764706,-4.98,2.8699999,.14,.70999998,.0049471231,.11764706,-4.98,2.8699999,.14,.70999998,.0049471231,ABC,2020m9,18,.4721295437745968,.2521835203473453,.011159844721557,.0109838314856774,.0048711906794245,-.0102442050314188,-5.813177760267719,-.0007290927513254
ABC_2021_06,ABC,202106,2021,206,6,.045180723,-.87,.60000002,-.98000002,.85000002,-.0011158319,.045180723,-.87,.60000002,-.98000002,.85000002,-.0011158319,ABC,2021m6,18,.4721295437745968,.2521835203473453,.011159844721557,.0109838314856774,.0048711906794245,-.0102442050314188,-5.813177760267719,-.0007290927513254
ABC_2021_04,ABC,202104,2021,206,4,-.074712642,4.3400002,2.0799999,-1.59,6.71,-.010553638,-.074712642,4.3400002,2.0799999,-1.59,6.52,-.010553638,ABC,2021m4,18,.4721295437745968,.2521835203473453,.011159844721557,.0109838314856774,.0048711906794245,-.0102442050314188,-5.813177760267719,-.0007290927513254
ABC_2021_03,ABC,202103,2021,206,3,.070769228,1.14,-2.29,4.1100001,-3.8399999,.011335778,.070769228,1.14,-2.29,4.1100001,-3.8399999,.011335778,ABC,2021m3,18,.4721295437745968,.2521835203473453,.011159844721557,.0109838314856774,.0048711906794245,-.0102442050314188,-5.813177760267719,-.0007290927513254
ABC_2021_01,ABC,202101,2021,206,1,-.14328358,1.16,1.8099999,.76999998,5.8200002,.008012305,-.14328358,1.16,1.8099999,.76999998,5.8200002,.008012305,ABC,2021m1,18,.4721295437745968,.2521835203473453,.011159844721557,.0109838314856774,.0048711906794245,-.0102442050314188,-5.813177760267719,-.0007290927513254
ABC_2020_01,ABC,202001,2020,206,1,.05202312,-2.8699999,-1.4400001,-2.96,3.72,-.02013235,.05202312,-2.8699999,-1.4400001,-2.96,3.72,-.02013235,ABC,2020m1,18,.4721295437745968,.2521835203473453,.011159844721557,.0109838314856774,.0048711906794245,-.0102442050314188,-5.813177760267719,-.0007290927513254
