yearmonth,rmrf,rf
200807,-0.11613417237504736,0.07324347826086956
200808,-0.02880869844465958,0.06737619047619048
200809,-0.17714003609303028,0.06439090909090908
200810,-0.15270176387540013,0.04701739130434783
200811,-0.0874936528881352,0.03523
200812,-0.015581284474532268,0.030766666666666668
200901,-0.057058084767214995,0.03251
200902,-0.0556748649286973,0.026109999999999998
200903,0.06097650446814394,0.027563636363636363
200904,0.0351792628757818,0.027175
200905,0.014260875229511524,0.028576190476190474
200906,-0.01188099604565894,0.02933809523809524
200907,0.05504450039880307,0.02938695652173913
200908,0.019715303303692686,0.030714285714285715
200909,0.02566853255478438,0.03131818181818182
200910,-0.049529231920348256,0.035754545454545456
200911,-0.002988373673295873,0.036976190476190475
200912,0.004823342449828245,0.03825714285714286
201001,-0.09907043918636982,0.03945789473684211
201002,-0.020779714240820802,0.03864
201003,0.018333287960377913,0.04123043478260869
201004,-0.050805111794474805,0.0437
201005,-0.09394485465020917,0.04506666666666667
201006,-0.06709094594833151,0.04501904761904761
201007,-0.0026736301274655067,0.045109090909090904
201008,-0.04447639126857542,0.044768181818181825
201009,0.001579015020752049,0.04595454545454545
201010,0.12851900505291414,0.04606190476190476
201011,-0.045245245082010714,0.04746818181818181
201012,-0.011711374647645975,0.04747619047619048
201101,-0.04401815158988172,0.04743157894736842
201102,-0.028763879244554397,0.04747
201103,-0.0432513612673318,0.0472
201104,-0.052078375736800235,0.04737222222222223
201105,-0.035082996847792564,0.04796363636363636
201106,-0.06762960196426054,0.04734285714285714
201107,-0.07549711300412348,0.04678571428571429
201108,-0.06761374440817901,0.043459090909090906
201109,-0.10485661163945569,0.043781818181818186
201110,0.027679056096594698,0.043825
201111,-0.07185225293080111,0.041318181818181816
201112,-0.0469547213175476,0.03986
201201,0.0205681971722766,0.03966
201202,-0.02745098526429176,0.04095714285714286
201203,0.5218748079263831,0.04143181818181819
201204,-0.007764211232019792,0.03968888888888889
201205,-0.10046596553202597,0.03364347826086956
201206,-0.0254865444839751,0.031645
201207,0.001974571235565936,0.03276363636363636
201208,-0.02414697492512928,0.03302173913043478
201209,-0.007031942380078,0.032235
201210,0.000731483007600682,0.030247826086956517
201211,-0.028626603619257132,0.03058636363636363
201212,0.018748130677158,0.028642105263157896
201301,0.022437615814889747,0.028257142857142856
201302,0.014508431929079506,0.028259999999999997
201303,-0.056885273796002694,0.028855
201304,0.013530771957356,0.028370000000000003
201305,-0.05333856134567738,0.02612173913043478
201306,-0.05341693974338677,0.02575263157894737
201307,0.03902916467262671,0.025391304347826087
201308,-0.003754436958023636,0.023938095238095237
201309,-0.0020429653410468096,0.02400952380952381
201310,0.016248930583849235,0.024263636363636362
201311,-0.036660943834821866,0.024366666666666665
201312,-0.013337343866737501,0.024355
201401,-0.051575934173324095,0.02459047619047619
201402,0.0168599916398656,0.02474
201403,-0.02412674251821089,0.02479047619047619
201404,-0.011402977953803344,0.024863157894736844
201405,-0.02395622455895111,0.02480909090909091
201406,-0.041637084555193105,0.024795
201407,0.027519015118753796,0.024669565217391307
201408,-0.0287287855247225,0.024700000000000003
201409,-0.07600536824224438,0.024822727272727274
201410,0.011036994145023894,0.024709090909090906
201411,-0.0350746168506983,0.02466
201412,-0.006386127952061341,0.024242857142857142
201501,0.010803614973398303,0.023649999999999997
201502,0.052493605406443,0.02081
201503,-0.027130767675417056,0.020704545454545455
201504,-0.0317180280668102,0.020385
201505,-0.02161607046233576,0.01956190476190476
201506,-0.07532886718225497,0.01937142857142857
201507,0.02073825589822456,0.019126086956521737
201508,-0.0936939212872262,0.019225
201509,-0.04191750656526061,0.01920909090909091
201510,0.030471694620939373,0.018828571428571427
201511,-0.0314635468908788,0.019404761904761904
201512,0.006434497864570687,0.019614285714285713
201601,-0.06763303371891398,0.019226315789473685
201602,-0.02884645993907852,0.01911904761904762
201603,0.025813078150820262,0.01934285714285714
201604,0.0279776662352427,0.01894
201605,0.009582369838503555,0.016545454545454544
201606,-0.032061411302692286,0.016280952380952382
201607,0.05090793852188685,0.015842857142857145
201608,-0.027210254392913198,0.0144
201609,-0.009849238162552953,0.014404545454545455
201610,-0.031687924078831725,0.014423809523809523
201611,0.008670347292600739,0.014613636363636362
201612,0.025215025323598702,0.014775
201701,-0.0106734707222697,0.01476
201702,-0.002404900190154,0.014715
201703,0.009803717255550487,0.014708695652173913
201704,-0.004629698206784929,0.014617647058823529
201705,0.007740981031527009,0.014660869565217392
201706,-0.011503423534466959,0.01466190476190476
201707,-0.006613268644680552,0.014752380952380953
201708,-0.008041524488213226,0.014717391304347826
201709,-0.019274647557710176,0.014776190476190476
201710,0.027019450389964263,0.014786363636363637
201711,0.00936967372960479,0.01470909090909091
201712,0.007159281531630106,0.014842105263157894
201801,-0.014242261083528964,0.014861904761904764
201802,-0.0126018132181034,0.01472
201803,-0.025921544701291852,0.014752380952380953
201804,0.027337052779682014,0.014784210526315789
201805,0.0009995384062031175,0.014821739130434781
201806,0.013448519610360601,0.0149
201807,-0.0016853758769299534,0.014854545454545454
201808,-0.0046063080362866,0.0148
201809,0.0721903712076256,0.014745
201810,-0.0743117774189256,0.014830434782608695
201811,-0.039579964789188904,0.0149
201812,-0.009643315111039536,0.014805263157894736
201901,0.0300238426469766,0.0147
201902,0.0444524361124894,0.014570000000000001
201903,-0.0013447987421267883,0.014290476190476189
201904,0.009198885927017321,0.013868421052631578
201905,0.004216011307735896,0.012669565217391305
201906,0.029658724598185904,0.010442105263157895
201907,0.01926401759069942,0.008952173913043478
201908,-0.033259170065913224,0.008227272727272727
201909,0.011398535305962404,0.007995238095238095
201910,-0.007377050804153257,0.0062043478260869565
201911,0.027800994593260606,0.006595238095238096
201912,-0.0193129075699155,0.0068000000000000005
202001,0.03985465341768737,0.006228571428571429
202002,-0.0887485468807292,0.006670000000000001
202003,-0.17508223836228468,0.0024636363636363636
202004,0.10425771433840861,0.00126
202005,0.05626268056158169,0.0011047619047619046
202006,0.035593835874289936,0.0011666666666666665
202007,0.017012122597999994,0.0010695652173913044
202008,0.031946969741246396,0.000995
202009,-0.035433194100730474,0.0008227272727272727
202010,0.023161256166577566,0.0005333333333333334
202011,0.11597290175039311,0.00018571428571428572
202012,0.032206434892027354,0.00014761904761904763
202101,0.0055757814271972525,2.105263157894737e-05
202102,0.0249406597652632,-4.4999999999999996e-05
202103,0.01803444850638404,-9.565217391304347e-05
202104,0.0463357336807717,-8e-05
202105,0.021808077621391767,-6.666666666666667e-05
202106,0.02560661629006488,1.9047619047619046e-05
202107,0.022614220915542164,3.6363636363636364e-05
202108,0.019450432729333476,2.380952380952381e-05
202109,-0.024216058276117527,2.727272727272727e-05
202110,-0.001268299693574,0.00029
202111,0.006409038138101272,0.00017727272727272728
202112,0.031444404574734436,0.0002619047619047619
202201,-0.040818798914154235,0.0005052631578947368
202202,0.0153117213134603,0.00042
202203,0.08354103372758549,0.0010391304347826087
202204,-0.014396488410869332,0.0031833333333333336
202205,-0.04978799155232323,0.008036363636363637
202206,-0.1005460629979934,0.014300000000000002
