yearmonth,year,month,smb,hml,rmw,cma,wml
200807,2008,7,-2.5611384360700002,5.785340261350001,2.7038774659700002,6.193481028950001,-4.438585967030001
200808,2008,8,-3.7409815953999996,-1.6333742332,5.988957056,6.109079755399999,2.6036809819999998
200809,2008,9,-0.9459792396,3.6890020027199997,6.5088856956,9.22072786768,-3.3553051534400002
200810,2008,10,-7.846874251359999,4.5301676645599995,0.4603473053599998,8.276796406999999,4.410467065759999
200811,2008,11,-1.1016433354000001,4.41758977682,-3.36828971482,6.419963484199999,4.52939744576
200812,2008,12,1.6371478068200003,2.35809468926,-3.9881351048500004,-4.80394341919,-9.0632217115
200901,2009,1,-0.3758558560599998,3.43357564316,-5.63803665583,2.0131096604,2.3897483679500002
200902,2009,2,3.35916640729,-4.24194298025,1.1047691348700002,-3.3940502007999998,0.30675240127000003
200903,2009,3,-2.92502546255,-6.1647024605,2.3805325196,-7.26337552937,-10.00536301749
200904,2009,4,-0.03503647659999998,-1.5014026151,-1.7284528559,-5.5126235358999995,-13.4593819639
200905,2009,5,9.5504107652,4.8307317979999995,-7.1796574804,-5.866595044,-16.6373799244
200906,2009,6,-0.57095390692,-2.6576780869,2.9199211231399995,0.10186837540999982,0.37489770736999994
200907,2009,7,0.019026687119999997,6.525120151039999,0.24438835830999994,-1.69568168063,-2.4795483630299997
200908,2009,8,3.903678063620001,-5.0452877386,7.4852376956,-3.14104253482,-4.44342785554
200909,2009,9,0.22066128895999992,0.4495352806399999,1.0407930924799995,-2.77377343552,-0.2943051923200001
200910,2009,10,1.5554699268000003,2.0358214168,-2.2200927846000003,1.5362558671999995,1.1615817050000001
200911,2009,11,1.6650544791500002,-2.56709195965,-0.5308705598500001,-0.4610002177,1.2458324262500002
200912,2009,12,-0.39625153325999996,1.5582562150000001,1.3740617675200002,0.6577500273200001,0.7089151516199999
201001,2010,1,4.55717589176,-0.013399932259999914,1.1242103499300007,1.7081165124700002,-2.72151644473
201002,2010,2,-2.0812136197599997,1.57288796554,-0.008887515219999975,-1.2002247444,1.002247444
201003,2010,3,-0.4364646798199999,1.1472638924099998,0.9237929895800001,-2.01047712584,1.5942056980700001
