ticker_year_month,ticker,yearmonth,year,industry,month,ret,mktrf,smb,hml,wml,pmc,winsor_ret,winsor_mktrf,winsor_smb,winsor_hml,winsor_wml,winsor_pmc,ticker_encode,date,_Nobs,_R2,_adjR2,_b_winsor_mktrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_wml,_b_winsor_pmc,_b_cons
ABC_2020_04,ABC,202004,2020,206,4,.31884059,11.12,1.13,-5.6599998,4.8600001,.0089209732,.25617579,11.12,1.13,-5.6599998,4.8600001,.0089209732,ABC,2020m4,18,.4342350507949874,.1984996552928987,.0153472489929735,.0060085624444605,.0009997217694279,-.0037956811412017,-2.784745674884153,.0096619974930136
ABC_2020_03,ABC,202003,2020,206,3,-.31,-19.08,-2.48,1.17,-2.79,.0049916878,-.23063533,-12.22,-2.48,1.17,-2.79,.0049916878,ABC,2020m3,18,.4342350507949874,.1984996552928987,.0153472489929735,.0060085624444605,.0009997217694279,-.0037956811412017,-2.784745674884153,.0096619974930136
ABC_2020_07,ABC,202007,2020,206,7,-.30503145,2.3199999,2.3399999,-6,7.6500001,.014557776,-.23063533,2.3199999,2.3399999,-6,6.71,.014557776,ABC,2020m7,18,.4342350507949874,.1984996552928987,.0153472489929735,.0060085624444605,.0009997217694279,-.0037956811412017,-2.784745674884153,.0096619974930136
ABY1_2010_07,ABY1,201007,2010,54,7,.36923078,9.5600004,-1.08,-.91000003,.56,.000041505038,.25617579,9.5600004,-1.08,-.91000003,.56,.000041505038,ABY1,2010m7,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2015_02,ABY1,201502,2015,54,2,-.050000001,3.25,-.41,-3.1900001,.46000001,-.0071717268,-.050000001,3.25,-.41,-3.1900001,.46000001,-.0071717268,ABY1,2015m2,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2012_04,ABY1,201204,2012,54,4,-.084507041,1.16,-1.98,1.3200001,1.9400001,.0017344183,-.084507041,1.16,-1.98,1.3200001,1.9400001,.0017344183,ABY1,2012m4,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2011_07,ABY1,201107,2011,54,7,-.019736841,1.29,1.25,-1.0599999,4.3699999,-.0039269351,-.019736841,1.29,1.25,-1.0599999,4.3699999,-.0039269351,ABY1,2011m7,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2011_09,ABY1,201109,2011,54,9,-.28099173,-15.79,-.18000001,1.92,-3.52,-.0012653624,-.23063533,-12.22,-.18000001,1.92,-3.52,-.0012653624,ABY1,2011m9,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2011_11,ABY1,201111,2011,54,11,-.21428572,-6.5300002,.97000003,-1.0700001,5.4000001,-.00010474263,-.21428572,-6.5300002,.97000003,-1.0700001,5.4000001,-.00010474263,ABY1,2011m11,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2015_01,ABY1,201501,2015,54,1,.052631579,.38,-2.9200001,4.4200001,5.0300002,-.0053426269,.052631579,.38,-2.9200001,4.1100001,5.0300002,-.0053426269,ABY1,2015m1,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
