yearmonth,asx500_ret,rf,rmrf
200807,-0.0428906941141778,0.07324347826086956,-0.11613417237504736
200808,0.0385674920315309,0.06737619047619048,-0.02880869844465958
200809,-0.1127491270021212,0.06439090909090908,-0.17714003609303028
200810,-0.1056843725710523,0.04701739130434783,-0.15270176387540013
200811,-0.0522636528881352,0.03523,-0.0874936528881352
200812,0.0151853821921344,0.030766666666666668,-0.015581284474532268
200901,-0.024548084767215,0.03251,-0.057058084767214995
200902,-0.0295648649286973,0.026109999999999998,-0.0556748649286973
200903,0.0885401408317803,0.027563636363636363,0.06097650446814394
200904,0.0623542628757818,0.027175,0.0351792628757818
200905,0.042837065705702,0.028576190476190474,0.014260875229511524
200906,0.0174570991924363,0.02933809523809524,-0.01188099604565894
200907,0.0844314569205422,0.02938695652173913,0.05504450039880307
200908,0.0504295890179784,0.030714285714285715,0.019715303303692686
200909,0.0569867143729662,0.03131818181818182,0.02566853255478438
200910,-0.0137746864658028,0.035754545454545456,-0.049529231920348256
200911,0.0339878168028946,0.036976190476190475,-0.002988373673295873
200912,0.0430804853069711,0.03825714285714286,0.004823342449828245
201001,-0.0596125444495277,0.03945789473684211,-0.09907043918636982
201002,0.0178602857591792,0.03864,-0.020779714240820802
201003,0.0595637227429866,0.04123043478260869,0.018333287960377913
201004,-0.0071051117944748,0.0437,-0.050805111794474805
201005,-0.0488781879835425,0.04506666666666667,-0.09394485465020917
201006,-0.0220718983292839,0.04501904761904761,-0.06709094594833151
201007,0.0424354607816254,0.045109090909090904,-0.0026736301274655067
201008,0.0002917905496064,0.044768181818181825,-0.04447639126857542
201009,0.0475335604752975,0.04595454545454545,0.001579015020752049
201010,0.1745809098148189,0.04606190476190476,0.12851900505291414
201011,0.0022229367361711,0.04746818181818181,-0.045245245082010714
201012,0.0357648158285445,0.04747619047619048,-0.011711374647645975
201101,0.0034134273574867,0.04743157894736842,-0.04401815158988172
201102,0.0187061207554456,0.04747,-0.028763879244554397
201103,0.0039486387326682,0.0472,-0.0432513612673318
201104,-0.004706153514578,0.04737222222222223,-0.052078375736800235
201105,0.0128806395158438,0.04796363636363636,-0.035082996847792564
201106,-0.0202867448214034,0.04734285714285714,-0.06762960196426054
201107,-0.0287113987184092,0.04678571428571429,-0.07549711300412348
201108,-0.0241546534990881,0.043459090909090906,-0.06761374440817901
201109,-0.0610747934576375,0.043781818181818186,-0.10485661163945569
201110,0.0715040560965947,0.043825,0.027679056096594698
201111,-0.0305340711126193,0.041318181818181816,-0.07185225293080111
201112,-0.0070947213175476,0.03986,-0.0469547213175476
201201,0.0602281971722766,0.03966,0.0205681971722766
201202,0.0135061575928511,0.04095714285714286,-0.02745098526429176
201203,0.5633066261082013,0.04143181818181819,0.5218748079263831
201204,0.0319246776568691,0.03968888888888889,-0.007764211232019792
201205,-0.0668224872711564,0.03364347826086956,-0.10046596553202597
201206,0.0061584555160249,0.031645,-0.0254865444839751
201207,0.0347382075992023,0.03276363636363636,0.001974571235565936
201208,0.0088747642053055,0.03302173913043478,-0.02414697492512928
201209,0.025203057619922,0.032235,-0.007031942380078
201210,0.0309793090945572,0.030247826086956517,0.000731483007600682
201211,0.0019597600171065,0.03058636363636363,-0.028626603619257132
201212,0.0473902359403159,0.028642105263157896,0.018748130677158
201301,0.0506947586720326,0.028257142857142856,0.022437615814889747
201302,0.0427684319290795,0.028259999999999997,0.014508431929079506
201303,-0.0280302737960027,0.028855,-0.056885273796002694
201304,0.041900771957356,0.028370000000000003,0.013530771957356
201305,-0.0272168222152426,0.02612173913043478,-0.05333856134567738
201306,-0.0276643081644394,0.02575263157894737,-0.05341693974338677
201307,0.0644204690204528,0.025391304347826087,0.03902916467262671
201308,0.0201836582800716,0.023938095238095237,-0.003754436958023636
201309,0.021966558468477,0.02400952380952381,-0.0020429653410468096
201310,0.0405125669474856,0.024263636363636362,0.016248930583849235
201311,-0.0122942771681552,0.024366666666666665,-0.036660943834821866
201312,0.0110176561332625,0.024355,-0.013337343866737501
201401,-0.0269854579828479,0.02459047619047619,-0.051575934173324095
201402,0.0415999916398656,0.02474,0.0168599916398656
201403,0.0006637336722653,0.02479047619047619,-0.02412674251821089
201404,0.0134601799409335,0.024863157894736844,-0.011402977953803344
201405,0.0008528663501398,0.02480909090909091,-0.02395622455895111
201406,-0.0168420845551931,0.024795,-0.041637084555193105
201407,0.0521885803361451,0.024669565217391307,0.027519015118753796
201408,-0.0040287855247225,0.024700000000000003,-0.0287287855247225
201409,-0.0511826409695171,0.024822727272727274,-0.07600536824224438
201410,0.0357460850541148,0.024709090909090906,0.011036994145023894
201411,-0.0104146168506983,0.02466,-0.0350746168506983
201412,0.0178567291907958,0.024242857142857142,-0.006386127952061341
201501,0.0344536149733983,0.023649999999999997,0.010803614973398303
201502,0.073303605406443,0.02081,0.052493605406443
201503,-0.0064262222208716,0.020704545454545455,-0.027130767675417056
201504,-0.0113330280668102,0.020385,-0.0317180280668102
201505,-0.002054165700431,0.01956190476190476,-0.02161607046233576
201506,-0.0559574386108264,0.01937142857142857,-0.07532886718225497
201507,0.0398643428547463,0.019126086956521737,0.02073825589822456
201508,-0.0744689212872262,0.019225,-0.0936939212872262
201509,-0.0227084156561697,0.01920909090909091,-0.04191750656526061
201510,0.0493002660495108,0.018828571428571427,0.030471694620939373
201511,-0.0120587849861169,0.019404761904761904,-0.0314635468908788
201512,0.0260487835788564,0.019614285714285713,0.006434497864570687
201601,-0.0484067179294403,0.019226315789473685,-0.06763303371891398
201602,-0.0097274123200309,0.01911904761904762,-0.02884645993907852
