yearmonth,year_x,month_x,mktrf,smb,hml,rmw,cma,rf,year_y,month_y,wml
201612,2016,12,-1.9,0.82,1.19,1.13,0.52,0.03,2016.0,12.0,-0.68
201701,2017,1,5.9,-1.54,3.33,-0.58,2.73,0.04,2017.0,1.0,2.96
201702,2017,2,2.23,-1.46,2.62,-0.82,-0.14,0.04,2017.0,2.0,-1.92
201703,2017,3,2.82,-2.38,-1.06,1.68,0.48,0.03,2017.0,3.0,1.89
201704,2017,4,0.27,-1.55,1.25,-0.62,-1.27,0.05,2017.0,4.0,0.56
201705,2017,5,-0.21,-0.82,0.69,-1.3,0.61,0.06,2017.0,5.0,0.11
201706,2017,6,1.91,-1.33,-0.92,4.17,-0.86,0.06,2017.0,6.0,0.85
201707,2017,7,3.21,0.03,2.57,-1.35,2.17,0.07,2017.0,7.0,1.3
201708,2017,8,0.59,-0.92,1.76,-0.63,1.05,0.09,2017.0,8.0,1.6
201709,2017,9,-0.21,1.54,-1.81,-0.44,-0.43,0.09,2017.0,9.0,1.6
201710,2017,10,1.52,1.69,1.27,-0.85,-0.65,0.09,2017.0,10.0,2.27
201711,2017,11,1.0,-1.59,-0.82,0.65,-1.21,0.08,2017.0,11.0,1.18
201712,2017,12,3.03,0.63,-3.63,1.56,-0.45,0.09,2017.0,12.0,0.06
201801,2018,1,4.12,-1.49,1.26,0.2,-0.65,0.11,2018.0,1.0,0.99
201802,2018,2,-3.15,-0.4,0.26,2.06,-0.49,0.11,2018.0,2.0,1.92
201803,2018,3,-3.36,1.45,0.66,0.43,-0.39,0.12,2018.0,3.0,0.95
201804,2018,4,1.83,-4.48,2.19,0.35,0.91,0.14,2018.0,4.0,1.7
201805,2018,5,0.26,0.77,-2.69,2.91,-1.18,0.14,2018.0,5.0,0.96
201806,2018,6,-3.0,-1.29,-0.58,0.73,0.05,0.14,2018.0,6.0,-1.38
201807,2018,7,1.17,-2.78,1.35,-0.67,0.52,0.16,2018.0,7.0,-0.91
201808,2018,8,-2.43,-1.31,-3.02,1.61,-0.63,0.16,2018.0,8.0,0.33
201809,2018,9,-0.82,0.07,3.15,-0.55,1.4,0.15,2018.0,9.0,-0.19
201810,2018,10,-9.4,0.56,1.52,0.55,2.18,0.19,2018.0,10.0,-1.83
201811,2018,11,3.36,-1.49,-1.21,-0.1,-2.87,0.18,2018.0,11.0,-3.28
201812,2018,12,-2.6,-2.32,1.17,0.64,-0.51,0.19,2018.0,12.0,0.99
201901,2019,1,6.4,-4.7,0.94,0.68,0.0,0.21,2019.0,1.0,-0.42
201902,2019,2,3.34,-1.13,-0.18,0.45,-0.8,0.18,2019.0,2.0,-0.62
201903,2019,3,0.75,-0.16,1.27,0.73,0.02,0.19,2019.0,3.0,3.79
201904,2019,4,1.61,-0.46,-2.37,-0.05,0.01,0.21,2019.0,4.0,-0.3
201905,2019,5,-4.3,0.4,-1.79,2.2,1.29,0.21,2019.0,5.0,5.99
201906,2019,6,5.07,-4.21,0.11,1.56,0.19,0.18,2019.0,6.0,3.25
201907,2019,7,-1.44,1.35,-3.53,2.82,-1.7,0.19,2019.0,7.0,-0.16
201908,2019,8,-6.27,1.55,-3.04,1.88,-1.21,0.16,2019.0,8.0,2.37
201909,2019,9,1.16,1.3,0.38,0.91,-0.49,0.18,2019.0,9.0,-1.34
201910,2019,10,2.81,-2.39,-0.31,1.65,-1.62,0.15,2019.0,10.0,1.46
201911,2019,11,-0.19,-1.44,-0.37,2.04,-0.42,0.12,2019.0,11.0,-0.75
201912,2019,12,2.99,1.44,1.02,0.5,-0.98,0.14,2019.0,12.0,1.93
202001,2020,1,-2.87,-1.44,-2.96,1.08,-0.62,0.13,2020.0,1.0,3.72
202002,2020,2,-6.79,-1.93,3.57,-2.65,0.2,0.12,2020.0,2.0,-3.15
202003,2020,3,-19.08,-2.48,1.17,-1.12,1.89,0.12,2020.0,3.0,-2.79
202004,2020,4,11.12,1.13,-5.66,6.48,-3.55,0.0,2020.0,4.0,4.86
202005,2020,5,0.32,5.61,-8.65,7.12,-2.84,0.01,2020.0,5.0,0.47
202006,2020,6,7.58,-2.96,1.3,-0.75,-0.83,0.01,2020.0,6.0,3.09
202007,2020,7,2.32,2.34,-6.0,2.19,-0.74,0.01,2020.0,7.0,7.65
202008,2020,8,6.42,0.41,-3.91,0.68,-5.11,0.01,2020.0,8.0,3.42
202009,2020,9,-4.98,2.87,0.14,-0.79,-1.55,0.01,2020.0,9.0,0.71
202010,2020,10,-0.03,-0.43,-0.11,0.26,0.41,0.01,2020.0,10.0,0.39
202011,2020,11,13.52,-1.93,2.0,0.67,1.6,0.01,2020.0,11.0,-8.37
202012,2020,12,5.25,1.3,-2.56,2.65,-0.04,0.01,2020.0,12.0,6.1
202101,2021,1,1.16,1.81,0.77,-4.32,0.71,0.0,2021.0,1.0,5.82
202102,2021,2,3.87,1.63,4.91,-1.72,2.89,0.0,2021.0,2.0,-0.72
202103,2021,3,1.14,-2.29,4.11,-0.23,1.41,0.0,2021.0,3.0,-3.84
202104,2021,4,4.34,2.08,-1.59,0.91,-2.31,0.0,2021.0,4.0,6.71
202105,2021,5,1.75,-0.43,1.19,2.05,2.01,0.0,2021.0,5.0,-2.36
202106,2021,6,-0.87,0.6,-0.98,0.08,-1.71,0.0,2021.0,6.0,0.85
202107,2021,7,-2.74,1.26,0.14,3.6,-2.2,0.0,2021.0,7.0,-0.96
202108,2021,8,1.0,0.93,-3.07,-2.06,-3.93,0.0,2021.0,8.0,6.41
202109,2021,9,-3.93,2.73,1.86,-1.63,-0.09,0.0,2021.0,9.0,1.3
202110,2021,10,3.86,1.37,-0.15,-1.19,-0.23,0.0,2021.0,10.0,0.49
202111,2021,11,-5.68,1.71,-0.79,3.62,0.37,0.0,2021.0,11.0,-0.98
202112,2021,12,2.24,0.19,2.63,4.17,1.83,0.01,2021.0,12.0,0.0
202201,2022,1,-4.97,-2.31,10.25,-2.25,8.06,0.0,2022.0,1.0,-6.02
202202,2022,2,1.63,-2.58,2.57,1.2,2.49,0.0,2022.0,2.0,1.47
202203,2022,3,5.1,-0.24,-0.93,0.74,-1.66,0.0,2022.0,3.0,4.98
202204,2022,4,-5.17,0.49,5.2,-1.06,3.98,0.0,2022.0,4.0,3.35
202205,2022,5,-0.52,-3.44,3.99,0.29,2.17,0.03,2022.0,5.0,-0.25
202206,2022,6,-7.43,-2.82,3.96,-0.9,6.08,0.06,2022.0,6.0,-5.39
202207,2022,7,3.08,2.23,-7.6,-0.23,-4.23,0.08,2022.0,7.0,0.53
202208,2022,8,-1.07,0.43,1.4,0.58,-0.99,0.19,2022.0,8.0,4.01
202209,2022,9,-10.5,-1.19,4.6,-1.55,2.9,0.19,2022.0,9.0,3.24
