ticker_year_month,ticker,yearmonth,year,month,ret,mktrf,smb,hml,wml,pmc,winsor_ret,winsor_mktrf,winsor_smb,winsor_hml,winsor_wml,winsor_pmc,ticker_encode,date,_Nobs,_R2,_adjR2,_b_winsor_mktrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_wml,_b_winsor_pmc,_b_cons
ABC_2020_03,ABC,202003,2020,3,-.31,-19.08,-2.48,1.17,-2.79,.0078662615,-.21921182,-12.22,-2.48,1.17,-2.79,.0078662615,ABC,2020m3,18,.5273430436084127,.3304026451119179,.0123583420181703,.017161618133194,.0026731078287366,-.0083905985313641,-7.444346269732288,-.0006122164644919
ABC_2021_04,ABC,202104,2021,4,-.074712642,4.3400002,2.0799999,-1.59,6.71,-.0041829776,-.074712642,4.3400002,2.0799999,-1.59,6.71,-.0041829776,ABC,2021m4,18,.5273430436084127,.3304026451119179,.0123583420181703,.017161618133194,.0026731078287366,-.0083905985313641,-7.444346269732288,-.0006122164644919
ABY1_2012_05,ABY1,201205,2012,5,-.16923077,-11.42,.63,3.6199999,4.7399998,-.0045242729,-.16923077,-11.42,.63,3.6199999,4.7399998,-.0045242729,ABY1,2012m5,32,.70780351077688,.6516118782339723,.0152288202783975,.0063269298632838,-.0011590974063945,-.0023242480793842,4.488186456281269,-.0280458420387245
ABY1_2011_06,ABY1,201106,2011,6,-.14124294,-2.3199999,-1.98,-.059999999,.15000001,.0080062822,-.14124294,-2.3199999,-1.98,-.059999999,.15000001,.0080062822,ABY1,2011m6,32,.70780351077688,.6516118782339723,.0152288202783975,.0063269298632838,-.0011590974063945,-.0023242480793842,4.488186456281269,-.0280458420387245
ABY1_2012_06,ABY1,201206,2012,6,-.12962963,4.4699998,-3.0799999,1.26,3.9400001,-.010560289,-.12962963,4.4699998,-3.0799999,1.26,3.9400001,-.010560289,ABY1,2012m6,32,.70780351077688,.6516118782339723,.0152288202783975,.0063269298632838,-.0011590974063945,-.0023242480793842,4.488186456281269,-.0280458420387245
ABY1_2010_11,ABY1,201011,2010,11,-.024793388,-1.15,1.08,.66000003,5.1399999,.013059115,-.024793388,-1.15,1.08,.66000003,5.1399999,.013059115,ABY1,2010m11,32,.70780351077688,.6516118782339723,.0152288202783975,.0063269298632838,-.0011590974063945,-.0023242480793842,4.488186456281269,-.0280458420387245
ABY1_2011_04,ABY1,201104,2011,4,.21621622,4.77,-.61000001,-.52999997,2.1199999,-.0036736229,.21621622,4.77,-.61000001,-.52999997,2.1199999,-.0036736229,ABY1,2011m4,32,.70780351077688,.6516118782339723,.0152288202783975,.0063269298632838,-.0011590974063945,-.0023242480793842,4.488186456281269,-.0280458420387245
ABY1_2010_10,ABY1,201010,2010,10,.043103449,3.7,1.4400001,-2.3199999,1.3200001,.0032072682,.043103449,3.7,1.4400001,-2.3199999,1.3200001,.0032072682,ABY1,2010m10,32,.70780351077688,.6516118782339723,.0152288202783975,.0063269298632838,-.0011590974063945,-.0023242480793842,4.488186456281269,-.0280458420387245
ABY1_2011_11,ABY1,201111,2011,11,-.21428572,-6.5300002,.97000003,-1.0700001,5.4000001,-.014926546,-.21428572,-6.5300002,.97000003,-1.0700001,5.4000001,-.014926546,ABY1,2011m11,32,.70780351077688,.6516118782339723,.0152288202783975,.0063269298632838,-.0011590974063945,-.0023242480793842,4.488186456281269,-.0280458420387245
ABY1_2012_04,ABY1,201204,2012,4,-.084507041,1.16,-1.98,1.3200001,1.9400001,-.001405648,-.084507041,1.16,-1.98,1.3200001,1.9400001,-.001405648,ABY1,2012m4,32,.70780351077688,.6516118782339723,.0152288202783975,.0063269298632838,-.0011590974063945,-.0023242480793842,4.488186456281269,-.0280458420387245
ABY1_2011_05,ABY1,201105,2011,5,-.016666668,-2.53,-1.98,2.01,4.3099999,.014334024,-.016666668,-2.53,-1.98,2.01,4.3099999,.014334024,ABY1,2011m5,32,.70780351077688,.6516118782339723,.0152288202783975,.0063269298632838,-.0011590974063945,-.0023242480793842,4.488186456281269,-.0280458420387245
ABY1_2010_05,ABY1,201005,2010,5,-.30555555,-12.22,-3.0599999,1.5599999,-3.97,-.0066264868,-.21921182,-12.22,-3.0599999,1.5599999,-3.97,-.0066264868,ABY1,2010m5,32,.70780351077688,.6516118782339723,.0152288202783975,.0063269298632838,-.0011590974063945,-.0023242480793842,4.488186456281269,-.0280458420387245
ABY1_2010_07,ABY1,201007,2010,7,.36923078,9.5600004,-1.08,-.91000003,.56,.0093235197,.25,9.5600004,-1.08,-.91000003,.56,.0093235197,ABY1,2010m7,32,.70780351077688,.6516118782339723,.0152288202783975,.0063269298632838,-.0011590974063945,-.0023242480793842,4.488186456281269,-.0280458420387245
ABY1_2011_10,ABY1,201110,2011,10,.12643678,13.98,-2.74,-.88999999,-1.1,.0108558,.12643678,12.84,-2.74,-.88999999,-1.1,.0108558,ABY1,2011m10,32,.70780351077688,.6516118782339723,.0152288202783975,.0063269298632838,-.0011590974063945,-.0023242480793842,4.488186456281269,-.0280458420387245
