yearmonth,ticker,ret
201604,1AL,0.0
201605,1AL,0.0102040722511456
201606,1AL,-0.0404040622181408
201607,1AL,-0.0578947449418283
201608,1AL,0.1061452860522462
201609,1AL,-0.0303030613100701
201610,1AL,0.0260417036946623
201611,1AL,-0.0050761369836894
201612,1AL,-0.0102040712307373
201701,1AL,0.0154639015995328
201702,1AL,-0.0101522739673789
201703,1AL,-0.0307692618067052
201704,1AL,0.0052910000391925
201705,1AL,-0.0052631526980607
201706,1AL,-0.0370370023907503
201707,1AL,-0.0329670660910508
201708,1AL,0.1136363915547522
201709,1AL,0.0
201710,1AL,-0.0102040712307373
201711,1AL,-0.0103093295886901
201712,1AL,-0.0156249857584631
201801,1AL,0.0158730011757788
201802,1AL,-0.0625000044921875
202007,360,0.6519607592031906
202008,360,0.2166172236481789
202009,360,0.0
202010,360,-0.0390243540749544
202011,360,0.0076142059812156
202012,360,-0.0428211777728427
202101,360,0.0184210354958447
202102,360,0.131783008533143
202103,360,0.0958904260430344
202104,360,0.2020832815421027
202105,360,0.005199343171367
202106,360,0.151724070348397
202107,360,0.1931137717388575
202108,360,0.1480551894719686
202109,360,-0.0185792441616058
202110,360,0.2238307717722154
202111,360,0.1010009675368719
202112,360,-0.1975206832183587
201504,3PL,0.0897436092811754
201505,3PL,-0.0392156493656278
201506,3PL,-0.0938775569362765
201507,3PL,0.0090090003327654
201508,3PL,-0.0848214540856185
201509,3PL,-0.0926828987555019
201510,3PL,0.2795699441322692
201511,3PL,-0.1344538469211184
201512,3PL,-0.0242718225162591
201601,3PL,-0.1641791261899458
201602,3PL,-0.1607142793792515
201603,3PL,0.0
201604,3PL,-0.1205673482118599
201605,3PL,-0.1290322304110303
201606,3PL,-0.3194444585776743
201607,3PL,0.1292516560414649
201608,3PL,0.1385542317535204
201609,3PL,0.1693121980795611
201610,3PL,-0.1176470522757521
201611,3PL,0.1948717264852089
201612,3PL,-0.0128755248834935
201701,3PL,-0.1739130366729676
201702,3PL,0.0526315922437674
201703,3PL,-0.0299999709999999
201704,3PL,0.0103092677330218
201705,3PL,0.0816325739275316
201706,3PL,-0.0141509309496256
201707,3PL,0.0526316452279052
201708,3PL,-0.1000000105454543
201709,3PL,0.2020202474543408
201710,3PL,0.058823470291649
201711,3PL,0.015873000919627
201712,3PL,0.1601562872222908
201801,3PL,0.0437710016075463
201802,3PL,-0.0193548205993751
201803,3PL,-0.0263157648026313
201804,3PL,-0.0033783749566289
201805,3PL,-0.0813559342694628
201806,3PL,-0.0774907878433026
201807,3PL,-0.007999992
201808,3PL,-0.0161290168054111
201809,3PL,0.0327868524993291
201810,3PL,-0.0476190019652302
201811,3PL,-0.0416667249999976
201812,3PL,0.0434783243856347
201901,3PL,-0.0416667249999976
201902,3PL,-0.0478260418676739
201903,3PL,-0.0593607819895316
201904,3PL,0.0388350311905008
201905,3PL,-0.0280374659271511
201906,3PL,-0.0576922549926016
201907,3PL,0.0
201908,3PL,-0.0816326953561007
201909,3PL,-0.0388888521481471
201910,3PL,0.0867051874369342
201911,3PL,-0.0851063661385241
201912,3PL,0.0058139487425636
202001,3PL,-0.0289017753884187
202002,3PL,-0.1904761570861668
202003,3PL,0.2352940666955023
202004,3PL,-0.1071428295068018
202005,3PL,0.0
202203,3PL,1.066666602666667
202204,3PL,0.0161290946930299
202205,3PL,-0.1333333533968248
202206,3PL,-0.0952380916099773
202207,3PL,0.0080971586126639
202104,4DX,-0.081395339325311
202105,4DX,-0.189873458123697
202106,4DX,-0.0429687095672598
202107,4DX,0.2571428014927124
202108,4DX,0.0357143301020419
202109,4DX,-0.0815046982046168
202110,4DX,-0.0750853320970539
202111,4DX,0.0110701002137771
202112,4DX,-0.0145985262240929
202201,4DX,-0.1851851818930041
202202,4DX,-0.3636363884297516
202203,4DX,0.214285769387756
202204,4DX,-0.141176472484429
202205,4DX,-0.1164384051885895
202206,4DX,-0.0852713311940391
202207,4DX,0.2033898479459932
201704,88E,0.1219511921475318
201705,88E,0.0434782608695651
201706,88E,0.1875
201707,88E,-0.4736842280701755
201708,88E,0.3000000766666693
201709,88E,-0.4871795003287307
201710,88E,-0.14999995
201711,88E,0.2352940449827032
201712,88E,0.2380952857142855
201801,88E,0.1153845340236718
201802,88E,0.0
201604,8IH,-0.0425532149841557
201605,8IH,-0.0555555037037024
201606,8IH,-0.0705882368304497
201607,8IH,-0.0316456130828382
201608,8IH,-0.0196078251954372
201609,8IH,0.0133333199999998
201610,8IH,0.0131578830678669
201611,8IH,-0.0714285822820038
201612,8IH,0.0069930841703778
201701,8IH,-0.0277778336033929
201702,8IH,-0.0142857002448976
