,year,nger_name,scope1,scope2,energy_consumption,total_emissions,morningstar_name,match_score,ticker
281,2010,brickworks,293363.0,127345.0,6322368.0,293363127345.0,brickworks,100.0,BKW
293,2010,centennial coal company,1985142.0,239621.0,1552207.0,1985142239621.0,centennial coal company,100.0,CEY
294,2010,centro properties,2890.0,151880.0,622973.0,2890151880.0,centro properties,100.0,CEP
301,2010,coca-cola amatil,54639.0,130757.0,1482864.0,54639130757.0,coca-cola amatil,100.0,CCL
303,2010,commonwealth bank of australia,25054.0,407569.0,1898167.0,25054407569.0,commonwealth bank of australia,100.0,CBA
309,2010,crane,15697.0,98938.0,657891.0,1569798938.0,crane,100.0,CRG
312,2010,csr,631392.0,431932.0,52212722.0,631392431932.0,csr,100.0,CSR
314,2010,david jones,4850.0,104448.0,419571.0,4850104448.0,david jones,100.0,DJS
318,2010,dexus,7871.0,133822.0,612409.0,7871133822.0,dexus,100.0,DXS
321,2010,downer edi,209004.0,45462.0,10139177.0,20900445462.0,downer edi,100.0,DOW
327,2010,energy developments,1045811.0,2806.0,23655245.0,10458112806.0,energy developments,100.0,ENE1
330,2010,envestra,607017.0,42.0,197.0,60701742.0,envestra,100.0,ENV1
337,2010,fairfax media,7197.0,89997.0,459563.0,719789997.0,fairfax media,100.0,FXJ
339,2010,felix resources,162530.0,22113.0,1248912.0,16253022113.0,felix resources,100.0,FLX1
343,2010,fortescue metals,444705.0,39714.0,6663106.0,44470539714.0,fortescue metals,100.0,FMG
344,2010,foster's,78223.0,155676.0,1683584.0,78223155676.0,foster's,100.0,FGL1
352,2010,goodman fielder,75569.0,93240.0,1573545.0,7556993240.0,goodman fielder,100.0,GFF
354,2010,graincorp,51269.0,133760.0,1341051.0,51269133760.0,graincorp,100.0,GNC
355,2010,grange resources,196376.0,53398.0,4065160.0,19637653398.0,grange resources,100.0,GRR
359,2010,harvey norman,26095.0,153927.0,939392.0,26095153927.0,harvey norman,100.0,HVN
361,2010,healthscope,11372.0,99888.0,606950.0,1137299888.0,healthscope,100.0,HSO
