year,month,yearmonth_x,_b_log_scope1,_b_log_scope2,_b_log_total_emissions,_b_log_energy_consumption,_b_change_scope1,_b_change_scope2,_b_change_total_emissions,_b_change_energy_consumption,_b_scope1_int,_b_scope2_int,_b_total_emissions_int,_b_energy_consumption_int,yearmonth_y,mktrf,smb,hml,rmw,cma,wml
2009,8,200908,-0.0558190608328415,0.0323847277965535,0.0075691416405823,0.0315730412070137,,,,,-0.0001413307369938,0.0002648130082565,-4.63176944632e-11,-1.26814291263e-06,200908.0,0.0028366969544,0.0258257711762002,-0.063663886846,0.0616413674960001,-0.0446214348081999,-0.0576452880154
2009,9,200909,-0.0022903728507557,-0.0052815568701132,-0.0057309555862855,-0.0083811424581646,,,,,6.50278138954e-06,7.43721746365e-05,6.78314598166e-13,1.97779607548e-06,200909.0,0.0366084539839999,-0.0436881714304001,-0.0413994315135999,-0.0354868533951999,-0.0736325186752,-0.0488378362432
2009,10,200910,0.0088804899720051,0.0044962776086498,0.0075825627448829,0.0097112300763673,,,,,-1.87946477069e-05,-0.0002284039646375,1.30200770038e-11,-3.36435031188e-06,200910.0,-0.02728823275,-0.023349350532,-0.0185458356319999,-0.061104977646,-0.023541491128,-0.02728823275
2009,11,200911,-0.0001886210234702,0.0155387716443078,0.0133821607226577,0.0164378131959829,,,,,4.60130384456e-05,0.0001913869749655,7.55094427854e-12,1.89435553867e-06,200911.0,0.0245986602424999,0.0148168123415,-0.0275046520464998,-0.0071424380484998,-0.0064437346269999,0.0106245918125
2009,12,200912,0.0131392939765096,-0.0011347862957953,0.0059823480312995,0.0031749974508581,,,,,1.42215344315e-05,-0.0002551651851332,2.10173673301e-11,-4.88704160469e-07,200912.0,0.0483733969069999,0.0191069458074,0.0386520232899998,0.0368100788152001,0.0296469614132,0.0301586126561999
2010,1,201001,0.0202738208736668,-0.0101415587548235,-0.0006787512047863,0.005163296948112,-1.07494222948e-07,-6.40361355597e-07,-1.3080900994799999e-14,7.68487920144e-09,-1.60776772488e-06,0.0006325334248916,-3.59928039505e-11,8.17258207126e-07,201001.0,-0.0561861596874999,0.0522391742876,0.0065334160474002,0.0179095188693001,0.0237485804946999,-0.0205477490772999
2010,2,201002,-0.0007665849472981,-0.0136230224211853,-0.0071572117559495,-0.0097596555279058,1.4393836879e-08,-8.10725252345e-07,5.25046293301e-15,-3.47766551874e-09,-2.88762810172e-05,0.0002811686536829,1.13036268974e-11,-1.66387150198e-06,201002.0,0.0274532758885999,-0.0196996514175999,0.0168413644353999,0.0010236096278,-0.0108897626639999,0.01113495922
2010,3,201003,0.0582083156246282,0.0053146153373975,0.0244766574288495,0.0118447919614433,3.52014282302e-08,-3.82161803938e-07,4.4300547765199995e-15,-5.39044930315e-10,5.0213989514e-05,0.0009809295419164,5.331198510680001e-12,1.71186820714e-06,201003.0,0.0459409865064999,-0.0324681520081999,-0.0166308662858999,-0.0188655753141999,-0.0482082764683999,-0.0121614482293
2010,4,201004,-0.0008403886361561,-0.0006779652834473,-0.0065428937857461,-0.0011985941780147,-8.18011481993e-08,1.62819343395e-07,-9.52377586753e-15,4.0706924456e-09,-3.27617135293e-05,0.0002566909572684,-2.52027813954e-11,-6.91497433433e-07,201004.0,-0.0076765158039999,0.023641355174,-0.0237293867769999,-0.0052144190289999,0.0078839358140001,-0.0110249674179999
2010,5,201005,0.0173770470671526,0.0237078275222102,0.0140210419994879,0.0087928429669383,8.68547319834e-08,9.40998171562e-10,9.529769786439999e-15,-4.80520657432e-09,1.87371831285e-05,0.0001498635493488,1.34748634107e-11,8.43033995077e-07,201005.0,-0.038452297192,0.0618869253839999,0.112494699216,0.0579434624879999,0.1245441691759998,0.0519187275079999
2010,6,201006,0.0311709631841177,0.0283146149446281,0.0440131773810553,0.0215853642126056,,,,,6.70904776804e-05,0.0002592385198735,1.95608518659e-11,2.80989331714e-06,201006.0,-0.005864132248,-0.014331221302,0.0090777896119997,-0.0039714888124,0.0078824358631999,-0.0228979231684
2010,7,201007,0.0104282351171072,-0.0168444978659448,-0.0066723662597692,-0.0021867278468397,-8.12647176844e-08,-1.78133728548e-06,-3.23427376357e-15,2.71059796615e-09,-1.79445909752e-05,-9.46545025131e-05,-1.9433729502e-12,-1.01023862906e-06,201007.0,0.0391496548135998,-0.0617681283848,-0.0601557201946,-0.0409016694527999,-0.037771700613,-0.0462131317263999
2010,8,201008,-0.0453411600963812,0.0033480764722204,-0.0207672042780345,-0.0654899440133449,2.98389784102e-07,2.08631880498e-06,3.7356023598e-14,-2.81369789863e-08,-1.25148224836e-05,-0.0006671897177369,4.6633815503700005e-12,-1.20093671904e-06,201008.0,-0.0003352097211999,0.0069196904804,0.0123608656316001,-0.0056756223695999,0.0102448530728,0.0420858039576002
2010,9,201009,0.0261897787342145,-0.0099203811813044,0.0009525488096322,0.0467630742027616,,,,,-3.87663933739e-05,0.0002128484651966,-3.95057295029e-11,-2.32824461086e-06,201009.0,0.0409714698292,-0.0623507604267999,-0.084860246304,-0.0899341058254999,-0.0750815352261999,-0.0888270819298999
2010,10,201010,0.0115660887570443,0.0526887509722029,-0.0022857120079314,0.0048852951071541,-2.01456516886e-07,-5.12176064162e-07,-2.99762255406e-14,2.74736799537e-08,-7.31864070458e-05,0.0003008751518559,-4.51360207009e-11,-4.12727575919e-06,201010.0,0.0270135230429999,0.0046311646815999,-0.0326067412648,-0.0060648295795999,-0.0011129803846,0.0034427208748
2010,11,201011,0.011137190033516,-0.0369685674928233,0.005662108004743,0.0120852878108695,-4.84038976685e-08,-4.78595457747e-07,-7.40250245122e-15,5.49709645844e-09,2.28396152081e-05,0.0004025280732385,6.470036487180001e-12,9.31372427031e-07,201011.0,0.003196974506,0.0258285299248,0.0215660845095999,-0.0067487314627999,0.0309028697048001,0.0670321689383999
2010,12,201012,0.0294374991850541,-0.0216937125826568,0.0211223608870608,0.0219448776137052,-1.90508427132e-08,-4.62275898475e-07,-2.9631254174999997e-15,8.37621784005e-09,2.27320927829e-05,0.0004607610425326,2.27757225904e-11,8.00285020866e-07,201012.0,0.0103489912952001,-0.0304397325009999,-0.0803136476763999,-0.050786775694,-0.0570328447671999,-0.0516385123857999
2011,1,201101,-0.0273915828816828,0.0208080741219341,-0.0047274129623245,-0.0300478948892574,4.61906379867e-07,3.21291717599e-06,1.69282063455e-13,8.16477896434e-09,-1.0491378289e-06,0.0001014717100459,8.473657568120001e-12,-2.0211189341e-08,201101.0,0.0159927750550998,0.0149686920240998,0.0548055219300001,0.0197818822697999,0.0443598750138001,0.0282817714270999
2011,2,201102,0.0122680986893705,0.0108516871315397,0.0087489407413055,0.0137963725555429,-5.03862574205e-07,-1.76226978224e-06,-9.36459652574e-14,-3.38518422852e-09,-3.45099979736e-05,0.0001828459467188,-1.50408038125e-11,-1.58573818378e-06,201102.0,-0.0242002163254,-0.0204895797017998,-0.0660913508392,0.0016765917076,-0.0299614679252,-0.0122871197969999
2011,3,201103,-0.00563075866412,0.0327272487983439,0.0102545588583364,0.0098899750682854,,,,,-3.38699728835e-05,-0.0002330227683081,4.664725572280001e-12,-1.06581426447e-06,201103.0,0.0039084957439998,-0.024021560368,-0.033069325024,0.006367127444,-0.0309057291279999,-0.0134986166919999
2011,4,201104,-0.0006166241143895,-0.0439180796575079,-0.0232736574818928,-0.0049146288387134,,,,,2.28877662174e-06,-0.0006932783031994,-7.698295155970001e-12,2.72448797838e-07,201104.0,-0.0067035051061998,-0.0577098537033999,-0.0569513949882,-0.0267078537196,-0.0581838904004,-0.0318274500471998
2011,5,201105,0.0168060583136407,0.0017645212325474,0.0073955392478243,0.0257608516707152,4.84486697421e-09,-3.53909610633e-07,-4.42218646824e-15,-1.47655929521e-10,-1.42681110736e-05,0.0001665079645228,-1.42008412066e-11,-3.44415840818e-07,201105.0,-0.0079157722644999,-0.0023176772069999,0.0382939578465,0.0193622181975001,0.0274031183710001,0.0617041735415
2011,6,201106,-0.0026120698512702,0.0029579234540686,-0.0021075220312246,-0.0015619871065147,-1.15585642663e-07,-9.53991752469e-07,-2.8399537472999997e-14,-1.4202324298e-09,-3.35051785896e-05,-0.0001137684946308,-1.36670880379e-11,-9.93523213918e-07,201106.0,-0.0259287455007999,-0.0225382435912,-0.0033918798663999,0.0314106250292001,-0.0113695314184,-0.0012977463339999
2011,7,201107,0.0424598890488173,-0.0146655475014343,0.0170423466585938,0.0380956043396778,,,,,4.02064369094e-05,0.0004587860719102,-2.1356901328900003e-12,1.3958758199e-06,201107.0,-0.0069807281757,-0.0073728771625,-0.0300194811502,-0.0397251685734999,-0.0262940657756,0.0232147438079
