yearmonth,asx500_ret
200807,-0.04289069411417784
200808,0.03856749203153094
200809,-0.11274912700212121
200810,-0.10568437257105234
200811,-0.0522636528881352
200812,0.01518538219213445
200901,-0.02454808476721502
200902,-0.029564864928697313
200903,0.08854014083178036
200904,0.06235426287578178
200905,0.042837065705701984
200906,0.017457099192436317
200907,0.08443145692054217
200908,0.050429589017978435
200909,0.05698671437296626
200910,-0.013774686465802884
200911,0.03398781680289468
200912,0.0430804853069711
201001,-0.05961254444952772
201002,0.017860285759179275
201003,0.059563722742986575
201004,-0.007105111794474884
201005,-0.048878187983542515
201006,-0.02207189832928394
201007,0.04243546078162543
201008,0.0002917905496064719
201009,0.04753356047529748
201010,0.17458090981481894
201011,0.0022229367361711262
201012,0.035764815828544565
201101,0.0034134273574867773
201102,0.018706120755445626
201103,0.003948638732668295
201104,-0.004706153514577993
201105,0.012880639515843903
201106,-0.02028674482140347
201107,-0.02871139871840921
201108,-0.024154653499088147
201109,-0.06107479345763756
201110,0.0715040560965947
201111,-0.030534071112619347
201112,-0.00709472131754765
201201,0.060228197172276635
201202,0.01350615759285114
201203,0.5633066261082014
201204,0.031924677656869106
201205,-0.0668224872711564
201206,0.006158455516024999
201207,0.034738207599202355
201208,0.008874764205305549
201209,0.025203057619922004
201210,0.030979309094557227
201211,0.001959760017106548
201212,0.04739023594031589
201301,0.050694758672032623
201302,0.0427684319290795
201303,-0.02803027379600278
201304,0.04190077195735599
201305,-0.027216822215242596
201306,-0.02766430816443948
201307,0.06442046902045284
201308,0.02018365828007166
201309,0.021966558468477074
201310,0.04051256694748559
201311,-0.0122942771681552
201312,0.011017656133262513
201401,-0.026985457982847936
201402,0.04159999163986556
201403,0.0006637336722653606
201404,0.013460179940933528
201405,0.0008528663501398781
201406,-0.016842084555193093
201407,0.052188580336145145
201408,-0.004028785524722565
201409,-0.051182640969517086
201410,0.03574608505411479
201411,-0.010414616850698326
201412,0.017856729190795846
201501,0.03445361497339837
201502,0.07330360540644298
201503,-0.0064262222208716115
201504,-0.011333028066810262
201505,-0.0020541657004310384
201506,-0.055957438610826464
201507,0.039864342854746264
201508,-0.07446892128722618
201509,-0.022708415656169694
201510,0.04930026604951084
201511,-0.012058784986116929
201512,0.026048783578856437
201601,-0.04840671792944037
201602,-0.009727412320030937
201603,0.04515593529367745
201604,0.04691766623524271
201605,0.026127824383958158
201606,-0.015780458921739942
201607,0.06675079566474403
201608,-0.01281025439291327
201609,0.004555307291992523
201610,-0.0172641145550222
201611,0.02328398365623716
201612,0.03999002532359867
201701,0.004086529277730358
201702,0.012310099809846004
201703,0.024512412907724438
201704,0.00998794885203867
201705,0.02240185059674443
201706,0.0031584812274378015
201707,0.008139112307700392
201708,0.006675866816134679
201709,-0.004498457081519786
201710,0.04180581402632794
201711,0.024078764638695686
201712,0.022001386794788
201801,0.000619643678375893
201802,0.002118186781896619
201803,-0.011169163748910938
201804,0.04212126330599779
201805,0.015821277536637937
201806,0.028348519610360615
201807,0.013169169577615575
201808,0.010193691963713428
201809,0.08693537120762565
201810,-0.05948134263631688
201811,-0.024679964789188942
201812,0.005161948046855268
201901,0.04472384264697665
201902,0.05902243611248946
201903,0.012945677448349447
201904,0.023067306979648972
201905,0.01688557652512718
201906,0.040100829861343786
201907,0.0282161915037429
201908,-0.025031897338640488
201909,0.019393773401200548
201910,-0.0011727029780663045
201911,0.03439623268849869
201912,-0.012512907569915506
202001,0.04608322484625885
202002,-0.08207854688072924
202003,-0.17261860199864834
202004,0.10551771433840862
202005,0.05736744246634357
202006,0.03676050254095657
202007,0.018081687815391316
202008,0.032941969741246455
202009,-0.034610466828003256
202010,0.023694589499910986
202011,0.11615861603610744
202012,0.03235405393964647
202101,0.005596834058776281
202102,0.024895659765263294
202103,0.017938796332471026
202104,0.04625573368077168
202105,0.021741410954725187
202106,0.02562566390911253
202107,0.02265058455190587
202108,0.01947424225314307
202109,-0.024188785548844825
202110,-0.0009782996935740298
202111,0.006586310865374033
202112,0.031706309336639274
202201,-0.040313535756259546
202202,0.015731721313460352
202203,0.08458016416236815
202204,-0.011213155077536084
202205,-0.04175162791595967
202206,-0.08624606299799346
