ticker,yearmonth,mom
ABB1,201510,
ABB1,201511,
ABB1,201512,
ABB1,201601,
ABB1,201602,
ABB1,201603,
ABB1,201604,
ABB1,201605,
ABB1,201606,
ABB1,201607,
ABB1,201608,
ABB1,201609,
ABB1,201610,
ABB1,201611,
ABB1,201612,
ABB1,201701,
ABB1,201702,
ABB1,201703,
ABB1,201704,
ABB1,201705,
ABB1,201706,
ABB1,201707,
ABB1,201708,
ABB1,201709,
ABB1,201710,
ABB1,201711,
ABB1,201712,
ABB1,201801,
ABB1,201802,
ABB1,201803,
ABB1,201804,
ABB1,201805,
ABB1,201806,
ABB1,201807,
ABB1,201808,
ABB1,201809,
ABB1,201810,
ABB1,201811,
ABB1,201812,
ABB1,201901,
ABB1,201902,
ABB1,201903,
ABB1,201904,
ABB1,201905,
ABB1,201906,
ABB1,201907,
ABB1,201908,
ABB1,201909,
ABB1,201910,
ABB1,201911,
ABB1,201912,
ABB1,202001,
ABB1,202002,
ABB1,202003,
ABB1,202004,
ABB1,202005,
ABB1,202006,
ABB1,202007,
ABB1,202008,
ABB1,202009,
ABB1,202010,
ABB1,202011,
ABB1,202012,
ABB1,202101,
ABB1,202102,
ABB1,202103,
ABB1,202104,
ABB1,202105,
ABB1,202106,
ABB1,202107,
ABB1,202108,
ABB1,202109,
ABB1,202110,
ABB1,202111,
ABB1,202112,
ABB1,202201,
ABB1,202202,
ABB1,202203,
ABB1,202204,
ABB1,202205,
ABB1,202206,
ABB1,202207,
ABB1,202208,
ABB1,202209,
ABB1,202210,
ABB1,202211,
ABB1,202212,
ABC,200701,
ABC,200702,
ABC,200703,
ABC,200704,0.12855305825785535
ABC,200705,0.09347657722535348
ABC,200706,0.08007894289052508
ABC,200707,0.06515904472337897
ABC,200708,0.037496297487466114
ABC,200709,0.0446937961147978
ABC,200710,0.05164189054195226
ABC,200711,0.0383089659950968
ABC,200712,0.032304156352108856
ABC,200801,0.02633711183525048
ABC,200802,0.025100206921776547
ABC,200803,0.00766775276768956
ABC,200804,0.0010985395083354481
ABC,200805,0.0006211805714636809
ABC,200806,0.001620110484898879
ABC,200807,0.00344659450316373
ABC,200808,0.006292492171949687
ABC,200809,0.0018264027058602177
ABC,200810,-0.018730879903393033
ABC,200811,-0.03514902472881326
ABC,200812,-0.04416709278729503
ABC,200901,-0.03611505340614174
ABC,200902,-0.052945923685287895
ABC,200903,-0.052430660761936726
ABC,200904,-0.0380331646742998
ABC,200905,-0.03289244971178796
ABC,200906,-0.03010621154305666
ABC,200907,-0.03384492064157913
ABC,200908,-0.019400476197134687
ABC,200909,-0.013890818518802315
ABC,200910,-0.00016940060534504733
ABC,200911,0.02343837566450449
ABC,200912,0.023998084874241637
ABC,201001,0.02742529582776036
ABC,201002,0.034813463215927765
ABC,201003,0.03021415385655647
ABC,201004,0.0264870089901711
ABC,201005,0.03118492792855873
ABC,201006,0.018387641050428154
ABC,201007,0.018316993599868048
ABC,201008,0.02466442311893935
ABC,201009,0.01918931553824856
ABC,201010,0.02173367492344826
ABC,201011,0.023631718878881585
ABC,201012,0.0204007408318283
ABC,201101,0.02003260160826738
ABC,201102,0.02978007635574212
ABC,201103,0.031910114424507606
ABC,201104,0.022505946159579848
ABC,201105,0.009648241567800428
ABC,201106,0.015072810626425728
ABC,201107,0.015011760565375657
ABC,201108,-0.012899854498463712
ABC,201109,-0.010066356613553512
ABC,201110,-0.018893302025864773
ABC,201111,-0.015024673883980821
ABC,201112,-0.0006526626459115448
ABC,201201,-0.00927335230108394
ABC,201202,-0.008229173488739036
ABC,201203,-0.006143641552460842
ABC,201204,-0.006901217310036604
ABC,201205,-0.0010380774513944941
ABC,201206,-0.0037798288521000236
ABC,201207,0.004610193823636949
ABC,201208,0.022002471611591596
