,ticker,morningstar_name,year,capex,eoy_price,eps,ltdebt,marketcap,ppe,revenue,roe,stdebt,assets,liabilities
84,ACP,audalia resources,2000,,,,,,,,,,,
85,ACQ,acorn capital investment fund,2000,,,,,,,,,,,
86,ACR,acrux,2000,,,,,,,,,,,
87,ACS,accent resources n.l,2000,,,,,,,,,,,
88,ACU,acumentis,2000,-67998.0,0.12,-4.06,,3973734.0,98889.0,19000.0,-0.33140000000000003,,3542207.0,101982.0
89,ACW,actinogen medical,2000,,,,,,,,,,,
90,ACX,aconex,2000,,,,,,,,,,,
91,ACY,australian commercial property trust,2000,0.0,0.81,8.79,20116000.0,157807058.49,,,0.1079,,234977000.0,67539000.0
92,AD1,ad1,2000,,,,,,,,,,,
93,AD8,audinate,2000,,,,,,,,,,,
94,ADA,adacel technologies,2000,-4824000.0,2.5,-8.8,2431000.0,111037907.5,3243000.0,30840000.0,0.028399999999999998,3459000.0,69484000.0,11346000.0
95,ADB,adelaide bank,2000,-4133000.0,4.78,34.31,,408550113.3,,,0.1013,,5711251000.0,5444402000.0
96,ADD,adavale resources,2000,-214501.0,0.09,-7.54,1734398.0,15197230.89,1828745.0,1292104.0,-0.8022,535897.0,11507306.0,3752587.0
97,ADE,adelaide energy,2000,,,,,,,,,,,
98,ADEF,apostle dundas global equity fund,2000,,,,,,,,,,,
99,ADG,adtrans,2000,-2725410.0,1.75,28.2,8500757.0,38807039.25,13424565.0,397050916.0,0.23190000000000002,2617719.0,62933623.0,36519481.0
100,ADH,adairs,2000,,,,,,,,,,,
101,ADI2,adelphi energy,2000,-141000.0,0.28,-1.41,75000.0,60480000.0,353000.0,169000.0,-0.0424,45000.0,53843000.0,934000.0
102,ADN,andromeda metals,2000,-7515.0,0.07,-1.14,,2611800.36,29020.0,27247.0,-0.09570000000000001,,4432186.0,68509.0
103,ADO,anteotech,2000,-177332.0,0.29,-0.99,25314.0,18946819.4,291747.0,264.0,-0.0747,11364.0,7932728.0,618045.0
104,ADP,amp diversified property trust,2000,-104847000.0,2.27,19.13,198981000.0,964176491.31,,,0.0832,,1434261000.0,454559000.0
105,ADQ,adg global supply,2000,-1795619.0,0.18,1.26,7419650.0,10045656.18,5423766.0,55051603.0,0.0408,13245072.0,46145601.0,32449590.0
106,ADR,adherium,2000,,,,,,,,,,,
107,ADS,adslot,2000,-190863.0,0.12,-4.36,985412.0,8090399.76,699494.0,2276176.0,-1.8547,14021523.0,17579574.0,16731190.0
108,ADT,adriatic metals plc,2000,,,,,,,,,,,
109,ADT1,advent,2000,-407586.0,1.53,25.95,584221.0,32665209.3,,,0.21600000000000003,,51491945.0,15802058.0
110,ADU,adamus resources,2000,,,-0.16,,,0.0,,-0.012,,3143865.0,
111,ADV,ardiden,2000,,,,,,,,,,,
112,ADV1,australian development capital fund,2000,0.0,0.03,-0.11,,424574.1,0.0,14113.0,-0.611,,66484.0,17000.0
113,ADX,adx energy,2000,-689073.0,0.17,-6.72,,8766588.93,148915.0,231422.0,-0.5483,,6581340.0,74285.0
114,ADY,admiralty resources nl,2000,-102362.0,0.03,-0.9,,4161424.38,108433.0,546393.0,-0.1166,,3372143.0,247530.0
115,ADZ,adsteam marine,2000,-12829000.0,2.4,19.51,118821000.0,225495636.0,36451000.0,95389000.0,0.192,5000.0,246420000.0,157451000.0
116,AE1,aerison,2000,,,,,,,,,,,
117,AEB,affinity energy and health,2000,,,,,,,,,,,
118,AEC,ammtec,2000,-158091.0,0.84,4.55,230270.0,15190843.92,2448960.0,5769216.0,0.10619999999999999,134022.0,9738814.0,1730828.0
119,AED,aed oil,2000,,,,,,,,,,,
120,AEE,aura energy,2000,,,,,,,,,,,
121,AEF,australian ethical investment,2000,,,,,,,,,,,
122,AEG,absolute equity performance fund,2000,,,,,,,,,,,
123,AEH,aveo healthcare,2000,-6529343.0,0.57,7.98,16213191.0,44828284.98,,,0.0892,,98148211.0,29977295.0
124,AEH1,aerosonde,2000,80756.0,0.1,-5.29,,3773900.5,49391.0,,-0.20629999999999998,,4959967.0,38962.0
125,AEI,aeris environmental,2000,,,,,,0.0,196.0,-0.029900000000000003,,2463305.0,20304.0
126,AEJ,redbank energy,2000,,,,,,,,,,,
127,AEK,anatolia energy,2000,,,-1.63,9230000.0,,21888000.0,649000.0,-0.0665,132000.0,25979000.0,10182000.0
128,AEN,aeramentum resources,2000,-74219.0,,-5.31,,,74692.0,66321.0,-0.41850000000000004,216145.0,7047430.0,1463381.0
129,AEN1,australian energy,2000,-74219.0,,-5.31,,,74692.0,66321.0,-0.41850000000000004,216145.0,7047430.0,1463381.0
130,AEO,austereo,2000,-7813000.0,,15.5,216379000.0,,33024000.0,233104000.0,0.07719999999999999,1706000.0,1220152000.0,341644000.0
131,AER,aeeris,2000,,,,,,,,,,,
132,AES,advanced energy systems,2000,-954467.0,,-1.37,2268472.0,,317096.0,4017088.0,-0.4228,169121.0,8877705.0,4122832.0
133,AET,ausmelt,2000,-219976.0,1.05,49.85,,12183996.3,189295.0,15025892.0,-0.0025,,24940951.0,3222178.0
134,AEV,avenira,2000,,,,,,,,,,,
135,AEZ,apn european retail property,2000,,,,,,,,,,,
136,AFA,asf,2000,-785.0,0.17,-1.01,,31912910.2,,,-0.1094,,13711134.0,460564.0
137,AFF,australian food & fibre,2000,-5285000.0,0.32,-2.09,700000.0,43183293.62,57851000.0,48865000.0,-0.0256,860000.0,70926000.0,6652000.0
138,AFG,australian finance,2000,,,,,,,,,,,
139,AFG1,allco finance,2000,,,0.0,,,0.0,,0.0,,94813000.0,
140,AFI,australian foundation investment company,2000,0.0,2.51,14.56,185288000.0,1791267008.0,,,0.051399999999999994,,2270089000.0,260595000.0
141,AFJ,affinity education,2000,,,,,,,,,,,
142,AFL,af legal,2000,,,,,,,,,,,
143,AFP,aft pharmaceuticals,2000,,,,,,,,,,,
144,AFQ,african petroleum,2000,,,,,,,,,,,
145,AFT,aft,2000,-2225224.0,0.23,-14.43,2735685.0,26744594.12,13072603.0,23522413.0,-0.1582,669393.0,60968701.0,11377483.0
146,AFU,australian emerging growth fund (the),2000,0.0,0.42,9.97,,4328104.8,,,0.1616,,6446611.0,165313.0
147,AFW,applyflow,2000,,,,,,,,,,,
148,AFY,afterpay,2000,,,,,,,,,,,
149,AGB,atlantic gold,2000,,,,,,,,,,,
150,AGC,australian gold and copper,2000,-434485.0,0.25,-16.3,57368.0,3213125.5,331312.0,220638.0,-0.5354,24617.0,3469673.0,380205.0
151,AGC1,agincourt resources,2000,-434485.0,0.25,-16.3,57368.0,3213125.5,331312.0,220638.0,-0.5354,24617.0,3469673.0,380205.0
152,AGD,austral gold,2000,-259231.0,0.07,-1.54,,8718593.0,242596.0,4525913.0,-0.2874,,6690710.0,133863.0
153,AGE,alligator energy,2000,,,,,,,,,,,
