ticker_year_month,ticker,year,month,change_energy_consumption,logsize,bm,leverage,mom,investa,roe,logppe,beta,volat,salesgr,epsgr,yearmonth,carbon_beta
AIO_2010_01,AIO,2010,1,60737.0,22.27936379157604,0.6547671385823682,0.4193782009041184,0.1026635221639698,-0.0780468931929122,0.118,21.760941288397262,3.28,0.4191454738679493,0.009763111980702,1.380116959064328,201001.0,1.24210903346297
AMP_2010_01,AMP,2010,1,-56240.0,23.11568961268592,0.274040773283967,0.1247577329404779,0.021847594204509,0.0,0.2495,19.929192737796505,1.0812,0.1282469841307806,-0.2665209041125158,-0.0319488817891378,201001.0,-0.3720761942793764
BKN_2010_01,BKN,2010,1,-154330.0,20.722247275188455,0.4721887085038091,0.3128419674557265,0.1222291757191849,-0.0358415944234211,0.1631,19.768707137912337,2.75,0.3276546160709069,-0.273246437927289,0.6550580431177438,201001.0,3.103352863304914
BKW_2010_01,BKW,2010,1,-60096.0,21.27649327776985,0.9488617660702596,0.1324512082861476,0.0247058177433743,-0.0111219279597878,0.0668,19.88409585567637,0.4935,0.1175835959746886,0.0365921137255771,-10.93551020408163,201001.0,0.4265133641006358
BSL_2010_01,BSL,2010,1,-58558130.0,22.06586330302377,1.5031955399294257,0.1104627900773539,0.0263347968291976,-0.0414888414688361,0.0250999999999999,22.17213585654878,1.5173,0.9822758638988548,-0.3679878418943869,0.9425672377147064,201001.0,0.0111069591613555
CCL_2010_01,CCL,2010,1,-20337.0,22.82864230551968,0.2233077750189383,0.3729584296487173,0.02038032825622,-0.070635492061086,0.2763,21.190327643271225,0.32,0.049907835048038,0.0076538503391046,0.5050320219579143,201001.0,0.2984555494810194
CSR_2010_01,CSR,2010,1,-5712436.0,21.64243001538395,0.7251931993742633,0.209260310741754,0.0164002336447595,-0.061864450523925,0.1031,21.532594771795765,1.5342,0.2404309250503658,0.0943310920053676,5.37588829323027,201001.0,0.394423065116692
DOW_2010_01,DOW,2010,1,199716.0,20.915287250653297,1.0257115022911256,0.2572855902777777,0.0817233606085213,-0.0612583912037037,0.1586999999999999,20.574853991794846,1.2219,0.2801458174872276,-0.0082920707276523,-7.203486729711187,201001.0,1.923864746713183
ENE1_2010_01,ENE1,2010,1,6355603.0,19.753117385935436,0.7502926567320618,0.5325930340818464,0.0313088367674163,-0.0335453156124402,0.113,20.28692751814026,0.57,0.1667160099050348,0.0345731466648092,2.9454545454545453,201001.0,-1.691032425336934
ENV1_2010_01,ENV1,2010,1,4.0,20.33693504665951,0.7661000561739731,0.7174057649667406,0.038190482566538,-0.0361419068736141,0.0697,21.438076657142386,0.98,0.0806758238024327,-0.0080993520518358,-2.571428571428572,201001.0,-0.5433371798181382
