Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,0.430000007,0.460000008,39261872
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,6.21999979,6.130000114,738278784
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,0.180000007,0.239999995,179582208
ACN AT Equity,Acer Energy Ltd,N/A,--,0.165000007,0.230000004,43620188
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,2.390000105,2.430000067,2145158784
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,0.465000004,0.50999999,81294104
ABC AT Equity,Adbri Ltd,Construction Materials,151020,1.975000024,1.700000048,939230464
ADY AT Equity,Admiralty Resources NL,Metals & Mining,151040,0.01,0.030999999,35137196
AED AT Equity,AED Oil Ltd,N/A,--,0.975000024,0.970000029,150148048
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,15.30000019,14.64999962,6535911424
AWB AT Equity,Agrium Asia Pacific Ltd,N/A,--,2.5,2.220000029,796207872
AIZ AT Equity,Air New Zealand Ltd,Airlines,203020,0.75999999,0.704999983,748091200
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,4.550000191,3.910000086,265803360
1878181D AT Equity,Albidon Ltd,N/A,--,0.125,0.079999998,13210472
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,1.950000048,2.089999914,181134656
ALS AT Equity,Alesco Corp Ltd,N/A,--,2.599999905,2.130000114,196205152
AGS AT Equity,Alliance Resources Ltd,Metals & Mining,151040,0.389999986,0.395000011,108171256
1801846D AT Equity,Allied Gold Mining Ltd,N/A,--,0.409999996,0.340000004,139738064
ALQ AT Equity,ALS Ltd,Professional Services,202020,16.89999962,15.52999973,823607104
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.279999971,1.139999986,1664237312
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,5.800000191,5.389999866,4502120960
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,5.369999886,5.269999981,10502537216
1850998D AT Equity,Andean Resources Ltd,N/A,--,1.080000043,1.320000052,531811104
ATM AT Equity,Aneka Tambang Tbk,Metals & Mining,151040,--,1.5,2861538048
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,7.599999905,8.56000042,15300350976
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,12.35000038,10.21000004,1390213888
2079925D AT Equity,Anvil Mining Ltd,N/A,--,1,2,142489200
APA AT Equity,APA Group,Gas Utilities,551020,2.960000038,3.019999981,1479622784
HDF AT Equity,APA Sub Group,N/A,--,2.089999914,1.99000001,424530464
AXM AT Equity,Apex Minerals NL,N/A,--,0.409999996,0.310000002,121009648
AEZ AT Equity,APN European Retail Property Group,N/A,--,0.061999999,0.052999999,28880260
APD AT Equity,APN Property Group Ltd,Equity Real Estate Investment Trusts (REITs),601010,0.239999995,0.234999999,33761040
AQP AT Equity,Aquarius Platinum Ltd,Metals & Mining,151040,3.660000086,3.940000057,1288756736
AQA AT Equity,Aquila Resources Ltd,Metals & Mining,151040,3.24000001,2.539999962,628512064
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,2.799999952,2.710000038,180391424
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,0.889999986,1.095000029,259111712
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,3.930000067,3.75,1707486464
AOE AT Equity,Arrow Energy Holdings Pty Ltd,N/A,--,2.619999886,2.130000114,1498514816
ASZ AT Equity,ASG Group Ltd,IT Services,451020,0.449999988,0.344999999,46261980
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,0.419999987,0.379999995,111627552
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,0.305000007,0.370000005,188038512
ASX AT Equity,ASX Ltd,Capital Markets,402030,32.72000122,27.14999962,4647768064
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,0.774999976,1.190000057,356084672
AUB AT Equity,AUB Group Ltd,Insurance,403010,3.700000048,3.630000114,182364672
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,1.379999995,1.379999995,1689254784
AAX AT Equity,Ausenco Ltd,Construction & Engineering,201030,2.079999924,2.089999914,191544528
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,0.925000012,1.034999967,2194638080
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,1.950000048,1.830000043,344167360
1840084D AT Equity,Austar United Communications Pty Ltd,N/A,--,0.720000029,0.74000001,940481216
AEO AT Equity,Austereo Group Ltd,N/A,--,1.164999962,1.179999948,406862464
ARH AT Equity,Australasian Resources Ltd,Metals & Mining,151040,0.335000008,0.400000006,176981120
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,15.25,13.27000046,28638013440
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,1.840000033,1.799999952,475676096
1803385D AT Equity,Australian Gas Networks Ltd,Gas Utilities,551020,0.330000013,0.300000012,389537920
API AT Equity,Australian Pharmaceutical Industries Ltd,Health Care Providers & Services,351020,0.409999996,0.524999976,135106912
AVG AT Equity,Australian Vintage Ltd,Beverages,302010,0.419999987,0.400000006,51042760
AUW AT Equity,Australian Wealth Management Ltd,N/A,--,1.070000052,0.910000026,561028992
ABA AT Equity,Auswide Bank Ltd,Thrifts & Mortgage Finance,401020,6.989999771,6.5,200607552
AHG AT Equity,Automotive Holdings Group Ltd,Specialty Retail,255040,0.5,0.550000012,104934448
AOG AT Equity,Aveo Group,Real Estate Management & Development,601020,0.460000008,0.449999988,158123920
AVJ AT Equity,AVJennings Ltd,Household Durables,252010,0.370000005,0.314999998,86495448
AVO AT Equity,Avoca Resources Ltd,N/A,--,1.63499999,1.644999981,366598592
AWE AT Equity,AWE Ltd,"Oil, Gas & Consumable Fuels",101020,2.549999952,2.650000095,1380178304
BNB AT Equity,Babcock & Brown Ltd,N/A,--,0.254999995,0.324999988,123571856
BOQ AT Equity,Bank of Queensland Ltd,Banks,401010,9.449999809,7.400000095,1168660480
BMN AT Equity,Bannerman Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.944999993,0.675000012,105823120
BPT AT Equity,Beach Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.944999993,0.774999976,801262784
BEC AT Equity,Becton Property Group,N/A,--,0.094999999,0.094999999,17531614
BFG AT Equity,Bell Financial Group Ltd,Capital Markets,402030,0.529999971,0.419999987,101728408
BEN AT Equity,Bendigo & Adelaide Bank Ltd,Banks,401010,11.10000038,10,2972445952
PAG AT Equity,Bengerang Ltd,N/A,--,1.269999981,1.129999995,169500000
BHP AT Equity,BHP Group Ltd,Metals & Mining,151040,29.64999962,30.5,1.61504E+11
BBG AT Equity,Billabong International Ltd,"Textiles, Apparel & Luxury Goods",252030,7.659999847,7.400000095,1553106048
BTA AT Equity,Biota Holdings Ltd/Old,N/A,--,0.319999993,0.485000014,84663536
