Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,4.460000038,4.480000019,539557760
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,1.99000001,1.899999976,734828224
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,0.400000006,0.370000005,90001832
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,0.824999988,0.699999988,939675520
ACF AT Equity,Acrow Formwork and Construction Services Ltd,Trading Companies & Distributors,201070,0.584999979,0.479999989,251190064
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,2.829999924,2.869999886,477845536
ABC AT Equity,Adbri Ltd,Construction Materials,151020,2.900000095,2.890000105,1838842752
AIS AT Equity,Aeris Resources Ltd,Metals & Mining,151040,0.620000005,0.649999976,211117472
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,14.26000023,14.32999992,6610596864
A1M AT Equity,AIC Mines Ltd,Metals & Mining,151040,1.049999952,1.090000033,570957184
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,--,1.029999971,117474592
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,10.73999977,10.03999996,2801366016
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,1.99000001,1.980000019,314774272
ALS AT Equity,Alesco Corp Ltd,N/A,--,1.25,1.154999971,108793376
ALK AT Equity,Alkane Resources Ltd,Metals & Mining,151040,0.939999998,0.904999971,243470512
AGS AT Equity,Alliance Resources Ltd,Metals & Mining,151040,0.135000005,0.209999993,71646184
1801846D AT Equity,Allied Gold Mining Ltd,N/A,--,2.599999905,2.160000086,441327744
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,1.460000038,1.269999981,131057648
ALQ AT Equity,ALS Ltd,Professional Services,202020,48.54999924,48.99000168,3306991616
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.355000019,1.11500001,2720818944
1942012D AT Equity,Amcom Telecommunications Pty Ltd,Diversified Telecommunication Services,501010,0.860000014,0.810000002,195608432
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,7.260000229,7.210000038,8751108096
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,4.150000095,4.070000172,11618518016
1765290D AT Equity,Ampella Mining Ltd,N/A,--,1.735000014,1.485000014,305887872
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,8.829999924,8.369999886,16140345344
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,14.25,14.53999996,1900735616
APA AT Equity,APA Group,Gas Utilities,551020,4.550000191,4.489999771,2870612224
HDF AT Equity,APA Sub Group,N/A,--,1.720000029,2.049999952,1086502272
AQP AT Equity,Aquarius Platinum Ltd,Metals & Mining,151040,2.470000029,2.339999914,1100531456
AQA AT Equity,Aquila Resources Ltd,Metals & Mining,151040,5.890909195,5.849999905,2409055744
ARU AT Equity,Arafura Rare Earths Ltd,Metals & Mining,151040,0.449999988,0.36500001,134312800
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,8,7.730000019,560280448
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,1.049999952,1.019999981,330721120
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,2.390000105,2.200000048,1194998272
ASZ AT Equity,ASG Group Ltd,IT Services,451020,0.850000024,0.86500001,148310208
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,0.409999996,0.425000012,251210800
AKM AT Equity,Aspire Mining Ltd,Metals & Mining,151040,0.280000001,0.370000005,229620000
1695926D AT Equity,Aston Resources Ltd,N/A,--,8.270000458,9.100000381,1862487040
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,2.25,2.099999905,122734496
ATR AT Equity,Astron Corp Ltd,Metals & Mining,151040,2.75999999,2.700000048,175156304
ASX AT Equity,ASX Ltd,Capital Markets,402030,30.27000046,30.57999992,5355680256
ATI AT Equity,Atlantic Ltd,Metals & Mining,151040,1.294999957,1.25,162613376
ALX AT Equity,Atlas Arteria Ltd,Transportation Infrastructure,203050,1.360000014,1.350000024,626777472
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,2.869999886,2.700000048,2415648256
AUB AT Equity,AUB Group Ltd,Insurance,403010,6.199999809,6.059999943,336606336
AZJ AT Equity,Aurizon Holdings Ltd,Road & Rail,203040,3.380000114,3.420000076,8344799744
1679100D AT Equity,Aurora Oil & Gas Pty Ltd,N/A,--,3.339999914,3.390000105,1395511424
AAX AT Equity,Ausenco Ltd,Construction & Engineering,201030,2.74000001,2.470000029,304449216
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,0.944999993,0.939999998,2722446592
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,2.160000086,2.150000095,404349632
1840084D AT Equity,Austar United Communications Pty Ltd,N/A,--,1.200000048,1.195000052,1519449344
ANG AT Equity,Austin Engineering Ltd,Machinery,201060,4.050000191,3.950000048,285641888
ARH AT Equity,Australasian Resources Ltd,Metals & Mining,151040,0.180000007,0.185000002,84886544
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,19.89999962,20.53000069,54996480000
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,1.389999986,1.330000043,416147424
1803385D AT Equity,Australian Gas Networks Ltd,Gas Utilities,551020,0.665000021,0.714999974,1106741376
API AT Equity,Australian Pharmaceutical Industries Ltd,Health Care Providers & Services,351020,0.234999999,0.264999986,129350712
ABA AT Equity,Auswide Bank Ltd,Thrifts & Mortgage Finance,401020,7.480000019,7.320000172,262384656
AHG AT Equity,Automotive Holdings Group Ltd,Specialty Retail,255040,1.850000024,1.730000019,450981920
AOG AT Equity,Aveo Group,Real Estate Management & Development,601020,0.495000005,0.479999989,575025024
AVJ AT Equity,AVJennings Ltd,Household Durables,252010,0.409999996,0.379999995,104343712
AWE AT Equity,AWE Ltd,"Oil, Gas & Consumable Fuels",101020,1.350000024,1.304999948,681042816
AZM AT Equity,Azumah Resources Ltd,Metals & Mining,151040,0.414999992,0.409999996,115628360
BND AT Equity,Bandanna Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.589999974,0.620000005,327658336
BOQ AT Equity,Bank of Queensland Ltd,Banks,401010,7.900000095,7.309999943,1678365824
BMN AT Equity,Bannerman Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.245000005,0.200000003,54473280
BRL AT Equity,Bathurst Resources Ltd,Metals & Mining,151040,0.660000026,0.610000014,420563264
IOH AT Equity,BC Pilbara Iron Ore Pty Ltd,Metals & Mining,151040,1.200000048,1.375,228369632
BPT AT Equity,Beach Energy Ltd,"Oil, Gas & Consumable Fuels",101020,1.409999967,1.235000014,1373565824
BDR AT Equity,Beadell Resources Ltd,Metals & Mining,151040,0.689999998,0.600000024,394744160
BFG AT Equity,Bell Financial Group Ltd,Capital Markets,402030,0.550000012,0.605000019,157071904
BEN AT Equity,Bendigo & Adelaide Bank Ltd,Banks,401010,8.979999542,8.029999733,3133305088
PAG AT Equity,Bengerang Ltd,N/A,--,1.085000038,1.065000057,283710048
BKY AT Equity,Berkeley Energia Ltd,"Oil, Gas & Consumable Fuels",101020,0.354999989,0.360000014,62747384
BHP AT Equity,BHP Group Ltd,Metals & Mining,151040,34.91999817,34.41999817,1.70957E+11
BBG AT Equity,Billabong International Ltd,"Textiles, Apparel & Luxury Goods",252030,3.680000067,1.769999981,451530720
BTA AT Equity,Biota Holdings Ltd/Old,N/A,--,0.720000029,0.800000012,145362960
BKL AT Equity,Blackmores Ltd,Personal Products,303020,27.45999908,28.5,478221440
BNL AT Equity,Blue Star Helium Ltd,"Oil, Gas & Consumable Fuels",101020,0.419999987,0.430000007,113057576
BSL AT Equity,BlueScope Steel Ltd,Metals & Mining,151040,0.379999995,0.405000001,1356420096
1923730D AT Equity,Boart Longyear Ltd,Metals & Mining,151040,2.970000029,2.779999971,1282034176
BOL AT Equity,Boom Logistics Ltd,Trading Companies & Distributors,201070,0.254999995,0.224999994,105449312
BLD AT Equity,Boral Ltd,Construction Materials,151020,3.5,3.599999905,2681027840
BOC AT Equity,Bougainville Copper Ltd,Metals & Mining,151040,0.860000014,0.699999988,280743744
BKN AT Equity,Bradken Ltd,Machinery,201060,7.329999924,7.139999866,1189701120
BXB AT Equity,Brambles Ltd,Commercial Services & Supplies,202010,7.059999943,7.159999847,10599431168
BRG AT Equity,Breville Group Ltd,Household Durables,252010,2.779999971,2.730000019,355160192
BKW AT Equity,Brickworks Ltd,Construction Materials,151020,11,10.85000038,1601105280
BCS AT Equity,BrisConnections Unit Trust,N/A,--,0.850000024,0.879999995,343433120
BRS AT Equity,Broadspectrum Pty Ltd,Commercial Services & Supplies,202010,2.279999971,2.160000086,1181009024
BRM AT Equity,Brockman Mining Australia Pty Ltd,N/A,--,1.980000019,2.039999962,295398528
BWP AT Equity,BWP Trust,Equity Real Estate Investment Trusts (REITs),601010,1.754999995,1.720000029,894422016
CE1 AT Equity,Calima Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.284999996,0.239999995,90001512
CNX AT Equity,Carbon Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.090999998,0.093000002,71435816
CDD AT Equity,Cardno Ltd,Commercial Services & Supplies,202010,5.400000095,5.190000057,585866368
1907708D AT Equity,Cardtronics Pty Ltd,N/A,--,1.100000024,0.99000001,133520704
CVN AT Equity,Carnarvon Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.104999997,0.097000003,67252096
CAR AT Equity,carsales.com Ltd,Interactive Media & Services,502030,4.579999924,4.769999981,1112670208
CCV AT Equity,Cash Converters International Ltd,Consumer Finance,402020,0.479999989,0.535000026,203172128
CWP AT Equity,Cedar Woods Properties Ltd,Real Estate Management & Development,601020,3.5,3.349999905,210575296
CXM AT Equity,Centrex Ltd,Metals & Mining,151040,0.284999996,0.280000001,87808248
CFU AT Equity,Ceramic Fuel Cells Ltd,Electrical Equipment,201040,0.104999997,0.104999997,143461392
CGX AT Equity,CGA Mining Ltd,N/A,--,2.269999981,1.99000001,663616640
CHN AT Equity,Chalice Mining Ltd,Metals & Mining,151040,0.25,0.264999986,66258188
CDI AT Equity,Challenger Diversified Properties Group,Equity Real Estate Investment Trusts (REITs),601010,0.504999995,0.485000014,428693280
CIF AT Equity,Challenger Infrastructure Fund,N/A,--,1.085000038,1.120000005,354170624
CGF AT Equity,Challenger Ltd,Diversified Financial Services,402010,4.199999809,4.130000114,2281881344
