yearmonth,ticker,industry,ret,rmrf,smb,hml,rmw,cma,wml,pmc,winsor_ret,winsor_rmrf,winsor_smb,winsor_hml,winsor_rmw,winsor_cma,winsor_wml,winsor_pmc,ticker_encode,date,_Nobs,_R2,_adjR2,_b_winsor_rmrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_rmw,_b_winsor_cma,_b_winsor_wml,_b_winsor_pmc,_b_cons
202102,ABC,206,.13240418,.024895661,-.0075854515,.024443671,-.040298123,.0047184187,-.030533146,.024565645,.13240418,.024895661,-.0075854515,.024443671,-.040298123,.0047184187,-.030533146,.024565645,ABC,2021m2,24,.5607874414954027,.3686319471496414,2.086758544514099,.2357316770541837,2.690824237233963,.7421343690447024,-3.368754269519109,-.105179311203915,.4861308385255314,-.0417237343564106
202106,ABC,206,.045180723,.025625665,.033699121,.017464086,.028355947,.0099630887,.036267959,-.024283865,.045180723,.025625665,.033699121,.017464086,.028355947,.0099630887,.036267959,-.024283865,ABC,2021m6,24,.5607874414954027,.3686319471496414,2.086758544514099,.2357316770541837,2.690824237233963,.7421343690447024,-3.368754269519109,-.105179311203915,.4861308385255314,-.0417237343564106
202110,ABC,206,-.077399381,-.00097829965,-.031974263,-.046489399,-.056420807,-.047253352,-.040377762,-.0021784273,-.077399381,-.00097829965,-.031974263,-.046489399,-.056420807,-.047253352,-.040377762,-.0021784273,ABC,2021m10,24,.5607874414954027,.3686319471496414,2.086758544514099,.2357316770541837,2.690824237233963,.7421343690447024,-3.368754269519109,-.105179311203915,.4861308385255314,-.0417237343564106
202107,ABC,206,.020172911,.022650585,.03139504,.019987157,.055229373,-.0038471748,.0087829838,.034850739,.020172911,.022650585,.03139504,.019987157,.055229373,-.0038471748,.0087829838,.034850739,ABC,2021m7,24,.5607874414954027,.3686319471496414,2.086758544514099,.2357316770541837,2.690824237233963,.7421343690447024,-3.368754269519109,-.105179311203915,.4861308385255314,-.0417237343564106
202007,ABC,206,-.30503145,.018081687,-.026258949,-.10561209,-.027686164,-.055564426,.024264453,-.0027269246,-.22222222,.018081687,-.026258949,-.099257998,-.027686164,-.055564426,.024264453,-.0027269246,ABC,2020m7,24,.5607874414954027,.3686319471496414,2.086758544514099,.2357316770541837,2.690824237233963,.7421343690447024,-3.368754269519109,-.105179311203915,.4861308385255314,-.0417237343564106
202103,ABC,206,.070769228,.017938796,.0062767561,.072187833,.027491884,.044381596,-.0096860826,-.064065695,.070769228,.017938796,.0062767561,.072187833,.027491884,.044381596,-.0096860826,-.064065695,ABC,2021m3,24,.5607874414954027,.3686319471496414,2.086758544514099,.2357316770541837,2.690824237233963,.7421343690447024,-3.368754269519109,-.105179311203915,.4861308385255314,-.0417237343564106
202003,ABC,206,-.31,-.1726186,.030316567,.068879485,.044685215,.076486416,.027041361,.084600709,-.22222222,-.074468918,.030316567,.068879485,.044685215,.076486416,.027041361,.058425445,ABC,2020m3,24,.5607874414954027,.3686319471496414,2.086758544514099,.2357316770541837,2.690824237233963,.7421343690447024,-3.368754269519109,-.105179311203915,.4861308385255314,-.0417237343564106
202104,ABC,206,-.074712642,.046255734,-.002041975,-.037920754,-.01348017,-.044959646,.043221992,.0072487122,-.074712642,.046255734,-.002041975,-.037920754,-.01348017,-.044959646,.043221992,.0072487122,ABC,2021m4,24,.5607874414954027,.3686319471496414,2.086758544514099,.2357316770541837,2.690824237233963,.7421343690447024,-3.368754269519109,-.105179311203915,.4861308385255314,-.0417237343564106
202009,ABC,206,.11764706,-.034610465,.064302169,.036057342,.026435481,.018572453,.041954614,.0043076649,.11764706,-.034610465,.064302169,.036057342,.026435481,.018572453,.041954614,.0043076649,ABC,2020m9,24,.5607874414954027,.3686319471496414,2.086758544514099,.2357316770541837,2.690824237233963,.7421343690447024,-3.368754269519109,-.105179311203915,.4861308385255314,-.0417237343564106
202012,ABC,206,.084142394,.032354053,-.027641002,-.064692393,-.014682614,-.040503401,.018433265,.043775801,.084142394,.032354053,-.027641002,-.064692393,-.014682614,-.040503401,.018433265,.043775801,ABC,2020m12,24,.5607874414954027,.3686319471496414,2.086758544514099,.2357316770541837,2.690824237233963,.7421343690447024,-3.368754269519109,-.105179311203915,.4861308385255314,-.0417237343564106
202010,ABC,206,-.007017544,.02369459,.0047466783,.0079757525,.01170937,.013222999,.013021181,-.017877191,-.007017544,.02369459,.0047466783,.0079757525,.01170937,.013222999,.013021181,-.017877191,ABC,2020m10,24,.5607874414954027,.3686319471496414,2.086758544514099,.2357316770541837,2.690824237233963,.7421343690447024,-3.368754269519109,-.105179311203915,.4861308385255314,-.0417237343564106
202006,ABC,206,.16911764,.036760502,-.058444761,-.017111029,-.037001677,-.037777897,.00025689954,-.0017653557,.16911764,.036760502,-.058444761,-.017111029,-.037001677,-.037777897,.00025689954,-.0017653557,ABC,2020m6,24,.5607874414954027,.3686319471496414,2.086758544514099,.2357316770541837,2.690824237233963,.7421343690447024,-3.368754269519109,-.105179311203915,.4861308385255314,-.0417237343564106
202112,ABC,206,-.017421603,.031706311,-.01356483,.010458544,.025620837,.0025820283,-.015435502,-.001490738,-.017421603,.031706311,-.01356483,.010458544,.025620837,.0025820283,-.015435502,-.001490738,ABC,2021m12,24,.5607874414954027,.3686319471496414,2.086758544514099,.2357316770541837,2.690824237233963,.7421343690447024,-3.368754269519109,-.105179311203915,.4861308385255314,-.0417237343564106
