year,ticker,ticker_year,scope1,scope2,total_emissions,energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int
2011,ABY1,ABY1_2011,89473,22166,111639,2156212,5687,-4384,1303,505866,1.9291663,.47793078,2.4070971,46.491028
2011,ABY1,ABY1_2011,89473,22166,111639,2156212,5687,-4384,1303,505866,1.9291663,.47793078,2.4070971,46.491028
2011,ABY1,ABY1_2011,89473,22166,111639,2156212,5687,-4384,1303,505866,1.9291663,.47793078,2.4070971,46.491028
2011,ABY1,ABY1_2011,89473,22166,111639,2156212,5687,-4384,1303,505866,1.9291663,.47793078,2.4070971,46.491028
2011,ABY1,ABY1_2011,89473,22166,111639,2156212,5687,-4384,1303,505866,1.9291663,.47793078,2.4070971,46.491028
2011,ABY1,ABY1_2011,89473,22166,111639,2156212,5687,-4384,1303,505866,1.9291663,.47793078,2.4070971,46.491028
2011,ABY1,ABY1_2011,89473,22166,111639,2156212,5687,-4384,1303,505866,1.9291663,.47793078,2.4070971,46.491028
2011,ABY1,ABY1_2011,89473,22166,111639,2156212,5687,-4384,1303,505866,1.9291663,.47793078,2.4070971,46.491028
2011,ABY1,ABY1_2011,89473,22166,111639,2156212,5687,-4384,1303,505866,1.9291663,.47793078,2.4070971,46.491028
2012,ABY1,ABY1_2012,107175,37710,144885,2667221,17702,15544,33246,511009,2.1582885,.75940341,2.9176919,53.71246
2012,ABY1,ABY1_2012,107175,37710,144885,2667221,17702,15544,33246,511009,2.1582885,.75940341,2.9176919,53.71246
2012,ABY1,ABY1_2012,107175,37710,144885,2667221,17702,15544,33246,511009,2.1582885,.75940341,2.9176919,53.71246
2012,ABY1,ABY1_2012,107175,37710,144885,2667221,17702,15544,33246,511009,2.1582885,.75940341,2.9176919,53.71246
2012,ABY1,ABY1_2012,107175,37710,144885,2667221,17702,15544,33246,511009,2.1582885,.75940341,2.9176919,53.71246
2012,ABY1,ABY1_2012,107175,37710,144885,2667221,17702,15544,33246,511009,2.1582885,.75940341,2.9176919,53.71246
2012,ABY1,ABY1_2012,107175,37710,144885,2667221,17702,15544,33246,511009,2.1582885,.75940341,2.9176919,53.71246
2012,ABY1,ABY1_2012,107175,37710,144885,2667221,17702,15544,33246,511009,2.1582885,.75940341,2.9176919,53.71246
2012,ABY1,ABY1_2012,107175,37710,144885,2667221,17702,15544,33246,511009,2.1582885,.75940341,2.9176919,53.71246
2012,ABY1,ABY1_2012,107175,37710,144885,2667221,17702,15544,33246,511009,2.1582885,.75940341,2.9176919,53.71246
2012,ABY1,ABY1_2012,107175,37710,144885,2667221,17702,15544,33246,511009,2.1582885,.75940341,2.9176919,53.71246
2013,ABY1,ABY1_2013,100243,36601,136844,2094919,-6932,-1109,-8041,-572302,1.9953661,.72855353,2.7239196,41.69997
2013,ABY1,ABY1_2013,100243,36601,136844,2094919,-6932,-1109,-8041,-572302,1.9953661,.72855353,2.7239196,41.69997
2013,ABY1,ABY1_2013,100243,36601,136844,2094919,-6932,-1109,-8041,-572302,1.9953661,.72855353,2.7239196,41.69997
2013,ABY1,ABY1_2013,100243,36601,136844,2094919,-6932,-1109,-8041,-572302,1.9953661,.72855353,2.7239196,41.69997
2013,ABY1,ABY1_2013,100243,36601,136844,2094919,-6932,-1109,-8041,-572302,1.9953661,.72855353,2.7239196,41.69997
2013,ABY1,ABY1_2013,100243,36601,136844,2094919,-6932,-1109,-8041,-572302,1.9953661,.72855353,2.7239196,41.69997
2013,ABY1,ABY1_2013,100243,36601,136844,2094919,-6932,-1109,-8041,-572302,1.9953661,.72855353,2.7239196,41.69997
2014,ABY1,ABY1_2014,81805,6011,87816,1592253,-18438,-30590,-49028,-502666,2.4507923,.18008329,2.6308756,47.702236
2014,ABY1,ABY1_2014,81805,6011,87816,1592253,-18438,-30590,-49028,-502666,2.4507923,.18008329,2.6308756,47.702236
2014,ABY1,ABY1_2014,81805,6011,87816,1592253,-18438,-30590,-49028,-502666,2.4507923,.18008329,2.6308756,47.702236
2014,ABY1,ABY1_2014,81805,6011,87816,1592253,-18438,-30590,-49028,-502666,2.4507923,.18008329,2.6308756,47.702236
2014,ABY1,ABY1_2014,81805,6011,87816,1592253,-18438,-30590,-49028,-502666,2.4507923,.18008329,2.6308756,47.702236
2014,ABY1,ABY1_2014,81805,6011,87816,1592253,-18438,-30590,-49028,-502666,2.4507923,.18008329,2.6308756,47.702236
2014,ABY1,ABY1_2014,81805,6011,87816,1592253,-18438,-30590,-49028,-502666,2.4507923,.18008329,2.6308756,47.702236
2014,ABY1,ABY1_2014,81805,6011,87816,1592253,-18438,-30590,-49028,-502666,2.4507923,.18008329,2.6308756,47.702236
2014,ABY1,ABY1_2014,81805,6011,87816,1592253,-18438,-30590,-49028,-502666,2.4507923,.18008329,2.6308756,47.702236
2014,ABY1,ABY1_2014,81805,6011,87816,1592253,-18438,-30590,-49028,-502666,2.4507923,.18008329,2.6308756,47.702236
2014,ABY1,ABY1_2014,81805,6011,87816,1592253,-18438,-30590,-49028,-502666,2.4507923,.18008329,2.6308756,47.702236
2014,ABY1,ABY1_2014,81805,6011,87816,1592253,-18438,-30590,-49028,-502666,2.4507923,.18008329,2.6308756,47.702236
2015,ABY1,ABY1_2015,73376,4229,77605,1417985,-8429,-1782,-10211,-174268,8.2660418,.47641042,8.7424526,159.74055
2015,ABY1,ABY1_2015,73376,4229,77605,1417985,-8429,-1782,-10211,-174268,8.2660418,.47641042,8.7424526,159.74055
2015,ABY1,ABY1_2015,73376,4229,77605,1417985,-8429,-1782,-10211,-174268,8.2660418,.47641042,8.7424526,159.74055
2015,ABY1,ABY1_2015,73376,4229,77605,1417985,-8429,-1782,-10211,-174268,8.2660418,.47641042,8.7424526,159.74055
2015,ABY1,ABY1_2015,73376,4229,77605,1417985,-8429,-1782,-10211,-174268,8.2660418,.47641042,8.7424526,159.74055
2015,ABY1,ABY1_2015,73376,4229,77605,1417985,-8429,-1782,-10211,-174268,8.2660418,.47641042,8.7424526,159.74055
2015,ABY1,ABY1_2015,73376,4229,77605,1417985,-8429,-1782,-10211,-174268,8.2660418,.47641042,8.7424526,159.74055
2015,ABY1,ABY1_2015,73376,4229,77605,1417985,-8429,-1782,-10211,-174268,8.2660418,.47641042,8.7424526,159.74055
2015,ABY1,ABY1_2015,73376,4229,77605,1417985,-8429,-1782,-10211,-174268,8.2660418,.47641042,8.7424526,159.74055
2011,AEJ,AEJ_2011,1174312,1728,1176040,13580181,,,,,,,,
2012,AEJ,AEJ_2012,1095354,1921,1097275,12650175,-78958,193,-78765,-930006,34.726299,.21432078,35.147686,368.67001
2012,AEJ,AEJ_2012,1095354,1921,1097275,12650175,-78958,193,-78765,-930006,34.726299,.21432078,35.147686,368.67001
2012,AEJ,AEJ_2012,1095354,1921,1097275,12650175,-78958,193,-78765,-930006,34.726299,.21432078,35.147686,368.67001
2013,AEJ,AEJ_2013,1138648,97,1138745,9336003,43294,-1824,41470,-3314172,34.726299,.0098579237,35.147686,368.67001
2013,AEJ,AEJ_2013,1138648,97,1138745,9336003,43294,-1824,41470,-3314172,34.726299,.0098579237,35.147686,368.67001
2013,AEJ,AEJ_2013,1138648,97,1138745,9336003,43294,-1824,41470,-3314172,34.726299,.0098579237,35.147686,368.67001
2013,AEJ,AEJ_2013,1138648,97,1138745,9336003,43294,-1824,41470,-3314172,34.726299,.0098579237,35.147686,368.67001
2013,AEJ,AEJ_2013,1138648,97,1138745,9336003,43294,-1824,41470,-3314172,34.726299,.0098579237,35.147686,368.67001
2013,AEJ,AEJ_2013,1138648,97,1138745,9336003,43294,-1824,41470,-3314172,34.726299,.0098579237,35.147686,368.67001
2013,AEJ,AEJ_2013,1138648,97,1138745,9336003,43294,-1824,41470,-3314172,34.726299,.0098579237,35.147686,368.67001
2013,AEJ,AEJ_2013,1138648,97,1138745,9336003,43294,-1824,41470,-3314172,34.726299,.0098579237,35.147686,368.67001
2009,AGL,AGL_2009,1623746,52883,1676629,40763207,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AGL,AGL_2009,1623746,52883,1676629,40763207,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AGL,AGL_2009,1623746,52883,1676629,40763207,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AGL,AGL_2009,1623746,52883,1676629,40763207,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AGL,AGL_2009,1623746,52883,1676629,40763207,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AGL,AGL_2009,1623746,52883,1676629,40763207,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AGL,AGL_2009,1623746,52883,1676629,40763207,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AGL,AGL_2009,1623746,52883,1676629,40763207,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AGL,AGL_2009,1623746,52883,1676629,40763207,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AGL,AGL_2009,1623746,52883,1676629,40763207,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AGL,AGL_2009,1623746,52883,1676629,40763207,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AGL,AGL_2009,1623746,52883,1676629,40763207,,,,,2.3638065,.076985672,2.4407923,59.341999
2011,AGL,AGL_2011,1545278,51062,1596340,48878147,,,,,2.1849105,.072197951,2.2571084,69.110138
2011,AGL,AGL_2011,1545278,51062,1596340,48878147,,,,,2.1849105,.072197951,2.2571084,69.110138
2011,AGL,AGL_2011,1545278,51062,1596340,48878147,,,,,2.1849105,.072197951,2.2571084,69.110138
