ticker,log_scope1,log_scope2,log_total_emissions,log_energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int,table
24,12.538632659926408,11.236339796002659,13.19757822288948,14.985343418275605,,,,,6.227937520334658,1.0395831275619682,7.267520647896625,81.40648953382531,log
23,11.759682627410449,11.185879046781995,12.712520584654232,14.534633151348348,0.11974893332410942,-0.03234907208181405,0.014740312554689987,0.01600460931467636,5.133787352548866,0.8679020949357433,6.00168944748461,77.44839787600807,log
31,11.656934386386585,10.852756906981323,12.507183946995445,14.557685392574614,-0.06886994332770698,0.0015469106301601405,-0.0342970170349815,0.04963977492785906,11.715989833215987,0.6348565913225719,12.35084642453856,151.67474939811052,log
31,11.89312258268817,10.848972324276883,12.54449588899017,14.509416513711832,0.08788176618811624,0.08207953238541306,0.0817337337453291,0.06361502237392008,4.581316089359712,0.845013355730327,5.4263294450900394,69.03918499705657,log
35,11.826593665265666,10.763074332233954,12.570460549556813,14.680996938667422,0.01717637293871257,-0.09653448969557574,-0.05003276815293205,0.016298527748125662,5.474746664395245,0.6944699513071654,6.16921661570241,62.36239033486101,log
32,11.89201995560897,11.220137352065256,12.667098683166955,14.923076076174393,-0.026377406111403382,0.010056201620578731,-0.022201984211714404,0.010549081110294305,3.1357761147146737,0.7105665208343791,3.846342635549053,45.85137735132759,log
38,11.80895015036236,11.26752355273916,12.634477849256275,14.843658840742869,0.04156836979604064,-0.015085974795806326,0.036868474498998535,0.033538100114515815,5.44206923427874,1.2250672072097664,6.6671364414885055,87.70707174856808,log
36,11.724697829362015,11.508200855927349,12.608714826359904,14.797621496460614,0.0578217820066201,-0.052559845548520646,0.023714069770131227,0.024823963006708052,3.3708735461572314,0.9079216167894383,4.278795162946669,46.29999555999419,log
35,11.332217804603737,10.952999597256044,12.386424643848345,14.573154473436619,-0.03331810271002766,-0.01565173862597384,-0.03212514285969775,-0.022199127061297237,3.9570682094414646,0.8127093157440202,4.769777525185486,52.26543805105409,log
36,11.645244793872102,11.174625594940753,12.599092482525162,14.698065887144228,0.02154074137750013,-0.012390075917614233,0.030106479955627877,0.08444395203572685,34.48011110143711,2.468909031818054,36.94902013325517,46.9164988238928,log
40,11.785199919544251,11.068312084360626,12.665786967223585,14.80950370433479,-0.030592375622232142,0.02370288490536961,-0.0036580740974521187,0.043831637622859236,12.982262236281935,1.276355185365943,14.258617421647877,57.41842986490124,log
40,11.836539251545965,10.844294752555172,12.651530179864835,14.783045280043508,-0.04556333024655539,-0.05807521040793068,-0.05085198243170975,-0.11817543042309928,12.063075447683184,1.0732315886021773,13.136307036285363,36.141808513322715,log
38,11.976493140851938,10.778496086501281,12.765457078818866,14.864585438922138,0.03683582232694111,0.010389476782976165,0.020293145626063533,-0.05099392216228179,67.59599278510287,2.0537404045251213,69.64973318962797,42.972470597975295,log
