="",="(1)",="",="",="",=""
="",="emissions",="",="",="",=""
="",="count",="mean",="sd",="min",="max"
="log_scope1",="4671",="11.81206",="2.042368",="5.509388",="17.58693"
="log_scope2",="4671",="11.04269",="1.972072",="2.772589",="14.264"
="log_total_emissions",="4671",="12.65796",="1.426653",="10.82243",="17.59812"
="log_energy_consumption",="4671",="14.75959",="1.897866",="5.26269",="19.64779"
="Observations",="4671",="",="",="",=""
