ticker,scope1,scope2,total_emissions,energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int,table
30,933676.0171232877,196485.91780821918,1130161.9349315069,17238479.010676157,,,,,6.227937501193007,0.8184478753818182,7.267520667202797,66.63333070385455,exp
31,778434.2086330935,174018.6762589928,952452.8848920864,11802299.118705036,6489.508771929824,-324.5,6718.565789473684,-580780.245614035,4.885145713865185,0.8679328277244444,5.7669680029629635,53.315235368555555,exp
44,712089.3638888889,152787.78055555557,864877.1444444444,14907071.454285715,-8073.399176954733,-386.06584362139915,-8400.45267489712,-89461.44855967078,3.795661088308357,0.6348790434760807,4.420723431757925,59.82793216884273,exp
47,821212.5914893617,134324.27234042552,955536.8638297872,14865846.978723405,7660.658291457286,-1264.8341708542714,13512.065326633166,-13131.423469387755,3.382980920308676,0.8450379337808219,4.230818231159817,50.238577637671234,exp
47,1088082.9562043797,138241.800486618,1226324.7566909976,11803566.333333334,-19088.151933701658,-4199.6988950276245,-22273.2817679558,-689791.8259668509,3.850892468353885,0.6945419223684209,4.553931691072681,48.82105777934837,exp
45,1115879.9764397906,162968.6884816754,1278848.664921466,12430546.295811519,-23209.980446927373,-6625.391061452514,-28170.81005586592,-307616.83240223466,3.1358584385804877,0.710621716311111,3.8467692742493225,43.11274904189702,exp
48,1535695.9174528301,164819.0400943396,1700514.9575471699,14949334.603773585,6930.7972972972975,4630.581081081081,13471.981081081081,131344.3135135135,3.6560185871270527,0.8390376740408212,4.463447183222223,48.17789405152174,exp
46,1679283.4047619049,174565.06666666668,1853848.4714285715,15905385.419047618,27183.805194805194,-1800.4753246753246,33160.854545454546,260699.16363636364,3.2542676137131705,0.907975808915122,4.160877231087805,46.034882559951214,exp
46,2239532.880149813,145026.7191011236,2384559.5992509364,19190965.88764045,4102.00796812749,-2885.167330677291,1939.8964143426294,47150.90836653386,3.9573526686656253,0.7953629352578125,4.769777492671875,52.265438744765625,exp
47,1681579.9951100245,155553.1760391198,1837133.1711491442,15776595.845965771,1971.2734584450402,-4849.032171581769,-3193.946380697051,180249.54423592493,3.872363305410553,0.846297345982412,4.6229990742462315,46.91649832030151,exp
50,1621596.9372294373,200662.96536796537,1822259.9025974027,16029402.850649351,-13873.073232323231,-4735.681818181818,-15109.290404040405,-193150.89141414143,3.5673920418699114,0.8144168276756637,4.406797921176991,43.24552646097345,exp
50,1603597.1780538303,195075.65217391305,1798672.8302277434,15814287.349896481,-5324.36170212766,-7885.156028368794,-13277.971631205673,-17245.27659574468,3.6880655671949256,0.7079430030646934,4.398295544930233,36.142228661606765,exp
48,1647594.5570175438,203694.25877192983,1851288.8157894737,16472189.635964911,-4304.364835164835,-524.7450549450549,-2794.147252747253,-126177.69450549451,3.8872083928681613,0.6974547883816143,4.595247871600897,42.974064574573994,exp
