year,ticker,ticker_year,scope1,scope2,total_emissions,energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int
2010,DOW,DOW_2010,209004.0,45462.0,254466.0,10139177.0,8551.0,171.0,8722.0,199716.0,0.3587026813284583,0.0780240631689076,0.4367267444973659,17.40134148802814
2010,DOW,DOW_2010,209004.0,45462.0,254466.0,10139177.0,8551.0,171.0,8722.0,199716.0,0.3587026813284583,0.0780240631689076,0.4367267444973659,17.40134148802814
2010,DOW,DOW_2010,209004.0,45462.0,254466.0,10139177.0,8551.0,171.0,8722.0,199716.0,0.3587026813284583,0.0780240631689076,0.4367267444973659,17.40134148802814
2010,DOW,DOW_2010,209004.0,45462.0,254466.0,10139177.0,8551.0,171.0,8722.0,199716.0,0.3587026813284583,0.0780240631689076,0.4367267444973659,17.40134148802814
2010,DOW,DOW_2010,209004.0,45462.0,254466.0,10139177.0,8551.0,171.0,8722.0,199716.0,0.3587026813284583,0.0780240631689076,0.4367267444973659,17.40134148802814
2010,DOW,DOW_2010,209004.0,45462.0,254466.0,10139177.0,8551.0,171.0,8722.0,199716.0,0.3587026813284583,0.0780240631689076,0.4367267444973659,17.40134148802814
2010,DOW,DOW_2010,209004.0,45462.0,254466.0,10139177.0,8551.0,171.0,8722.0,199716.0,0.3587026813284583,0.0780240631689076,0.4367267444973659,17.40134148802814
2010,DOW,DOW_2010,209004.0,45462.0,254466.0,10139177.0,8551.0,171.0,8722.0,199716.0,0.3587026813284583,0.0780240631689076,0.4367267444973659,17.40134148802814
2011,DOW,DOW_2011,217793.0,47768.0,265561.0,9670981.0,8789.0,2306.0,11095.0,-468196.0,0.3279102936276611,0.0719197536468395,0.3998300472745006,14.560680184292112
2011,DOW,DOW_2011,217793.0,47768.0,265561.0,9670981.0,8789.0,2306.0,11095.0,-468196.0,0.3279102936276611,0.0719197536468395,0.3998300472745006,14.560680184292112
2011,DOW,DOW_2011,217793.0,47768.0,265561.0,9670981.0,8789.0,2306.0,11095.0,-468196.0,0.3279102936276611,0.0719197536468395,0.3998300472745006,14.560680184292112
2011,DOW,DOW_2011,217793.0,47768.0,265561.0,9670981.0,8789.0,2306.0,11095.0,-468196.0,0.3279102936276611,0.0719197536468395,0.3998300472745006,14.560680184292112
2011,DOW,DOW_2011,217793.0,47768.0,265561.0,9670981.0,8789.0,2306.0,11095.0,-468196.0,0.3279102936276611,0.0719197536468395,0.3998300472745006,14.560680184292112
2011,DOW,DOW_2011,217793.0,47768.0,265561.0,9670981.0,8789.0,2306.0,11095.0,-468196.0,0.3279102936276611,0.0719197536468395,0.3998300472745006,14.560680184292112
2011,DOW,DOW_2011,217793.0,47768.0,265561.0,9670981.0,8789.0,2306.0,11095.0,-468196.0,0.3279102936276611,0.0719197536468395,0.3998300472745006,14.560680184292112
2011,DOW,DOW_2011,217793.0,47768.0,265561.0,9670981.0,8789.0,2306.0,11095.0,-468196.0,0.3279102936276611,0.0719197536468395,0.3998300472745006,14.560680184292112
