Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
ONT AT Equity,1300SMILES Ltd,Health Care Providers & Services,351020,6.690000057,7.050000191,166932608
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,0.964999974,1,214602512
3PL AT Equity,3P Learning Ltd,Diversified Consumer Services,253020,1.044999957,1.100000024,153047584
88E AT Equity,88 Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.057,0.029999999,139453920
A2M AT Equity,a2 Milk Co Ltd/The,Food Products,302020,3.75999999,4.139999866,3009730560
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,2.529999971,2.180000067,262538880
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.24000001,3.109999895,1790023808
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,0.860000014,0.915000021,496196448
ACX AT Equity,Aconex Ltd,Interactive Media & Services,502030,3.730000019,3.809999943,758765824
ADA AT Equity,Adacel Technologies Ltd,Software,451030,2.349999905,2.680000067,212411920
ADH AT Equity,Adairs Ltd,Specialty Retail,255040,0.860000014,1.200000048,199049744
ABC AT Equity,Adbri Ltd,Construction Materials,151020,5.630000114,5.619999886,3654531584
ADS AT Equity,Adslot Ltd,Software,451030,0.050999999,0.059999999,77059728
APT AT Equity,Afterpay Ltd,IT Services,451020,2.950000048,3.099999905,665742208
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,25.5,24.10000038,15805384704
AGI AT Equity,Ainsworth Game Technology Ltd,"Hotels, Restaurants & Leisure",253010,2.160000086,2.410000086,797916224
1901980D AT Equity,AirXpanders Inc,Health Care Equipment & Supplies,351010,0.644999981,0.699999988,201370032
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,0.219999999,0.230000004,134593408
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,2.140000105,2.079999924,609526016
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,4.670000076,4.760000229,931860800
AJX AT Equity,Alexium International Group Ltd,Chemicals,151010,0.560000002,0.495000005,150394864
ALK AT Equity,Alkane Resources Ltd,Metals & Mining,151040,0.234999999,0.340000004,171773328
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,3.470000029,3.200000048,673665600
ALQ AT Equity,ALS Ltd,Professional Services,202020,7.449999809,7.420000076,3741320704
ALU AT Equity,Altium Ltd,Software,451030,8.569999695,8.75,1139388416
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.919999957,1.899999976,5471702528
AMA AT Equity,AMA Group Ltd,Commercial Services & Supplies,202010,0.970000029,1.019999981,524169920
AYS AT Equity,Amaysim Australia Ltd,Electric Utilities,551010,1.559999943,1.600000024,332824256
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,16.20999908,15.34000015,17765888000
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,5.190000057,5.389999866,15730548736
ATX AT Equity,Amplia Therapeutics Ltd,Biotechnology,352010,0.061999999,0.050999999,11506926
ALD AT Equity,Ampol Ltd,"Oil, Gas & Consumable Fuels",101020,31.61000061,31.13999939,8121639424
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,2.650000095,2.569999933,5282319360
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,23.72999954,21.96999931,3236784384
APA AT Equity,APA Group,Gas Utilities,551020,9.170000076,8.619999886,9605329920
AHX AT Equity,Apiam Animal Health Ltd,Health Care Providers & Services,351020,0.699999988,0.75,75883464
APO AT Equity,APN Outdoor Group Pty Ltd,Media,502010,4.809999943,4.610000134,768092864
APD AT Equity,APN Property Group Ltd,Equity Real Estate Investment Trusts (REITs),601010,0.405000001,0.405000001,127065832
ATL AT Equity,Apollo Tourism & Leisure Ltd,Automobiles,251020,1.495000005,1.409999967,253721408
APX AT Equity,Appen Ltd,IT Services,451020,3.99000001,4.170000076,407667360
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,15.71000004,15.32999992,1213894016
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,1.879999995,2.089999914,980698816
ARF AT Equity,Arena REIT,Equity Real Estate Investment Trusts (REITs),601010,2.25,2.059999943,483777280
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,22.55999947,20.25,12930519040
AHY AT Equity,Asaleo Care Ltd,Personal Products,303020,1.470000029,1.330000043,722352896
AFA AT Equity,ASF Group Ltd,Diversified Financial Services,402010,0.180000007,0.180000007,122095408
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,6.349999905,6.349999905,385143168
ASX AT Equity,ASX Ltd,Capital Markets,402030,53.61000061,52.29999924,10125027328
ALX AT Equity,Atlas Arteria Ltd,Transportation Infrastructure,203050,5.610000134,5.559999943,3235252224
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,0.015,0.021,194547632
ATU AT Equity,Atrum Coal Ltd,Metals & Mining,151040,0.215000004,0.174999997,40598712
AUB AT Equity,AUB Group Ltd,Insurance,403010,12.98999977,12.89999962,823619584
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,6.769999981,6.53000021,7791725056
AKP AT Equity,Audio Pixels Holdings Ltd,Household Durables,252010,19,21.45000076,576863616
AZJ AT Equity,Aurizon Holdings Ltd,Road & Rail,203040,5.360000134,5.019999981,10299762688
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,1.735000014,1.63499999,5902953984
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,1.830000043,1.804999948,630798144
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,28.71999931,29.62999916,87035617280
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,1.855000019,1.654999971,971494464
AFG AT Equity,Australian Finance Group Ltd,Thrifts & Mortgage Finance,401020,1.284999967,1.434999943,308256192
KDR AT Equity,Australian Light Minerals Pty Ltd,Metals & Mining,151040,0.610000014,0.579999983,193332192
API AT Equity,Australian Pharmaceutical Industries Ltd,Health Care Providers & Services,351020,1.904999971,1.754999995,859599680
AOF AT Equity,Australian Unity Office Fund,Equity Real Estate Investment Trusts (REITs),601010,2.230000019,2.220000029,311626688
AVG AT Equity,Australian Vintage Ltd,Beverages,302010,0.425000012,0.414999992,114351728
ABA AT Equity,Auswide Bank Ltd,Thrifts & Mortgage Finance,401020,5.139999866,5.150000095,209533056
AHG AT Equity,Automotive Holdings Group Ltd,Specialty Retail,255040,3.349999905,3.829999924,1270116096
ASG AT Equity,Autosports Group Ltd,Specialty Retail,255040,2.089999914,2.299999952,462300000
AVB AT Equity,Avanco Resources Ltd,Metals & Mining,151040,0.093999997,0.109999999,270259712
AVN AT Equity,Aventus Group,Equity Real Estate Investment Trusts (REITs),601010,2.299999952,2.25,1103449088
AOG AT Equity,Aveo Group,Real Estate Management & Development,601020,2.779999971,2.430000067,1412650496
