Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
ONT AT Equity,1300SMILES Ltd,Health Care Providers & Services,351020,6.650000095,6.690000057,158408400
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,0.954999983,0.964999974,207091424
3PL AT Equity,3P Learning Ltd,Diversified Consumer Services,253020,1.059999943,1.044999957,145395216
88E AT Equity,88 Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.048,0.057,264901456
A2M AT Equity,a2 Milk Co Ltd/The,Food Products,302020,3.180000067,3.75999999,2700574976
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,2.579999924,2.529999971,304689632
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.5,3.24000001,1864848000
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,0.600000024,0.860000014,466370432
ACX AT Equity,Aconex Ltd,Interactive Media & Services,502030,4.269999981,3.730000019,741553408
ADA AT Equity,Adacel Technologies Ltd,Software,451030,2.450000048,2.349999905,186256720
ADH AT Equity,Adairs Ltd,Specialty Retail,255040,0.675000012,0.860000014,142652320
ABC AT Equity,Adbri Ltd,Construction Materials,151020,5.53000021,5.630000114,3661034240
ADS AT Equity,Adslot Ltd,Software,451030,0.055,0.050999999,65500764
APT AT Equity,Afterpay Ltd,IT Services,451020,--,2.950000048,633528896
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,26.35000038,25.5,16727837696
AGI AT Equity,Ainsworth Game Technology Ltd,"Hotels, Restaurants & Leisure",253010,2.210000038,2.160000086,715144832
1901980D AT Equity,AirXpanders Inc,Health Care Equipment & Supplies,351010,0.800000012,0.644999981,185548096
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,0.275000006,0.219999999,128741520
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,1.970000029,2.140000105,627108480
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,4.690000057,4.670000076,914241600
AJX AT Equity,Alexium International Group Ltd,Chemicals,151010,0.540000021,0.560000002,170143680
ALK AT Equity,Alkane Resources Ltd,Metals & Mining,151040,0.245000005,0.234999999,118725680
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,3.670000076,3.470000029,730506112
ALQ AT Equity,ALS Ltd,Professional Services,202020,6.75,7.449999809,3756447488
ALU AT Equity,Altium Ltd,Software,451030,8.460000038,8.569999695,1115949568
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.919999957,1.919999957,5529299456
AMA AT Equity,AMA Group Ltd,Commercial Services & Supplies,202010,0.975000024,0.970000029,498475328
AYS AT Equity,Amaysim Australia Ltd,Electric Utilities,551010,1.899999976,1.559999943,324503648
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,15.34000015,16.20999908,18773469184
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,5.050000191,5.190000057,15167759360
ATX AT Equity,Amplia Therapeutics Ltd,Biotechnology,352010,0.74000001,0.061999999,13988811
ALD AT Equity,Ampol Ltd,"Oil, Gas & Consumable Fuels",101020,33.06000137,31.61000061,8244220416
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,3,2.650000095,5444206592
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,23.36000061,23.72999954,3496080896
APA AT Equity,APA Group,Gas Utilities,551020,9.579999924,9.170000076,10218199040
AHX AT Equity,Apiam Animal Health Ltd,Health Care Providers & Services,351020,0.680000007,0.699999988,70824560
APO AT Equity,APN Outdoor Group Pty Ltd,Media,502010,4.639999866,4.809999943,801415744
APD AT Equity,APN Property Group Ltd,Equity Real Estate Investment Trusts (REITs),601010,0.389999986,0.405000001,127065832
ATL AT Equity,Apollo Tourism & Leisure Ltd,Automobiles,251020,1.399999976,1.495000005,269016672
APX AT Equity,Appen Ltd,IT Services,451020,3.670000076,3.99000001,390070208
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,15.67000008,15.71000004,1243984000
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,2.069999933,1.879999995,882008192
ARF AT Equity,Arena REIT,Equity Real Estate Investment Trusts (REITs),601010,2.200000048,2.25,528397504
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,21.79999924,22.55999947,14405555200
AHY AT Equity,Asaleo Care Ltd,Personal Products,303020,1.399999976,1.470000029,798390080
AFA AT Equity,ASF Group Ltd,Diversified Financial Services,402010,0.177777722,0.180000007,122133208
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,6.679999828,6.349999905,385143168
ASX AT Equity,ASX Ltd,Capital Markets,402030,51.11999893,53.61000061,10378637312
ALX AT Equity,Atlas Arteria Ltd,Transportation Infrastructure,203050,5.849999905,5.610000134,3214182400
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,0.014,0.015,138917008
ATU AT Equity,Atrum Coal Ltd,Metals & Mining,151040,0.230000004,0.215000004,49878420
