var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
log_scope1,-.0018151123,.0014527082,-1.249468,.21584131,-.0047147302,.0010845053,3560,.23036125
logsize,-.0050238795,.0050661825,-.99164993,.32493624,-.015136022,.0050882632,3560,.23036125
winsor_bm,-.029707791,.010251108,-2.8980079,.0050706705,-.050169088,-.0092464946,3560,.23036125
winsor_leverage,-.010190804,.011756394,-.86683083,.38912854,-.033656664,.013275057,3560,.23036125
winsor_mom,-.061714813,.11531657,-.53517735,.59429914,-.29188764,.16845803,3560,.23036125
winsor_investa,.15886956,.047710702,3.3298519,.0014156837,.063638605,.25410053,3560,.23036125
winsor_roe,.0017218152,.021516552,.080022819,.93645763,-.041225404,.044669036,3560,.23036125
logppe,.0036407551,.0048881145,.74481785,.45898652,-.0061159628,.013397473,3560,.23036125
beta,.0039211782,.004610023,.8505767,.3980341,-.0052804663,.013122823,3560,.23036125
winsor_volat,.01071168,.0096419482,1.1109456,.27056274,-.0085337292,.02995709,3560,.23036125
winsor_salesgr,.0059046415,.0047178208,1.2515612,.21508195,-.0035121685,.015321451,3560,.23036125
winsor_epsgr,.00011298426,.000067127148,1.683138,.097002968,-.000021002095,.00024697059,3560,.23036125
_cons,.087788939,.04644933,1.8899937,.063085616,-.0049243127,.18050219,3560,.23036125
