var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
log_scope1,-.00026655963,.00092095602,-.28943795,.77314001,-.0021047955,.0015716763,3560,.22549959
logsize,-.0077458913,.002447942,-3.1642463,.0023385184,-.012632004,-.0028597785,3560,.22549959
winsor_bm,-.026119566,.0079997554,-3.2650454,.0017260516,-.042087145,-.010151987,3560,.22549959
winsor_leverage,-.014206458,.010714182,-1.325949,.18935946,-.035592053,.0071791387,3560,.22549959
winsor_mom,-.0034099077,.099402033,-.034304205,.97273654,-.2018172,.19499739,3560,.22549959
winsor_investa,.097217523,.043909054,2.2140656,.030231452,.0095746815,.18486036,3560,.22549959
winsor_roe,.010136819,.019146545,.52943331,.5982548,-.028079845,.048353482,3560,.22549959
logppe,.00684817,.0026254689,2.6083608,.011207833,.001607712,.012088628,3560,.22549959
beta,.0023782095,.0032405294,.73389536,.46557301,-.0040899143,.0088463333,3560,.22549959
winsor_volat,.01305632,.0087080132,1.4993454,.1384815,-.0043249475,.030437587,3560,.22549959
winsor_salesgr,.0062077674,.0051420731,1.2072499,.2315807,-.0040558539,.016471388,3560,.22549959
winsor_epsgr,.00012530605,.000066176231,1.8935205,.06260772,-6.7822666e-06,.00025739436,3560,.22549959
_cons,.055339523,.028496912,1.9419481,.056349356,-.0015405525,.11221959,3560,.22549959
