ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A2M,The a2 Milk Company Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,"12,553,489.00","11,959,050.00","72,537,878.00"
A3D,Aurora Labs Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , ,--, ,--,--,--,--,"157,501.00","64,211.00"
A40,Alita Resources Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , ,"50,977,000.00", , , , 
A4N,Alpha HPA Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , ,0.00,0.00,--,--,--,--,--,--,--,0.00,--,--,--,"2,365.00","324,018.00"
A8G,Australasian Metals Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , , , ,0.00,--, 
AAA,BetaShares Australian High Interest Cash ETF,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , ,0.00, , ,--,--,--,--,--,--,--, 
AAB,Absolute Return Fund (The),Annual Balance Sheet - NCL Long-Term Debt, , , ,--,"1,000,000.00", , , , , , , , , , , , , , , , , , 
AAC,Australian Agricultural Company Limited,Annual Balance Sheet - NCL Long-Term Debt,--,"106,507,000.00","75,000,000.00","75,000,000.00","269,571,000.00","242,745,000.00","310,213,000.00","417,343,000.00","426,387,000.00","269,177,000.00","270,723,000.00","311,148,000.00","407,627,000.00","407,464,000.00","278,029,000.00","364,902,000.00","365,194,000.00","362,918,000.00","353,363,000.00","364,414,000.00","405,559,000.00","385,208,000.00","392,511,000.00"
AAG,Aragon Resources Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , ,0.00,0.00,0.00, , , , , , , , , , , , 
AAH,Arana Therapeutics Limited,Annual Balance Sheet - NCL Long-Term Debt,"9,334,000.00","199,000.00","101,000.00","15,000.00",0.00,0.00,0.00,0.00,0.00, , , , , , , , , , , , , , 
AAI,Alcoa Inc.,Annual Balance Sheet - NCL Long-Term Debt,"9,001,805,054.00","12,510,771,641.00","14,773,931,472.00","8,922,666,666.00","6,895,395,330.00","9,806,513,349.00","7,468,722,355.00","7,738,203,266.00","12,282,043,879.00","10,005,574,757.00","8,700,186,952.00","8,507,286,333.00","8,003,659,476.00","8,501,341,081.00","10,691,294,806.00","12,378,866,684.00", , , , , , , 
AAJ,Aruma Resources Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , ,--,--,--,--,--,--,--,--,--,0.00,0.00,0.00, 
AAK,Australia China Holdings Limited,Annual Balance Sheet - NCL Long-Term Debt,--,"11,570,000.00","11,258,000.00","6,235,000.00",0.00,"10,375,000.00",--,"1,137,000.00","2,306,000.00",0.00,--,--,0.00,"1,208,000.00","535,000.00","438,000.00",0.00, , , , , , 
AAN,Alinta Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , ,"5,100,020,000.00", , , , , , , , , , , , , , , , 
AAP,Australian Agricultural Projects Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , ,--,"181,898.00","153,120.00","219,167.00","5,945,811.00","5,732,472.00","6,742,231.00","3,813,649.00","3,802,405.00","3,581,031.00","1,378,522.00","3,069,527.00","3,152,958.00","3,145,946.00","3,394,030.00","4,714,138.00","5,458,362.00","6,676,359.00", 
AAP1,AAPT Limited ,Annual Balance Sheet - NCL Long-Term Debt,"240,000,000.00", , , , , , , , , , , , , , , , , , , , , , 
AAR,Astral Resources NL,Annual Balance Sheet - NCL Long-Term Debt,"26,509.00","19,595.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,0.00,0.00,"46,705.00","18,788.00", 
AAS,Asian Pacific Limited,Annual Balance Sheet - NCL Long-Term Debt,--,"194,000.00","238,000.00","30,000.00","29,012.00","21,000.00",0.00,"3,509,017.00", , , , , , , , , , , , , , , 
AASF,Airlie Australian Share Fund (Managed Fund),Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , , , , ,--,--
AAT,AAT Corporation Limited,Annual Balance Sheet - NCL Long-Term Debt,"7,011,324.00","797,000.00","1,192,000.00","6,397,000.00","23,358,000.00","17,672,000.00","12,033,000.00","16,404,000.00","43,236,000.00","34,857,000.00", , ,--,--,--,"583,763.00", , , , , , , 
AAU,Antilles Gold Limited,Annual Balance Sheet - NCL Long-Term Debt,0.00,--,--,--,--,--,--,--,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"58,000.00","193,379.00","120,314.00",0.00,"66,657.00", 
AAU1,Adcorp Australia Limited,Annual Balance Sheet - NCL Long-Term Debt,0.00,0.00,0.00,"1,588,000.00","319,000.00","30,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"58,000.00","193,379.00","120,314.00", , , 
