ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A2B,A2B Australia Limited,Annual Balance Sheet - CL Short-Term Debt,0.00,0.00,"12,379,637.00","10,036,304.00","9,762,000.00","7,779,000.00","15,851,000.00","27,663,000.00","52,435,000.00","42,285,000.00","50,707,000.00","87,174,000.00","81,473,000.00","15,165,000.00","10,065,000.00","5,199,000.00","3,663,000.00","3,676,000.00","3,052,000.00","2,701,000.00","4,293,000.00","3,863,000.00","3,205,000.00"
A2M,The a2 Milk Company Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,"3,183,219.00","3,395,067.00","39,612,193.00"
A3D,Aurora Labs Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , ,0.00, ,0.00,0.00,"1,350,000.00","993,405.00","94,501.00","96,317.00"
A40,Alita Resources Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , ,"747,000.00", , , , 
A4N,Alpha HPA Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , ,0.00,0.00,"2,253,567.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"54,243.00","213,573.00"
A8G,Australasian Metals Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , , , ,"13,296.00","5,957.00", 
AAA,BetaShares Australian High Interest Cash ETF,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , ,--, , ,--,--,--,--,--,--,--, 
AAB,Absolute Return Fund (The),Annual Balance Sheet - CL Short-Term Debt, , , ,--,--, , , , , , , , , , , , , , , , , , 
AAC,Australian Agricultural Company Limited,Annual Balance Sheet - CL Short-Term Debt,--,0.00,0.00,"30,000,000.00","22,371,000.00","11,875,000.00","57,495,000.00","1,860,000.00","2,320,000.00","27,523,000.00","86,626,000.00","56,421,000.00","2,919,000.00","15,316,000.00","4,332,000.00","4,538,000.00","4,176,000.00","3,691,000.00","3,025,000.00","1,658,000.00","7,600,000.00","6,027,000.00","9,870,000.00"
AAG,Aragon Resources Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , ,0.00,0.00,0.00, , , , , , , , , , , , 
AAH,Arana Therapeutics Limited,Annual Balance Sheet - CL Short-Term Debt,"587,000.00","90,000.00","97,000.00","85,000.00","15,000.00",0.00,0.00,0.00,0.00, , , , , , , , , , , , , , 
