ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A1M,AIC Mines Limited,Annual Profit and Loss - Total Revenue Excluding Int,"446,717.00",--,"9,553.00","51,800.00","120,638.00","2,933,000.00","52,053,000.00","40,575,000.00","54,554,000.00","71,761,000.00","59,037.00","62,032.00","91,486.00","643,719.00","127,245,793.00","1,949,000.00","155,000.00","46,000.00","386,000.00","1,406,000.00","220,000.00","26,631,000.00", 
A200,BetaShares Australia 200 ETF,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , ,--,--,--,--, 
A2B,A2B Australia Limited,Annual Profit and Loss - Total Revenue Excluding Int,"477,467,668.00","543,433,197.00","585,944,548.00","643,447,106.00","691,044,000.00","777,582,000.00","128,656,000.00","150,142,000.00","171,885,000.00","173,662,000.00","174,474,000.00","184,563,000.00","195,012,000.00","196,627,000.00","197,288,000.00","188,017,000.00","187,434,000.00","154,057,000.00","188,115,000.00","197,108,000.00","178,648,000.00","129,978,000.00","127,165,000.00"
A2M,The a2 Milk Company Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , ,"137,337,524.00","336,329,488.00","523,358,095.00","846,259,745.00","1,246,889,696.00","1,617,425,955.00","1,123,065,611.00","1,304,319,083.00"
A3D,Aurora Labs Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , ,--, ,"237,995.00","329,970.00","935,531.00","791,914.00","221,618.00","88,526.00"
A40,Alita Resources Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , ,--, , , , 
A4N,Alpha HPA Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , ,--,--,"1,980.00","4,545.00",--,"102,175.00","20,000.00","26,430.00","21,223.00","266,362.00","103,524.00","1,061,295.00","332,278.00","967,688.00","5,514,859.00"
A8G,Australasian Metals Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , , , ,--,"25,962.00", 
AAA,BetaShares Australian High Interest Cash ETF,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , ,--, , ,--,--,--,--,--,--,--, 
AAB,Absolute Return Fund (The),Annual Profit and Loss - Total Revenue Excluding Int, , , ,--,--, , , , , , , , , , , , , , , , , , 
AAC,Australian Agricultural Company Limited,Annual Profit and Loss - Total Revenue Excluding Int,"88,379,000.00","81,928,000.00","93,193,000.00","76,245,000.00","79,543,000.00","366,478,000.00","199,991,000.00","249,189,000.00","235,072,000.00","156,561,000.00","266,898,000.00","556,278,000.00","489,759,000.00","34,156,000.00","433,194,000.00","560,182,000.00","774,115,000.00","751,475,000.00","545,472,000.00","424,978,000.00","624,130,000.00","493,259,000.00","667,433,000.00"
AAG,Aragon Resources Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , ,"66,790.00","39,245.00","1,154,893.00", , , , , , , , , , , , 
AAH,Arana Therapeutics Limited,Annual Profit and Loss - Total Revenue Excluding Int,"10,918,000.00","49,249,000.00","6,141,000.00","3,889,000.00","46,079,000.00","46,342,000.00","22,498,000.00","161,606,000.00","29,244,000.00", , , , , , , , , , , , , , 
AAI,Alcoa Inc.,Annual Profit and Loss - Total Revenue Excluding Int,"75,232,311,120.00","44,768,899,334.00","35,856,587,778.00","29,088,000,000.00","39,504,893,517.00","49,365,085,383.00","38,522,684,190.00","36,977,087,114.00","38,778,868,360.00","20,733,638,086.00","20,687,789,038.00","24,674,084,285.00","23,150,038,520.00","25,829,235,583.00","29,203,852,718.00","30,971,803,996.00", , , , , , , 
AAJ,Aruma Resources Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , ,--,"34,006.00","366,008.00","422,373.00","636,733.00","537,893.00","864,745.00","359,739.00","251,864.00","503,810.00","614,856.00","639,769.00", 
