ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A1M,AIC Mines Limited,Annual Balance Sheet - NCA PP&E,"97,558.00","10,730,727.00","57,678.00","18,159.00","1,732,966.00","40,570,000.00","37,621,000.00","77,238,000.00","40,457,000.00","18,231,000.00","15,266,161.00","16,253,446.00","7,704.00",0.00,"42,560,351.00","27,797,000.00","30,865,000.00",--,0.00,"46,000.00","39,000.00","20,657,000.00", 
A200,BetaShares Australia 200 ETF,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , ,--,--,--,--, 
A2B,A2B Australia Limited,Annual Balance Sheet - NCA PP&E,"16,943,737.00","18,947,147.00","28,906,365.00","28,824,700.00","33,059,000.00","41,540,000.00","36,288,000.00","39,159,000.00","40,152,000.00","39,242,000.00","34,864,000.00","51,185,000.00","46,606,000.00","43,807,000.00","38,265,000.00","39,025,000.00","40,233,000.00","35,392,000.00","38,300,000.00","38,923,000.00","57,560,000.00","45,705,000.00","30,190,000.00"
A2M,The a2 Milk Company Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , ,"8,235,346.00","7,719,515.00","7,960,000.00","8,897,551.00","9,841,330.00","28,356,535.00","30,213,122.00","231,400,613.00"
A3D,Aurora Labs Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , ,783.00, ,"357,081.00","475,162.00","472,633.00","962,929.00","725,014.00","607,228.00"
A40,Alita Resources Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , ,"179,951,000.00", , , , 
A4N,Alpha HPA Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , ,"14,979.00","5,272.00","1,384.00",0.00,"1,617.00","1,042.00","12,975.00","17,488.00","12,307.00","5,642.00",948.00,"2,016.00","3,137.00","346,865.00","28,789,581.00"
A8G,Australasian Metals Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , , , ,"16,510.00","5,115.00", 
AAA,BetaShares Australian High Interest Cash ETF,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , ,--, , ,--,--,--,--,--,--,--, 
AAB,Absolute Return Fund (The),Annual Balance Sheet - NCA PP&E, , , ,--,--, , , , , , , , , , , , , , , , , , 
AAC,Australian Agricultural Company Limited,Annual Balance Sheet - NCA PP&E,--,"99,704,000.00","106,298,000.00","223,245,000.00","385,294,000.00","487,572,000.00","586,504,000.00","810,397,000.00","847,254,000.00","681,731,000.00","598,925,000.00","608,468,000.00","602,933,000.00","603,157,000.00","605,694,000.00","668,396,000.00","741,784,000.00","792,373,000.00","753,777,000.00","795,341,000.00","898,811,000.00","997,528,000.00","1,260,934,000.00"
AAG,Aragon Resources Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , ,"157,529.00","127,156.00","468,242.00", , , , , , , , , , , , 
AAH,Arana Therapeutics Limited,Annual Balance Sheet - NCA PP&E,"13,533,000.00","1,630,000.00","1,457,000.00","1,154,000.00","393,000.00","3,055,000.00","2,974,000.00","1,233,000.00","11,166,000.00", , , , , , , , , , , , , , 
