yearmonth,year,month,29M,ARI,ABB1,ABC,ABY1,AIS,AGL,ALK,AQZ,AMP,ALD,ALG,AOE,AHY,AIO,AGO,AMI,AZJ,AST,AQC,AHG,BPT,BGA,BHP,BIN,BSL,BLD,B2Y,BKN,BKW,BRS,CAA,CBH1,CEY,CTP,CHC,CIM,CWY,CCL,CGJ,CBA,CWN,CSL,CSR,CDU,CEP,CER,CRG,DCN,DJS,DXS,DOW,APE,ENV1,EPW,EVT,EVN,ESG,ELD,ENE1,FMG,FGL1,FXJ,FLX1,FML,GCY,GFF,GNC,GRR,GCL,GNS,HVN,HSO,HGO,HRL,IGO,ILU,IMA,IPL,ING,IVA,IGR,IPG2,JBH,KZL,LLC,LAU,AEJ
201404,2014,04,,1625.76,1615.7,2496.37,73.64,6.09,8826.78,113.65,138.79,14936.57,6012.89,,3435.68,,5276.83,828.52,70.59,11071.13,4741.24,4.39,1174.12,2211.71,784.07,121241.2,,3615.75,4453.77,,723.44,1985.2,489.4,68.83,258.79,2433.98,176.1,1461.29,6448.38,1760.35,7063.2,18305.47,127922,11683.43,32892.45,1846.9,439.84,,731.65,821.17,25.24,2110.95,6166.57,2172.65,892.68,2093.28,439.06,1389.12,607.04,862.79,50.05,882.3,15724.67,10457.03,2304.92,3324.93,109.65,21.37,1320,2027.66,300.84,774.29,135.74,3484.4,,80.3,1.38,1010.29,3722.25,22.42,4737.36,,157.75,467.22,4561.34,1937.44,95.87,7478.3,86.18,6.29
201405,2014,05,,1236.4,1615.7,2158.6,64.24,6.09,8619.68,109.93,121.9,15646.43,6034.49,,3435.68,,5462.16,627.11,73.87,10558.18,4673.51,4.48,1158.33,2137.71,808.43,118864.6,,3263.67,4148.5,,610.57,2013.33,591.89,64.08,258.79,2433.98,134.26,1499.56,6847.92,1768.24,7223.56,18305.47,132283.4,11843.68,33806.43,1735.58,419.9,,731.65,821.17,18.75,2170.04,6057.91,2320.68,965.16,2452.64,447.43,1513.87,539.59,862.79,61.43,856.85,13731.84,10457.03,2398.99,3324.93,100.51,19.78,1329.78,2016.22,196.71,774.29,135.74,3399.41,,98.01,1.38,991.63,3642.69,21.02,4523.52,,157.75,467.22,4561.34,1820.99,95.87,7743.95,84.91,6.29
201406,2014,06,,1086.11,1615.7,2209.85,59.54,4.87,8664.46,109.35,119.32,15676,5823.89,,3435.68,1010.12,5491.41,576.76,75.51,10643.68,4487.25,3.68,1118.5,2170.29,741.44,115299.6,,3028.96,4109.36,,649.9,2023.69,556.02,56.96,258.79,2433.98,111.59,1482.16,6678.67,1602.47,7223.56,18305.47,131132.3,11013.32,31823.63,1765.94,402.05,,731.65,821.17,25.24,2116.32,6030.75,1968.01,1009.35,2443.66,434.27,1472.88,496.99,862.79,88.73,880.6,13545.01,10457.03,2128.52,3324.93,91.37,17.41,1329.78,1922.39,185.14,774.29,135.74,3293.18,,93.29,1.73,1014.96,3404.03,19.43,4770.26,,157.75,467.22,4561.34,1810.73,95.87,7570.7,86.18,6.29
201407,2014,07,,1127.1,1615.7,2344.36,87.74,7.31,8272.65,111.41,141.07,16237.97,6671.7,,3435.68,1079.48,5901.08,585.92,124.76,10729.16,4624.07,4.77,1198.17,2191.46,742.96,124228.1,,3509.57,4195.46,,773.04,2116.96,696.94,66.46,258.79,2433.98,122.05,1510.27,7480.92,1713.73,7109.02,18305.47,135785.4,11850.96,32177.07,1912.68,411.46,,731.65,821.17,32.45,2143.18,6465.39,2120.4,1029.93,2353.82,485.72,1493.4,555.74,862.79,106.93,848.36,15319.88,10457.03,2022.68,3324.93,109.65,21.37,1251.56,1993.33,190.92,774.29,135.74,3282.56,3914.53,90.99,2.76,1143.16,3697.12,20.15,4931.89,,157.75,467.22,4561.34,1971.03,95.87,7842.12,95.15,6.29
201408,2014,08,,1072.45,1615.7,2273.9,81.48,8.52,9469.84,90.78,148.49,17391.49,7692.29,,3435.68,1224.21,6125.42,521.95,137.9,10194.84,4846.72,3.88,1238.01,2100.96,772.17,117772.6,,3081.34,4312.88,,803.83,2087.35,896.8,64.08,258.79,2433.98,118.56,1572.91,7596.01,1421.68,6872.31,18305.47,131845.6,11508.62,35057.82,1771,400.22,,731.65,821.17,27.4,2143.18,6546.89,2120.4,1035.25,2380.77,459.4,1559.89,537.93,862.79,86.45,863.64,12984.53,10457.03,2034.44,3324.93,95.94,23.74,1251.56,2073.43,190.92,774.29,135.74,3771.22,3949.17,99.26,3.31,1093.98,3726.43,18.39,5130.49,,157.75,467.22,4561.34,1674.08,95.87,8257.9,98.96,6.29
201409,2014,09,,1072.11,1615.7,2056.12,78.34,6.09,9094.82,84.59,136.29,16149.24,7557.29,,3435.68,1151.84,5901.08,384.59,106.7,9681.9,4675.45,2.94,1155.27,1822.99,767.59,108779.9,,3031.01,3890.2,,726.86,1992.6,761,59.34,258.79,2433.98,99.38,1452.01,6533.11,1287.41,6704.32,18305.47,122069.1,10051.84,35196.9,1684.98,366.09,,731.65,821.17,23.79,2143.18,6030.75,1920.11,982.07,2362.8,401.69,1507.93,495.69,862.79,146.52,914.54,10836.01,10457.03,1822.76,3324.93,118.79,29.21,1222.22,1956.71,138.85,774.29,135.74,3856.21,4226.31,91.58,4.41,951.08,3290.98,14.18,4485.04,,157.75,467.22,4561.34,1523.79,95.87,8311.41,96.42,6.29
201410,2014,10,,983.99,1615.7,2178.18,75.21,6.09,9149.12,92.84,130.91,17302.76,8380.8,,3435.68,1224.21,6115.66,308.02,103.15,10002.49,4709.71,3.19,1167.53,1511.58,790.48,109068.9,,2935.94,3882.37,,660.16,2018.29,973.67,59.34,258.79,2433.98,82.96,1551.42,7433.53,1421.68,6986.84,18305.47,130483.7,10539.86,38050.39,1745.7,326.06,,731.65,821.17,25.24,2143.18,6574.05,2063.8,1008.63,2362.8,438.3,1582.28,428.95,862.79,142.33,924.67,10898.29,10457.03,1916.84,3324.93,91.37,21.1,1251.56,2004.77,156.21,774.29,135.74,4036.8,4399.52,81.24,3.67,1063.52,3014.64,13.24,4816.04,,157.75,467.22,4561.34,1544.57,95.87,9076.48,99.23,6.29
201411,2014,11,,704.95,1615.7,2223.56,67.38,4.87,8825.97,96.97,117.07,16681.63,8167.5,,3435.68,1172.95,5735.26,165.51,85.95,9852.88,4521.32,2.13,1204.3,1329.93,782.85,99305.38,,2768.18,3827.58,,620.83,1862.46,965.98,54.59,258.79,2433.98,57.15,1626.14,6814.07,1445.38,6979.21,18305.47,130872.8,10474.3,39228.19,1760.88,331.95,,731.65,821.17,28.83,2143.18,6438.33,1872.22,1017.56,2362.8,472.09,1797.04,382.48,862.79,188.38,907.7,9154.56,10457.03,1740.45,3324.93,91.37,17.04,1261.34,1860.6,133.07,774.29,135.74,4098.13,4520.76,75.33,5.11,983.88,2868.1,14.18,4716.75,,157.75,467.22,4561.34,1530.76,95.87,8885.21,97.96,6.29
201412,2014,12,,631.52,1615.7,2314.32,61.11,6.09,8994.28,91.13,50.55,16267.55,9236.7,,3435.68,1001.08,5901.08,151.71,92.83,9813.42,4610.99,1.59,1167.53,1355.88,785.9,94327.25,,3137.27,4148.5,,808.96,1797.17,840.43,52.22,258.79,2433.98,33.55,1604.83,7616.32,1358.5,7116.66,18305.47,138865.9,9243.32,41131.77,1973.4,473.96,,731.65,821.17,26.91,2143.18,6311.55,2055.09,1067.55,2362.8,511.93,1692.87,461.12,862.79,200.94,916.19,8531.8,10457.03,2057.96,3324.93,63.96,11.52,1251.56,1888.06,121.5,774.29,135.74,3731.63,4711.29,66.47,5.96,1037.76,2491.27,12.61,5345.23,,157.75,467.22,4561.34,1562.43,95.87,9505.38,99.23,6.29
201501,2015,01,,602.14,1615.7,2320.8,62.67,3.65,9559.78,107.7,55.34,17066.14,9023.39,,3435.68,995.05,5881.57,156.31,92.83,10513.48,4853.67,0.95,1158.33,1245.6,779.8,93973.94,,2812.92,4383.32,,466.9,1797.17,727.69,59.34,258.79,2433.98,29.5,1718.98,6983.32,1303.25,7406.82,18305.47,144832.4,9913.44,41678.98,2024,350.7,,731.65,821.17,35.56,2143.18,6981.64,1833.03,1105.03,2362.8,524.44,1857.11,643.43,862.79,275.49,925.85,7348.56,10457.03,2116.76,3324.93,91.37,16.23,1251.56,2039.1,115.73,774.29,135.74,4386.89,4676.65,56.13,5.11,1159.57,2960.21,15.76,6048.99,,157.75,467.22,4561.34,1657.42,95.87,9667.67,111.95,6.29
201502,2015,02,,646.2,1615.7,2774.58,59.54,4.87,10132.02,159.47,53.21,19816.83,9946.8,,3435.68,1082.49,6320.5,174.7,100.7,10046.21,5079.02,1.01,1271.72,1375.35,732.49,108073.3,,2724.39,4806,,379.68,1976.73,794.31,71.2,258.79,2433.98,59,1775.81,7457.23,1129.49,7948.97,18305.47,149031.6,11144.43,43712.06,2180.86,350.7,,731.65,821.17,38.92,2143.18,7153.7,1924.47,1188.94,2362.8,519.63,1942.95,604.11,862.79,233.62,1080.44,7753.35,10457.03,2372.07,3324.93,82.24,16.23,1320,2258.8,121.52,774.29,135.74,4908.87,5075.04,53.95,6.05,1332.92,3290.98,15.76,6819.77,,157.75,467.22,4561.34,1730.1,95.87,10056,125.94,6.29
201503,2015,03,,499.34,1615.7,2936.65,57.97,4.87,10255.63,120.12,52.68,19047.82,9436.5,,3435.68,1139.78,6183.94,119.53,102.63,10301.08,5061.69,1.31,1287.04,1316.96,732.49,99658.63,,2362.64,4993.86,,315.54,2144.43,699.5,73.58,258.79,2433.98,49.78,1832.64,7159.34,1256.03,8231.5,18305.47,151431.1,9738.63,43302.01,2039.18,350.7,,731.65,821.17,44.21,2143.18,6863.93,1946.24,1335.32,2362.8,548.63,1854.72,611.26,862.79,191.75,1224.4,6103.04,10457.03,2311.55,3324.93,54.82,14.6,1310.22,2153.53,133.09,774.29,135.74,4942.19,5300.21,54.69,5.11,1227.5,3558.95,15.29,6819.77,,157.75,467.22,4561.34,1847.98,95.87,9658.99,124.67,6.29
201504,2015,04,,514.03,1615.7,2930.17,59.54,8.52,10248.88,111.84,50.55,19047.82,9566.1,,3435.68,1112.64,6447.29,110.34,96.82,10301.08,5113.69,1.04,1308.49,1443.17,737.07,102677.6,,1978.29,4954.71,,391.65,2166.69,740.5,75.95,258.79,2433.98,53.46,1843.42,7139.04,1208.63,7842.07,18305.47,144644.1,9476.4,42552.64,1846.9,383.97,,731.65,821.17,40.36,2143.18,7086.1,1928.82,1594.05,2362.8,612.31,1974.79,716.76,862.79,243.67,1221.05,6756.94,10457.03,2529.4,3324.93,59.39,14.26,1310.22,2267.96,133.09,774.29,135.74,4886.66,4919.14,48.77,11.59,1382.11,3416.59,18.91,6685.73,,157.75,467.22,4561.34,1939.04,95.87,9316.52,122.45,6.29
201505,2015,05,,514.03,1615.7,3017.32,67.38,14.61,10950.57,130.48,50.02,19698.52,9099,,3435.68,1191.04,6593.6,110.34,98.94,11331.54,5287.04,1.18,1409.61,1430.17,708.08,95033.63,,1983.94,4887.13,,374.55,2206.76,853.24,75.95,258.79,2433.98,49.78,1946.72,8205.32,1287.63,7704.62,18305.47,138491.8,9534.68,43580.78,2130.26,361.49,,731.65,821.17,40.36,2143.18,7691.01,2242.31,1726.58,2362.8,624.41,2053.88,1166.12,862.79,319.03,1186.99,7535.39,10457.03,2493.09,3324.93,62.13,14.26,1310.22,2151.24,173.6,774.29,135.74,5219.84,4832.54,52.67,10.82,1136.14,3768.3,12.92,6685.73,,157.75,467.22,4561.34,2162.93,95.87,9670.6,130.1,6.29
201506,2015,06,,396.53,1615.7,2796.69,68.94,14.61,10491.77,113.91,42.57,17805.57,8599.5,,3435.68,1145.81,6486.31,110.34,83.42,10885.91,4894.65,0.6,1222.69,1365.16,660.77,86875.94,,1695.68,4493.75,,245.42,2047.97,730.25,66.46,258.79,2433.98,51.62,1838.52,7362.45,1216.53,6986.84,18305.47,138556.9,8886.4,40270.75,1841.84,472.47,,731.65,821.17,41.32,2143.18,7086.88,2081.21,1674.64,2362.8,561.49,1981.21,1141.3,862.79,288.88,1243.62,5947.35,10457.03,1972.69,3324.93,58.48,14.44,1310.22,1954.43,138.88,774.29,135.74,5008.82,4711.29,42.32,10.51,976.85,3215.62,11.56,6451.14,,157.75,467.22,4561.34,1928.32,95.87,8724.44,127.79,6.29
201507,2015,07,,352.47,1615.7,3069.23,62.67,13.4,11254.19,95.27,51.09,19550.64,9328.5,,3435.68,1031.23,7929.88,93.25,16.68,11246.65,4877.11,1.77,1348.33,1268.08,726.39,84948.94,,2051.77,5074.56,,201.81,2211.21,661.07,71.2,258.79,2433.98,47.93,1924.25,8056.38,1121.81,7086.11,18305.47,142512,9928.01,45999.84,1892.44,344.62,,731.65,821.17,42.28,2143.18,7552.87,1981.07,1884.5,2362.8,522.1,1990.69,992.43,862.79,344.15,1345.83,5776.09,10457.03,2057.4,3324.93,57.57,15.15,1310.22,2043.68,121.52,774.29,135.74,4953.3,4745.94,35.74,11.13,890.49,3299.36,14.01,6102.07,,157.75,467.22,4561.34,1912.21,95.87,9049.5,128.13,6.29
201508,2015,08,,323.1,1615.7,2926.47,59.54,7.31,11395.89,113.91,51.09,17598.53,8607.6,,3435.68,1088.52,8281.02,69.27,12.8,10525.17,4578.87,2.69,1256.4,871.4,686.71,80870.06,,2436.12,4310.32,,199.25,2209.73,599.58,52.22,258.79,2433.98,42.4,1806.27,7924.37,1082.31,6414.15,18305.47,127542.5,8332.82,42705.27,1573.66,307.1,,731.65,821.17,46.13,2143.18,7154.84,1566.31,1888.12,2362.8,546.39,2008.46,1012.28,862.79,334.1,1344.13,5947.35,10457.03,2069.51,3324.93,57.57,12.48,1310.22,1865.17,121.52,774.29,135.74,4820.02,4607.37,31.04,10.82,779.77,3110.94,15.23,5916.65,,157.75,467.22,4561.34,1890.21,95.87,8091.73,120.93,6.29
201509,2015,09,,255.54,1615.7,2822.65,47.01,7.31,10775.15,97.34,53.21,16445.02,8445.6,,3435.68,1076.46,8193.23,74.75,4.66,10631.27,4789.39,4.14,1210.43,592.81,721.81,71363.5,,2056.57,3918.77,,171.03,2304.71,540.64,47.47,258.79,2433.98,36.5,1779.86,7954.83,1074.79,6879.95,18305.47,123533.2,7211.1,41472.49,1462.34,307.1,,731.65,821.17,67.27,2143.18,6941.26,1445.16,1873.87,2362.8,546.83,2043.64,1807.92,862.79,319.87,1356.06,5667.11,10457.03,2142.12,3324.93,56.2,14.26,1310.22,2071.14,115.73,774.29,135.74,4312.08,4416.84,32.92,11.92,1293.9,2600.13,14.43,6574.06,,157.75,467.22,4561.34,1888.3,95.87,7294.19,129.57,6.29
201510,2015,10,,293.73,1615.7,2718.83,72.08,7.31,11287.93,101.48,58.54,16947.83,8532,,3435.68,1061.38,7998.16,74.75,11.64,10897.54,5070.09,4.14,1302.36,833.84,885.1,73932.88,,2547.87,4008,,165.9,2161.15,515.02,47.47,258.79,2433.98,88.49,1837.14,9383.32,1076.71,6956.3,18305.47,131019.9,8347.39,43616.5,1401.62,307.1,,731.65,821.17,69.19,2143.18,7506.97,1536.02,1964.07,2362.8,401.17,2217.99,2027.59,862.79,358.38,1365.45,6507.83,10457.03,2287.35,3324.93,64.88,17.29,1310.22,2071.14,138.88,774.29,135.74,4423.21,4676.65,36.68,11.92,1416.64,2688.06,13.63,6658.34,,157.75,467.22,4561.34,1775.59,95.87,7555.74,137.17,6.29
201511,2015,11,,232.05,1615.7,2816.16,61.11,4.87,11166.49,99.41,57.47,17184.45,9266.4,,3435.68,992.87,8339.54,56.07,19.01,11692.27,5280.61,76.7,1296.23,670.98,878.99,58099.3,,2382.2,4216.21,,88.08,2257.83,438.15,52.22,258.79,2433.98,76.32,1828.96,8479.51,1037.12,6895.21,18305.47,135630.3,8478.5,46536.5,1543.3,348.54,,731.65,821.17,105.89,2143.18,7433.84,1561.99,1997.2,2362.8,384.79,2385.92,1628.43,862.79,370.11,1365.45,6103.04,10457.03,2154.22,3324.93,62.13,18.98,1310.22,1876.61,138.88,774.29,135.74,4534.35,4667.39,32.92,12.87,1237.64,2407.53,16.03,6377.5,,157.75,467.22,4561.34,1909.37,95.87,7410.43,150.16,6.29
201512,2015,12,,170.36,1615.7,3082.2,59.54,4.87,12198.8,97.34,60.5,17243.6,10179,,3435.68,921.09,8524.87,49.39,18.24,9194.28,5253.38,86.37,1385.1,638.41,1129.26,57360.59,,2530.73,4394.67,,82.95,2339.64,717.44,47.47,258.79,2433.98,62.81,1857.6,8225.63,1250.88,7101.38,18305.47,146046.3,9104.92,48750.67,1462.34,348.54,,731.65,821.17,104.56,2143.18,7259.61,1551.09,2337.74,2362.8,383.56,2607.8,2033.69,862.79,389.37,1365.45,5822.8,10457.03,2226.84,3324.93,56.65,22.69,1310.22,1975.02,104.16,774.29,135.74,4645.49,4615.34,30.1,11.44,1299.01,2566.63,15.63,6681.2,,157.75,467.22,4561.34,1930.14,95.87,8288.07,141.5,6.29
201601,2016,01,,196.8,1615.7,3069.23,59.54,5.74,12549.65,84.91,60.5,15883.04,10030.5,,3435.68,880.86,8680.93,42.72,20.18,7745.86,5182.63,90.69,1326.88,488.58,1077.38,49299.29,,2639.27,4164.15,,75.25,2260.8,617.51,44.15,258.79,2433.98,47.65,1816.68,8147.78,1155.88,6421.79,18305.47,134332.5,8937.39,48132.34,1290.3,348.54,,731.65,821.17,112.5,2143.18,7124.09,1339.97,2181.27,2362.8,358.14,2408.17,2123.48,862.79,392.72,1365.45,5386.87,10457.03,2142.12,3324.93,63.96,34.03,1310.22,1947.56,100.69,774.29,135.74,4934.44,3834.55,28.22,14.3,1120.02,2273.54,12.63,5230.23,,157.75,467.22,4561.34,2315.77,95.87,7549.93,132.84,6.29
201602,2016,02,,52.87,1615.7,3211.98,61.11,5.88,12374.22,99.41,54.45,15735.16,9865.8,,3435.68,974.33,8651.67,37.38,23.28,8519.93,5182.63,69.09,1244.14,690.53,891.2,50005.85,,3136.27,4342.62,,111.17,2179,591.89,46.52,258.79,2433.98,43.32,1804.41,10636.04,1298.38,6498.15,18305.47,119767.1,8463.94,47544.77,1497.76,348.54,,731.65,821.17,209.12,2143.18,7288.64,1434.76,2008.81,2362.8,367.96,2489.76,2566.47,862.79,334.1,1365.45,6352.14,10457.03,1863.77,3324.93,68.53,53.63,1310.22,1796.52,105.32,774.29,135.74,5312.29,4303.02,19.75,23.04,1309.24,2817.85,10.02,4909.66,,157.75,467.22,4561.34,2189.7,95.87,7573.18,135.73,6.29
201603,2016,03,,64.62,1615.7,3289.85,64.24,5.04,12414.7,86.99,54.45,17125.29,9185.4,,3435.68,1030.98,8739.45,64.07,26.38,8185.04,5271.07,47.5,1253.33,1218.76,900.36,54148.91,,3536.63,4595.44,,103.47,2356,607.26,56.96,258.79,2433.98,41.15,1915.01,11459.54,1219.21,6750.13,18305.47,127929.3,9075.79,46961.95,1669.8,348.54,,731.65,821.17,222.36,2143.18,7685.5,1636.52,1798.47,2362.8,350.78,2410.86,2229.17,862.79,327.4,1365.45,7940.18,10457.03,2073.67,3324.93,62.13,71.16,1310.22,1725.57,98.37,774.29,135.74,5227.23,4615.34,10.35,21.45,1447.33,2746.68,17.53,5382.07,,157.75,467.22,4561.34,2333.18,95.87,8076.73,132.84,6.29
201604,2016,04,,64.62,1615.7,3354.74,92.44,5.74,12340.48,99.99,51.42,17391.49,8476.34,,3435.68,1108.09,8612.65,61.41,30.65,8784.97,5430.26,73.41,1201.24,1376.92,938.51,66417.5,,3696.61,4788.78,,155.63,2277.17,758.44,52.22,258.79,2433.98,38.12,1976.92,11799.11,1253.21,6566.87,18305.47,126731.9,8602.33,48162.77,1729.49,372.87,,731.65,821.17,258.09,2143.18,8150.12,1580.2,2020.68,2362.8,351.55,2380.72,2877.44,862.79,285.54,1365.45,10618.04,10457.03,1828.08,3324.93,66.7,148.81,1310.22,1874.33,109.95,774.29,135.74,4984.24,4719.45,9.41,20.66,1564.95,2692.24,16.88,5432.69,,157.75,467.22,4561.34,2173.87,95.87,7395.42,133.37,6.29
201605,2016,05,,64.62,1615.7,3690.03,92.44,5.32,12542.9,97.61,58.68,16681.63,8533.72,,3435.68,1147.46,8671.18,134.84,50.44,9254.39,5571.77,86.37,1195.11,1265.28,944.61,61278.86,,3576.63,5056.47,,209.51,2229.57,763.56,56.96,258.79,2433.98,42.89,2175.02,12329.88,1277.01,6780.68,18305.47,132803.4,8769.86,52960.91,1815.46,214.29,,731.65,821.17,246.74,2143.18,8382.42,1660.91,2200.46,2362.8,350.32,2377.7,2980.57,862.79,319.87,1365.45,9279.11,10457.03,2115.52,3324.93,76.75,112.99,1310.22,2036.81,106.48,774.29,135.74,5073.25,5205.28,6.21,19.07,1467.78,2700.62,17.74,5820.74,,157.75,467.22,4561.34,2307.45,95.87,7820.52,136.27,6.29
201606,2016,06,,64.62,1615.7,3618.57,109.68,3.78,13015.19,95.23,60.5,15261.92,8319.85,,3435.68,1176.72,8651.67,80.97,52.38,9889.41,5847.34,73.41,1152.21,1135.03,863.73,59897.81,,3639.48,4625.19,,171.03,2135.87,763.56,75.95,258.79,2433.98,42.45,2088.35,11785.92,1269.08,6284.34,18305.47,127555.1,9185.05,51321.04,1840.75,177.53,,731.65,821.17,386.59,2143.18,8730.89,1614.18,2234.17,2362.8,206.5,2304.74,3421.05,862.79,423.56,1365.45,10898.29,10457.03,2138.51,3324.93,82.24,130.12,1310.22,1975.02,106.48,774.29,135.74,5128.88,4962.36,10.53,17.48,1677.47,2717.37,26.57,5010.89,,157.75,467.22,4561.34,2384.63,95.87,7337.2,137.72,6.29
201607,2016,07,,64.62,1615.7,3839.45,134.75,7.01,13885.58,116.76,65.94,17184.45,8648.48,,3435.68,762.07,8905.27,99.38,75.66,10669.07,6310.86,103.64,1320.75,1032.73,946.14,62692.02,,4827.87,5108.52,,282.19,2235.52,763.56,85.44,258.79,2433.98,51.98,2302.96,9614.04,1356.83,7040.3,18305.47,132666.3,9541.96,53865.06,1941.44,177.53,,731.65,821.17,510.56,2143.18,9456.84,1771.35,2291.45,2362.8,253.77,2339.63,4140.5,862.79,445.19,1365.45,13794.12,10457.03,2414.45,3324.93,129.75,140.36,1310.22,1940.69,144.67,774.29,135.74,5384.76,5135.87,15.61,19.07,2056.81,2939.28,28.46,4842.18,,157.75,467.22,4561.34,2566.69,95.87,7808.87,142.07,6.29
201608,2016,08,,64.62,1615.7,3410.68,134.75,7.01,12515.91,146.58,100.43,15557.7,8854.51,,3435.68,843.32,8905.27,100.51,56.26,9007.16,6132.58,112.6,1530.58,1051.34,969.03,65614.56,,4966.12,4915.19,,420.73,2083.81,763.56,78.32,258.79,2433.98,41.15,2414.4,9601.41,1793.24,7467.91,18305.47,123164.4,9563.81,49345.9,1744.26,203.05,,731.65,821.17,440.9,2143.18,9408.45,2081.45,2168.93,2362.8,253.77,2389.9,3631.15,862.79,417.86,1365.45,15257.6,10457.03,2264.98,3324.93,100.51,137.83,1310.22,1881.19,138.88,774.29,135.74,5985.54,5309.38,12.04,23.04,2153.18,2755.05,24.67,4808.43,,157.75,467.22,4561.34,2945.35,95.87,8047.62,137.72,6.29
201609,2016,09,,64.62,1615.7,3599.08,134.75,6.03,12853.27,245.03,96.8,15616.85,8932.76,,3435.68,890.94,8905.27,91.39,54.32,9643.2,5847.34,95.28,1419.35,1218.81,1013.28,71877.38,,4447.67,5019.29,,413.89,2073.4,763.56,73.58,258.79,2433.98,47.65,2108.99,9319.05,1777.58,7826.8,18305.47,124176.3,9549.24,48831.77,1828.49,169.54,,731.65,821.17,484.4,2143.18,8856.72,2289.59,1935.93,2362.8,290.25,2393.08,4205.64,862.79,440.64,1365.45,15413.29,10457.03,2173,3324.93,97.77,159.61,1310.22,1796.52,127.31,774.29,135.74,5785.28,5326.73,14.67,22.25,2452.4,2625.25,22.77,4757.82,,157.75,467.22,4561.34,3310.53,95.87,8185.16,131.92,6.29
201610,2016,10,,64.62,1615.7,3475.65,134.75,5.88,12940.98,277.87,93.73,13516.86,8014.71,,3435.68,815.57,8905.27,118.8,48.5,10012.51,5348.18,112.93,1343.07,1352.19,752.33,74093.44,,4476.37,4684.67,,550.71,2009.95,763.56,80.7,258.79,2433.98,69.31,1939.77,9594.67,1845.48,7284.65,18305.47,126464.1,7932.21,45824.53,1846.4,169.54,,731.65,821.17,466.76,2143.18,8653.45,2476.5,1866.26,2362.8,282.74,2222,3786.75,862.79,441.77,1365.45,17125.88,10457.03,1897.07,3324.93,87.72,144.41,1310.22,1922.39,133.09,774.29,135.74,5618.4,3834.55,10.91,20.66,2493.47,2415.9,20.87,4977.15,,157.75,467.22,4561.34,3246.75,95.87,7882.01,121.47,6.29
201611,2016,11,,64.62,1615.7,3326.23,134.75,7.01,14119.39,166.72,87.64,13901.36,7837.36,,3435.68,854.62,8905.27,164.67,50.44,10217.68,5294.7,91.21,1217.06,1492.08,755.38,78397.06,,5176.52,5425.26,,657.23,1863.82,763.56,78.32,258.79,2433.98,75.81,1865.48,9993.51,1757.98,7322.83,18305.47,135527.9,8551.34,44683.96,2053.24,167.57,,731.65,821.17,402.99,2143.18,8827.68,2408.53,1741.1,2362.8,286.17,2206.13,3233.48,862.79,447.47,1365.45,18277.98,10457.03,1851.08,3324.93,87.72,133.2,1310.22,1981.89,150.45,774.29,135.74,5284.63,3903.96,11.29,19.86,2516.94,2562.45,18.98,5314.58,1201.57,157.75,467.22,4561.34,3165.63,95.87,7934.48,113.47,6.29
201612,2016,12,,64.62,1615.7,3527.62,134.75,7.71,14851.37,171.77,94.95,14906.99,7944.29,,3435.68,821.32,8905.27,247.02,52.38,10361.31,5692.98,73.84,1309.91,1585.33,647.04,80484.69,,5325.73,6342.3,,663.41,2026.35,763.56,78.32,258.79,2433.98,86.64,1956.28,11329.43,1956.84,7727.53,18305.47,142007.1,8434.8,45783.73,2330.7,205.02,,731.65,821.17,301.35,2143.18,9311.65,2586.94,1756.34,2362.8,323.99,2193.99,3561.03,862.79,452.02,1365.45,18340.26,10457.03,2046.53,3324.93,74.93,124.23,1310.22,2187.86,162.03,774.29,135.74,5718.53,3973.36,8.68,20.66,2534.54,3043.95,25.27,6073.81,1212.97,157.75,467.22,4561.34,3206.8,95.87,8523.3,113.47,6.29
201701,2017,01,,64.62,1615.7,3326.23,134.75,7.57,15188.24,171.77,92.51,14788.68,7459.18,,3435.68,828.19,8905.27,402.6,65.96,10279.24,5692.98,73.94,1296.65,1398.82,782.85,85559.13,,6433.34,6822.96,,663.41,1889.17,763.56,78.32,258.79,2433.98,80.14,1939.77,11121.91,1813.66,7445,18305.47,140714.8,8303.69,51143.84,2224.76,157.71,,731.65,821.17,340.85,2143.18,8692.16,2633.67,1833.03,2362.8,303.82,2350.14,3577.83,862.79,483.9,1365.45,20737.89,10457.03,1954.55,3324.93,82.24,150.94,1310.22,2176.42,254.61,774.29,135.74,5562.77,3799.85,12.21,20.66,2211.85,3157,24.19,6495.61,1201.57,157.75,467.22,4561.34,3162.2,95.87,8214.32,109.1,6.29
201702,2017,02,,64.62,1615.7,3488.64,134.75,6.31,16209.74,164.2,88.86,14433.75,7339.21,,3435.68,902.23,8905.27,338.63,112.02,10504.93,5837.11,74.16,1323.18,1314.89,889.67,80292,,7012.97,6869.86,,667.53,1851.89,763.56,85.44,258.79,2433.98,73.64,2170.9,12237.34,1956.84,7826.8,18305.47,141852,9221.46,53675.99,2108.73,153.77,,731.65,821.17,386.95,2143.18,9137.42,2986.24,1697.4,2362.8,281.12,2000.04,3628.22,862.79,495.29,1365.45,20644.47,10457.03,2173,3324.93,84.98,184.71,1310.22,2043.68,260.4,774.29,135.74,5729.66,3903.96,15.4,23.02,2141.45,2838.79,20.97,6191.91,1254.8,157.75,467.22,4561.34,3067.28,95.87,8878.92,106.19,6.29
