ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A1G,African Gold Limited ,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , ,"6,026,438.00","6,154,517.00","6,500,009.00","11,934,610.00", 
A1M,AIC Mines Limited,Annual Balance Sheet - Total Assets,"10,890,393.00","11,161,109.00","14,940,651.00","25,244.00","16,466,014.00","48,977,000.00","61,944,000.00","90,617,000.00","57,354,000.00","61,839,000.00","198,373,511.00","171,225,876.00","106,744,029.00","100,557,666.00","119,192,879.00","85,605,000.00","56,218,000.00","24,591,000.00","18,225,000.00","11,906,000.00","9,935,000.00","94,369,000.00", 
A200,BetaShares Australia 200 ETF,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , ,"49,454,000.00","533,091,000.00","816,915,000.00","1,492,947,000.00", 
A2B,A2B Australia Limited,Annual Balance Sheet - Total Assets,"102,940,984.00","110,408,761.00","137,796,790.00","145,768,832.00","158,404,000.00","166,536,000.00","228,794,000.00","310,188,000.00","377,694,000.00","418,905,000.00","448,866,000.00","478,954,000.00","520,705,000.00","573,136,000.00","560,334,000.00","556,802,000.00","530,610,000.00","216,597,000.00","204,693,000.00","214,908,000.00","190,666,000.00","177,989,000.00","178,073,000.00"
A2M,The a2 Milk Company Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , ,"78,685,142.00","200,354,657.00","327,552,380.00","662,733,192.00","949,598,547.00","1,357,859,478.00","1,276,883,201.00","1,547,485,569.00"
A3D,Aurora Labs Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , ,"3,778,884.00", ,"7,774,821.00","7,238,841.00","8,024,947.00","5,040,824.00","2,911,788.00","3,347,961.00"
A40,Alita Resources Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , ,"299,572,000.00", , , , 
A4N,Alpha HPA Limited,Annual Balance Sheet - Total Assets, , , , , , , , ,"5,283,727.00","5,253,582.00","7,191,131.00","14,720,431.00","6,271,159.00","6,747,501.00","10,809,341.00","9,602,134.00","10,063,500.00","9,585,392.00","11,081,546.00","4,741,457.00","11,023,812.00","51,970,442.00","54,561,776.00"
A8G,Australasian Metals Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , ,"6,421,460.00","6,155,261.00", 
AAA,BetaShares Australian High Interest Cash ETF,Annual Balance Sheet - Total Assets, , , , , , , , , , , , ,"34,670,000.00", , ,"706,758,000.00","890,988,000.00","1,246,230,000.00","1,311,231,000.00","1,509,333,000.00","1,969,310,000.00","2,119,250,000.00", 
AAB,Absolute Return Fund (The),Annual Balance Sheet - Total Assets, , , ,"6,517,961.00","42,480,000.00", , , , , , , , , , , , , , , , , , 
AAC,Australian Agricultural Company Limited,Annual Balance Sheet - Total Assets,--,"290,164,000.00","330,686,000.00","491,485,000.00","784,979,000.00","945,158,000.00","1,089,066,000.00","1,298,100,000.00","1,342,316,000.00","1,082,129,000.00","1,072,727,000.00","1,164,926,000.00","1,167,470,000.00","1,100,120,000.00","1,100,069,000.00","1,214,091,000.00","1,383,119,000.00","1,545,655,000.00","1,455,297,000.00","1,286,576,000.00","1,435,542,000.00","1,585,564,000.00","2,054,891,000.00"
AAG,Aragon Resources Limited,Annual Balance Sheet - Total Assets, , , , , , , , ,"10,178,962.00","9,036,014.00","31,650,261.00", , , , , , , , , , , , 
