ASX Code,Company Name
CRD2,Credible Labs Inc
CRE,Crescent Gold Limited
CRED,BetaShares Australian Investment Grade Corporate Bond ETF
CRG,Crane Group Limited
CRH,Crowe Horwath Australasia Ltd
CRL,Comet Resources Limited
CRM,Carbon Minerals Limited
CRN,Coronado Global Resources Inc
CRR,Critical Resources Limited
CRS,Caprice Resources Limited
CRT,Consolidated Rutile Limited
CRW,Cashrewards Limited
CSD,Consolidated Tin Mines Limited
CSE,Copper Strike Ltd
CSF,Catalano Seafood Ltd
CSJ,Credit Suisse GP100 - Australia Trust
CSK,CrowdSpark Ltd
CSL,CSL Limited
CSR,CSR Limited
CSS,Clean Seas Seafood Limited
CST,Castile Resources Ltd
CST2,Cellestis Limited
CSU,Credit Suisse PL100 Emerging Markets Infrastructure Development Trust
CSV,CSG Limited
CSW,Credit Suisse PL100 World Water Trust
CSX,CleanSpace Holdings Limited
CT1,Constellation Technologies Limited
CTD,Corporate Travel Management Limited
CTE,Cryosite Limited
CTL,Centennial Mining Limited
CTM,Centaurus Metals Limited
CTO,Citigold Corporation Limited
CTP,Central Petroleum Limited
CTQ,Careteq Limited
CTT,Cettire Limited
CTV,Colortv Limited
CTY,Country Road Limited
CU6,Clarity Pharmaceuticals Ltd
CUA,Centuria Urban REIT
CUE,Cue Energy Resources Limited
CUF,CuFe Ltd
CUL,Cullen Resources Limited
CUO,Copperco Limited
CUP,Countplus Limited
CUR,Centaurus Resources Limited
CURE,Global X S&P Biotech ETF
CUS,Copper Search Limited
CUS1,Customers Limited
CUV,Clinuvel Pharmaceuticals Limited
CUY,Curnamona Energy Limited
CV1,CV Check Ltd
CVA,Clever Communications Australia Limited
CVB,Cheviot Bridge Limited
CVC,CVC Limited
CVF,Contrarian Value Fund Limited
CVI,CVI Energy Corporation Limited
CVL,Civmec Limited
CVN,Carnarvon Energy Limited
CVO,Cover-More Group Limited
CVR,Cavalier Resources Limited
CVR2,Central Asia Resources Limited
CVV,Caravel Minerals Limited
CVW,Clearview Wealth Limited
CVY,Coventry Resources Limited
CWC,China Waste Corporation Limited
CWC1,Chew Corporation Limited 
CWH,CWH Resources Ltd
CWK,Coalworks Limited
CWL,Consolidated Financial Holdings Limited
CWN,Crown Resorts Limited
CWP,Cedar Woods Properties Limited
CWT,Challenger Wine Trust
CWX,Carawine Resources Limited
CWY,Cleanaway Waste Management Limited
CXC,Coeur D'Alene Mines Corporation
CXD,CathRx Ltd
CXH,Compass Hotel Group
CXL,Calix Limited
CXM,Centrex Limited
CXO,Core Lithium Ltd
CXP,Corporate Express Australia Limited
CXS,ChemGenex Pharmaceuticals Ltd
CXU,Cauldron Energy Limited
CXX,Cradle Resources Limited
CXZ,Connexion Telematics Ltd
CY5,Cygnus Gold Limited
CYA,Century Australia Investments Limited
CYC,Cyclopharm Limited
CYG,Coventry Group Limited
CYL,Catalyst Metals Limited
CYM,Cyprium Metals Limited
CYO,Clarity Oss Limited
CYP,Cynata Therapeutics Limited
CYQ,Cycliq Group Ltd
CYT,Cytopia Limited
CZI,Cassini Resources Limited
CZL,Consolidated Zinc Limited
CZN,Corazon Mining Limited
CZR,CZR Resources Ltd
CZZ,Capilano Honey Limited
D13,Delaware Thirteen Ltd
D2O,Duxton Water Limited
DAF,Discovery Alaska Limited
DAL,Dalaroo Metals Ltd
DBBF,BetaShares Ethical Diversified Balanced ETF
DBF,Duxton Farms Ltd
DBI,Dalrymple Bay Infrastructure Limited
DBO,Diablo Resources Limited
DBS,Dark Blue Sea Limited
DC2,DC Two Limited
DCC,DigitalX Limited
DCG,Decmil Group Limited
DCL,DomaCom Limited
DCN,Dacian Gold Limited
DCX,DiscovEx Resources Limited
DDB,Dynamic Group Holdings Limited
DDD,3D Resources Limited
DDH,DDH1 Limited
DDR,Dicker Data Limited
DDT,DataDot Technology Limited
DEG,De Grey Mining Limited
DEL,Delorean Corporation Limited
DEM,De.mem Limited
DES,Destra Corporation Limited
DET,Dealt Limited
DEV,DevEx Resources Limited
DEX,Duke Exploration Limited
DEX1,Dexion Limited
DFM,Dongfang Modern Agriculture Holding Group Limited
DGA,Digga Australian Mining Fund
DGGF,BetaShares Ethical Diversified Growth ETF
DGH,Desane Group Holdings Limited
DGL,DGL Group Limited
DGO,DGO Gold Limited
DGR,DGR Global Limited
DGX,Diploma Group Limited
DHG,Domain Holdings Australia Limited
DHHF,BetaShares Diversified All Growth ETF
DIG,Asia Pacific Digital Limited
DIO,Dioro Exploration NL
DIR,Direct Nickel Limited
DIV,UBS IQ Morningstar Australia Dividend Yield ETF
DJRE,SPDR Dow Jones Global Real Estate ESG Fund
DJS,David Jones Limited
DJW,Djerriwarrh Investments Limited
DKM,Duketon Mining Limited
DKN,DKN Financial Group Limited
DKS,Danks Holdings Limited
DLM,Dominion Minerals Limited
DLS,Drillsearch Energy Limited
DLT,Delta Drone International Limited
DLX,DuluxGroup Limited
DM1,Desert Metals Limited
DMA,Dynasty Resources Limited
DMC,Design Milk Co Limited
DME,Dome Gold Mines Limited
DMG,Dragon Mountain Gold Limited
DMKT,AMP Capital Dynamic Markets Fund (Hedge Fund)
DML,Discovery Metals Limited
DMM,DMC Mining Limited
DMM1,DMC Mining Limited1
DMP,Domino's Pizza Enterprises Limited
DMX,DMX Corporation Limited
DN8,Dreamscape Networks Limited
DNA,Donaco International Limited
DNK,Danakali Limited
DOC,Doctor Care Anywhere Group PLC
DOM,Dominion Mining Limited
DOR,Doriemus PLC
DOU,Douugh Limited
DOW,Downer EDI Limited
DRA,DRA Global Limited
DRA1,Dragon Mining Limited
DRE,Dreadnought Resources Ltd
DRM,Demetallica Limited
DRM2,Doray Minerals Limited
DRO,DroneShield Limited
DRR,Deterra Royalties Limited
DRUG,Betashares Global Healthcare ETF - Currency Hedged
DRX,Diatreme Resources Limited
DSB,Delta SBD Limited
DSE,Dropsuite Limited
DSH,DSHE Holdings Limited
DSK,Dusk Group Limited
DSQ,DSQ Holdings Limited
DSX,Decimal Software Limited
DTC,Damstra Holdings Limited
DTE,Dart Energy Limited
DTI,DTI Group Limited
DTL,Data3 Limited
DTM,Dart Mining NL
DTO,D2 Marketing Ltd
DTR,Dateline Resources Limited 
DTS,Dragontail Systems Limited
DTZ,Dotz Nano Limited
DUB,Dubber Corporation Limited
DUE,DUET Group
DUG,DUG Technology Ltd
DUI,Diversified United Investment Limited
DUN,Dundas Minerals Limited
DUR,Duratec Limited
DVA,Diversa Limited
DVDY,VanEck Morningstar Australian Moat Income ETF
DVL,Dorsavi Ltd
DVN,Devine Limited
DVP,Develop Global Limited
DVR,Diverger Limited
DW8,DW8 Limited
DWS,DWS Limited
DXB,Dimerix Limited
DXC,Dexus Convenience Retail REIT
DXF,Ding Sheng Xin Finance Co. Limited
DXI,Dexus Industria REIT
DXN,DXN Limited
DXS,Dexus
DYL,Deep Yellow Limited
DZZF,BetaShares Ethical Diversified High Growth ETF
E200,SPDR S&P/ASX 200 ESG Fund
E25,Element 25 Limited
E2M,E2 Metals Limited
E33,East 33 Limited
E3S,E3Sixty Limited
E79,E79 Gold Mines Limited
E88,Ensogo Limited
EAF,Evans & Partners Asia Fund
EAI,Ellerston Asian Investment Limited
EAL,E&A Limited
EAR,Echo Resources Limited
EAU,Eldorado Gold Corporation
EAX,Energy Action Limited
EBG,Eumundi Group Limited
EBND,VanEck Emerging Income Opportunities Active ETF (Managed Fund)
EBO,EBOS Group Limited
EBR,EBR Systems Inc
ECF,Elanor Commercial Property Fund
ECG,Ecargo Holdings Limited
ECL,Excelsior Capital Ltd
ECO,Echoice Limited
ECP,ECP Emerging Growth Limited
ECS,ECS Botanics Holdings Ltd 
ECT,Environmental Clean Technologies Limited
ECV,Ecosave Holdings Limited
ECX,Eclipx Group Limited
EDC,Eildon Capital Group
EDE,Eden Innovations Ltd
EDT,EDT Retail Trust
EDU,EDU Holdings Limited
EDV,Endeavour Group Limited
EEG,Empire Energy Group Limited
EEL,ENRG Elements Ltd
EER,East Energy Resources Limited
EEU,BetaShares Euro ETF
EFE,Eastern Resources Limited
EFF,Evans & Partners Australian Flagship Fund
EFG,Everest Financial Group Limited
EFT,Eftel Limited
EGA,Egan Street Resources Limited
EGD,Evans & Partners Global Disruption Fund
EGF,Evans & Partners Global Flagship Fund
EGF1,Ellerston Gems Fund
EGG,Enero Group Limited
EGH,Eureka Group Holdings Limited
EGI,Ellerston Global Investments Limited
EGL,The Environmental Group Limited
EGN,Engenco Limited
EGO,Empire Oil & Gas NL
EGR,EcoGraf Limited
EGY,Energy Technologies Limited
EHE,Estia Health Limited
EHH,Eagle Health Holdings Limited
EHL,Emeco Holdings Limited
EIGA,Einvest Income Generator Fund (Managed Fund)
EIM,El Corporation Limited
EINC,Betashares Legg Mason Equity Income Fund (Managed Fund)
EIQ,Echo IQ Limited
EKA,Eureka Energy Limited
EL8,Elevate Uranium Ltd
ELD,Elders Limited
ELE,Elmore Ltd
ELI,Emerging Leaders Investment Limited
ELK,ELK Petroleum Limited
ELO,ELMO Software Limited
ELR,Elsmore Resources Ltd
ELS,Elsight Limited
ELT,Elementos Limited
EM1,Emerge Gaming Limited
EM2,Eagle Mountain Mining Limited
EMB,Embelton Limited
EMD,Emyria Limited
EME,Energy Metals Limited
EMH,European Metals Holdings Limited
EMH1,Emu Hill Gold Mines N.L. 
EMKT,VanEck MSCI Multifactor Emerging Markets Equity ETF
EML,EML Payments Limited
EMM,Electrometals Technologies Limited
EMMG,BetaShares Legg Mason Emerging Markets Fund (managed fund)
EMN,Euro Manganese Inc
EMO,EnterMo Limited
EMP,Emperor Energy Limited
EMR,Emerald Resources NL
EMS,Eastern Metals Limited
EMT,eMetals Limited
EMU,Emu NL
EMV,EMvision Medical Devices Limited
ENA,Ensurance Ltd
ENB,Eneabba Gas Limited
ENC,Enice Holding Company Limited
ENE1,Energy Developments Limited
ENG,Engin Limited
ENK,ENK PLC
ENN,Elanor Investor Group
ENR,Encounter Resources Limited
ENT,Enterprise Metals Limited
ENV,eNova Mining Limited
ENV1,Envestra Limited
ENX,Enegex Limited
EOC,Endocoal Limited
EOF,Ecofibre Limited
EOL,Energy One Limited
EON,Espreon Limited
EOR,EOR Group Limited
EOS,Electro Optic Systems Holdings Limited
EP1,E&P Financial Group Limited
EPA,Ephraim Resources Limited
EPD,Empired Ltd
EPF,Esplanade Property Fund
EPL,Eyecare Partners Limited
EPM,Eclipse Metals Ltd
EPN,Epsilon Healthcare Limited
EPW,ERM Power Limited
EPX,EP&T Global Limited
EPX1,Ethane Pipeline Income Fund
EPY,Earlypay Ltd
EPY1,E-pay Asia Limited
EQE,Equus Mining Limited
EQN,Equinox Resources Limited
EQN1,Equinox Minerals Limited
EQR,EQ Resources Limited
EQS,Equity Story Group Ltd
EQT,EQT Holdings Limited
EQX,Equatorial Resources Limited
ERA,Energy Resources of Australia Limited
ERC,eircom Holdings Limited
ERD,EROAD Limited
ERF,Elanor Retail Property Fund
ERG,Eneco Refresh Ltd
ERL,Empire Resources Limited
ERM,Emmerson Resources Limited
ERTH,BetaShares Climate Change Innovation ETF
ERW,Errawarra Resources Ltd
ERX,Exore Resources Ltd
ESE,Esense-Lab Ltd
ESG,Eastern Star Gas Limited
ESGI,VanEck MSCI International Sustainable Equity ETF
ESK,Etherstack PLC
ESL,Eco Systems Ltd
ESPO,VanEck Video Gaming and Esports ETF
ESR,Estrella Resources Limited
ESS,Essential Metals Limited
ESS1,Essa Australia Limited
ESTX,Global X EURO STOXX 50 ETF
ETF,UBS IQ Morningstar Australia Quality ETF
ETHI,Betashares Global Sustainability Leaders ETF
ETPMAG,ETFS Physical Silver
EUR,European Lithium Limited
EUZ,Europa Metals Ltd
EV1,Evolution Energy Minerals Limited
EVE,EVE Health Group Limited
EVM,EnviroMission Limited
EVN,Evolution Mining Limited
EVO,Evolve Education Group Limited
EVR,EV Resources Limited
EVR1,Endeavour Mining Corporation
EVS,EnviroSuite Limited
EVT,Event Hospitality and Entertainment Ltd
EVZ,EVZ Limited
EWC,Energy World Corporation Ltd
EWE,East West Energy Limited
EX1,Exopharm Limited
EX20,Betashares Australian Ex-20 Portfolio Diversifier ETF
EXC,Exterra Resources Limited
EXG,Excelsior Gold Limited
EXL,Elixinol Wellness Limited
EXO,Ennox Group Ltd
EXP,Experience Co Limited
EXR,Elixir Energy Limited
EXS,Exco Resources Limited
EXT,Extract Resources Ltd
EXU,Explaurum Limited
EYE,Nova Eye Medical Limited
EZL,Euroz Hartleys Group Limited
EZZ,EZZ Life Science Holdings Limited
F100,BetaShares FTSE 100 ETF
FAC,Facilitate Digital Holdings Limited
FAIR,BetaShares Australian Sustainability Leaders ETF
FAL,Falcon Metals Ltd
FAN,Fantastic Holdings Limited
FANG,Global X FANG+ ETF
FAR,Far Limited
FAS,Fairstar Resources Limited
FAU,First Au Limited
FBR,FBR Ltd
FBU,Fletcher Building Limited
FCC,First Cobalt Corp.
FCG,Frontier Capital Group Limited
FCL,FINEOS Corporation Holdings PLC
FCT,Firstwave Cloud Technology Limited
FDM,Freedom Oil and Gas Ltd
FDR,Finder Energy Holdings Limited
FDV,Frontier Digital Ventures Limited
FDX,Frontier Diamonds Limited
FE8,Faster Enterprises Ltd
FEA,Forest Enterprises Australia Limited
FEG,Far East Gold Ltd
FEI,FE Investments Group Limited
FEMX,Fidelity Global Emerging Markets Fund (Managed Fund)
FEX,Fenix Resources Ltd
FFC,Farmaforce Limited
FFF,Forbidden Foods Limited
FFG,Fatfish Group Limited
FFI,FFI Holdings Limited
FFR,Firefly Resources Limited
FFT,Future First Technologies Ltd
FFX,Firefinch Limited
FG1,Flynn Gold Limited
FGE,Forge Group Limited
FGF,First Growth Funds Limited
FGG,Future Generation Global Investment Company Ltd
FGI,Flat Glass Industries Limited
FGL,Frugl Group Limited
FGL1,Foster's Group Limited
FGR,First Graphene Limited
FGX,Future Generation Investment Company Limited
FHE,Frontier Energy Limited
FHS,Freehill Mining Limited
FID,Fiducian Group Limited
FIG,Freedom Insurance Group Ltd
FIJ,Fiji Kava Limited
FIN,Fin Resources Limited
FIT,Fitgenes Limited
FIT1,Flinders Industrial Property Trust 
FLC,Fluence Corporation Limited
FLK,Folkestone Limited
FLN,Freelancer Limited
FLOT,VanEck Australian Floating Rate ETF
FLR,Frankland River Olive Company Limited
FLT,Flight Centre Travel Group Limited
FLX,Felix Group Holdings Ltd
FLX1,Felix Resources Limited
FME,Future Metals NL
FMG,Fortescue Metals Group Ltd
FML,Focus Minerals Limited
FMS,Flinders Mines Limited
FND,Findi Limited
FND1,Finders Resources Limited
FNX,Finexia Financial Group Limited
FOD,The Food Revolution Group Limited
FOOD,Betashares Global Agriculture ETF - Currency Hedged
FOR,Forager Australian Shares Fund
FOS,FOS Capital Ltd
FOX,"Twenty-First Century Fox, Inc."
FPA,Fisher & Paykel Appliances Holdings Limited
FPC,Fat Prophets Global Contrarian Fund Limited
FPH,Fisher & Paykel Healthcare Corporation Limited
FPP,Fat Prophets Global Property Fund
FRB,Firebird Metals Limited
FRE,Firebrick Pharma Limited
FRI,Finbar Group Limited
FRM,Farm Pride Foods Limited
FRS,Forrestania Resources Limited
FRS1,FerrAus Limited
FRX,Flexiroam Limited
FSA,FSA Group Limited
FSE,Firestone Energy Limited
FSF,Fonterra Shareholders' Fund
FSG,Field Solutions Holdings Limited
FSI,Flagship Investments Limited
FSN,Fusion Resources Limited
FST,Folkestone Social Infrastructure Fund
FST1,First Australian Building Society Limited 
FTC,FinTech Chain Limited
FTE,Forte Energy NL
FTH,Fifth Element Resources Limited
FTL,Firetail Resources Limited
FTZ,Fertoz Limited
FUEL,Betashares Global Energy Companies ETF-Currency Hedged
FUL,Fulcrum Equity Limited
FWD,Fleetwood Limited
FXG,Felix Gold Limited
FXJ,Fairfax Media Limited
FXR,Fox Resources Limited
FYA,Fortune Asia Group Ltd
FYI,FYI Resources Limited
FZO,Family Zone Cyber Safety Limited
FZR,Fitzroy River Corporation Ltd
G1A,Galena Mining Limited
G50,Gold 50 Limited
G6M,Group 6 Metals Limited
G79,Goldoz Limited
G88,Golden Mile Resources Ltd
GAL,Galileo Mining Ltd
GAP,Gale Pacific Limited
GAS,State Gas Limited
GAU,Great Australian Resources Limited
GBA,Grandbridge Limited
GBE,Globe Metals & Mining Limited
GBG,Gindalbie Metals Ltd
GBI,Genera Biosystems Limited
GBM,GBM Gold Ltd
GBND,BetaShares Sustainability Leaders Dvrsfd Bond ETF - Cur Hdg
GBP,Global Petroleum Limited
GBR,Great Boulder Resources Limited
GBT,GBST Holdings Limited
GBZ,GBM Resources Limited
GC1,Glennon Small Companies Limited
GCG,Greencap Limited
GCI,Gryphon Capital Income Trust
GCL,Gloucester Coal Ltd
GCM,Garda Capital Group
GCN,GoConnect Limited
GCR,Golden Cross Resources Limited
GCX,GCX Metals Limited
GCY,Gascoyne Resources Limited
GDA,Good Drinks Australia Ltd
GDA1,Gondwana Resources Limited
GDC,Global Data Centre Group
GDF,Garda Diversified Property Fund
GDG,Generation Development Group Limited
GDI,GDI Property Group
GDO,Gold One International Limited
GDX,VanEck Gold Miners ETF
GEAR,Betashares Geared Australian Equity Fund
GED,Golden Deeps Limited
GEG,Grays eCommerce Group Limited
GEM,G8 Education Limited
GEN,Genmin Limited
GEN2,Genesis Research & Development Corporation Limited
GES,Genesis Resources Limited
GFF,Goodman Fielder Limited
GFI,Global Fortune Investment Limited
GFL,Global Masters Fund Limited
GFN,Gefen International A.I Ltd
GFS,Gasfields Limited
GFY,Godfreys Group Limited
GGB,GGG Resources Plc
GGE,Grand Gulf Energy Limited
GGG,Greenland Minerals Limited
GGOV,BetaShares Global Government Bond 20+ Year ETF - Currency Hedged
GGUS,BetaShares Geared U.S. Equity Fund-Currency Hedged (hedge fund)
GGX,Gas2Grid Limited
GHC,Generation Healthcare REIT
GHT,Geothermal Resources Limited
GIA,Giaconda Limited
GIB,Gibb River Diamonds Limited
GID,"GI Dynamics, Inc"
GIR,Giralia Resources NL
GJT,Galileo Japan Trust
GL1,Global Lithium Resources Limited
GLA,Gladiator Resources Limited
GLB,Globe International Limited
GLE,GLG Corp Limited
GLG,Gerard Lighting Group Limited
GLH,Global Health Limited
GLIN,AMP Capital Global Infrastructure Securities Fund (Unhedged)
GLL,Galilee Energy Limited
GLN,Galan Lithium Limited
GLV,Global Oil and Gas Limited
GLY,Glory Resources Limited
GMA,Genworth Mortgage Insurance Australia Limited
GMC,Gulf Manganese Corporation Limited
GMD,Genesis Minerals Limited
GME,GME Resources Limited
GMF,GPT Metro Office Fund
GMG,Goodman Group
GMI,Global Mining Investments Limited
GML,Gateway Mining Limited
GMM,General Mining Corporation Limited
GMN,Gold Mountain Limited
GMR,Golden Rim Resources Limited
GMV,G Medical Innovations Holdings Limited
GNB,Greenbox Group Limited
GNC,Graincorp Limited
GNE,Genesis Energy Limited
GNG,GR Engineering Services Limited
GNM,Great Northern Minerals Limited
GNP,GenusPlus Group Ltd
GNS,Gunns Limited
GNV,Green Invest Limited
GNX,Genex Power Limited
GO2,The GO2 People Ltd
GOAT,VanEck Morningstar International Wide Moat ETF
GOE,GO energy Group Limited
GOLD,ETFS Physical Gold
GOO,Gooroo Ventures Limited
GOP,Gippsland Offshore Petroleum Limited
GOR,Gold Road Resources Limited
GOVT,SPDR S&P/ASX Australian Government Bond Fund
GOW,Gowing Brothers Ltd
GOZ,Growthpoint Properties Australia
GPR,Geopacific Resources Ltd
GPS,GPS Alliance Holdings Limited
GPT,GPT Group
GQG,GQG Partners Inc.
GRA,Gold Tiger Resources (Australia) Limited 
GRD,GRD Limited
GRE,GreenTech Metals Limited
GRF,Global Resource Masters Fund Limited
GRG,GRG International LTD
GRL,Godolphin Resources Limited
GRNV,VanEck MSCI Australian Sustainable Equity ETF
GROW,Schroder Real Return Fund (Managed Fund)
GRR,Grange Resources Limited
GRV,Greenvale Mining Ltd
GRX,GreenX Metals Limited
GRY,Gryphon Minerals Limited
GSL,Greatcell Solar Limited
GSM,Golden State Mining Limited
GSN,Great Southern Mining Limited
GSR,Greenstone Resources Limited
GSS,Genetic Signatures Limited
GSW,GetSwift Limited
GSZ,Global Strategic Metals N.L.
GT1,Green Technology Metals Limited
GTE,Great Western Exploration Limited
GTG,Genetic Technologies Limited
GTI,Gratifii Limited
GTK,Gentrack Group Limited
GTN,GTN Limited
GTP,Great Southern Limited
GTR,GTI Energy Ltd
GTY,Gateway Lifestyle Group
GUD,GUD Holdings Limited
GUL,Gullewa Limited
GVF,Global Value Fund Limited
GW1,Greenwing Resources Ltd
GWA,GWA Group Limited
GWR,GWR Group Limited
GXL,Greencross Limited
GXY,Galaxy Resources Limited
GZL,Gazal Corporation Limited
HACK,BetaShares Global Cybersecurity ETF 
HAL,Halo Technologies Holdings Ltd
HAO,Haoma Mining NL
HAR,Haranga Resources Limited
HAR2,Haranga Resources Limited1
HAS,Hastings Technology Metals Limited
HAV,Havilah Resources Limited
HAW,Hawthorn Resources Limited
HBRD,Betashares Active Australian Hybrids Fund (Managed Fund)
HCD,Hydrocarbon Dynamics Limited
HCH,Hot Chili Limited
HCT,Holista Colltech Limited
HCW,HealthCo Healthcare and Wellness REIT
HDF,APA Sub Group
HDG,Hodges Resources Limited
HDI,Handini Resources Limited
HDN,HomeCo Daily Needs REIT
HDX,Hughes Drilling Limited
HE8,Helios Energy Ltd
HER,Herald Resources Limited
HETH,BetaShares Global Sustainability Leaders ETF - Currency Hedged
HEUR,Betashares Europe ETF-Currency Hedged 
HFR,Highfield Resources Limited
HFY,Hubify Limited
HGH,Heartland Group Holdings Limited
HGL,Hudson Investment Group Limited
HGO,Hillgrove Resources Limited
HGV,Hygrovest Limited
HHI,Health House International Limited
HHM,Hampton Hill Mining NL
HHR,Hartshead Resources NL
HHY,HHY Fund
HIC,Huntley Investment Company Limited
HIG,Highlands Pacific Limited
HII,Hire Intelligence International Limited
HIL,Hills Limited 
HIN,"HeartWare International, Inc."
HIO,Hawsons Iron Ltd
HIQ,HitIQ Limited
HIT,HiTech Group Australia Limited
HJPN,Betashares Japan ETF-Currency Hedged
HLA,Healthia Limited
HLF,Halo Food Co. Limited
HLO,Helloworld Travel Limited
HLS,Healius Limited
HLTH,VanEck Global Healthcare Leaders ETF
HLX,Helix Resources Limited
HM1,Hearts and Minds Investments Ltd
HMC,Home Consortium
HMC1,Hydromet Corporation Limited
HMD,HeraMED Limited
HMG,Hamelin Gold Limited
HMI,Hiremii Limited
HMI1,Harvest Minerals Ltd
HML,Henry Morgan Limited
HMO,HearMe Out Limited
HMX,Hammer Metals Limited
HMY,Harmoney Corp Limited
HNDQ,BetaShares NASDAQ 100 ETF - Currency Hedged
HNG,Hancock & Gore Ltd
HNR,Hannans Ltd
HOG,Hawkley Oil and Gas Limited
HOR,Horseshoe Metals Limited
HPC,The Hydration Pharmaceuticals Company Limited
HPG,hipages Group Holdings Limited
HPI,Hotel Property Investments
HPP,Health and Plant Protein Group Limited
HPR,High Peak Royalties Limited
HQLT,BetaShares Global Quality Leaders ETF - Currency Hedged
HRE,Heavy Rare Earths Limited
HRL,HRL Holdings Ltd
HRN,Horizon Gold Limited
HRO,Hiro Brands Limited
HRR,Heron Resources Limited
HRS,Hudson Resources Limited
HRZ,Horizon Minerals Limited
HSC,HSC Technology Ltd
HSK,Heemskirk Consolidated Limited
HSN,Hansen Technologies Limited
HSO,Healthscope Limited
HSP,Healthscope Ltd
HST,Hastie Group Limited
HT1,HT&E Limited
HT8,Harris Technology Group Limited
HTA,Hutchison Telecommunications (Australia) Limited
HTG,Harvest Technology Group Ltd
HUB,HUB24 Limited
HUM,Humm Group Limited
HUN,Hunnu Coal Limited
HUO,Huon Aquaculture Group Limited
HVM,Happy Valley Nutrition Limited
HVN,Harvey Norman Holdings Ltd
HVST,Betashares Australian Dividend Harvester Fund 
HVY,Heavy Minerals Limited
HXG,Hexagon Energy Materials Limited
HXL,Hexima Limited
HYD,Hydrix Limited
HYGG,Hyperion Global Growth Companies Fund (Managed Fund)
HYT,Hyterra Ltd
HZL,HZ Lim Limited
HZN,Horizon Oil Limited
HZR,Hazer Group Limited
IAA,iShares Asia 50 ETF
IAB,IAB Holdings Limited
IAF,iShares Core Composite Bond ETF
IAG,Insurance Australia Group Limited
IAM,Income Asset Management Group Limited
IAP,Irongate Group
IAS,International All Sports Limited
IB8,iBosses Corporation Limited
IBC,Ironbark Capital Limited
IBG,Ironbark Zinc Ltd
IBK,iShares MSCI BRIC ETF
IBX,Imagion Biosystems Limited
ICE,iCetana Limited
ICG,Inca Minerals Limited
ICH,Infochoice Limited
ICI,iCandy Interactive Limited
ICL,Iceni Gold Limited
ICL1,International Coal Holdings Limited
ICN,Icon Energy Limited
ICOR,iShares Core Corporate Bond ETF
ICQ,Icar Asia Limited
ICR,InteliCare Holdings Limited
ICS,ICSGlobal Limited
ICT,iCollege Limited
ICT1,Incitec Limited
ICZ,Indus Coal Limited
ID8,identitii Limited
IDA,Indiana Resources Limited
IDC,Indochine Mining Limited
IDE,IDEAS International Limited
IDG,Indago Resources Ltd
IDL,Industrea Limited
IDM,IDM International Ltd
IDO,Indo Mines Limited
IDP,Indopac Holdings Limited
IDT,IDT Australia Limited
IDX,Integral Diagnostics Limited
IEC,Intra Energy Corporation Limited
IEL,IDP Education Limited
IEM,iShares MSCI Emerging Markets ETF
IEQ,International Equities Corporation Limited
IESG,iShares Core MSCI Australia ESG Leaders ETF
IEU,iShares Europe ETF
IFL,Insignia Financial Ltd
IFM,Infomedia Limited
IFN,Infigen Energy
IFRA,VanEck FTSE Global Infrastructure (Hedged) ETF
IFS,IFS Construction Services Ltd
IFT,Infratil Limited
IG6,International Graphite Limited
IGB,Ishares Treasury ETF
IGE,Integrated Green Energy Solutions Ltd
IGG,Ingena Group Limited
IGL,IVE  Group Limited 
IGN,Ignite Limited
IGO,IGO Limited
IGR,Integra Mining Limited
IGS,International Goldfields Limited
IGX,IGDX Holdings Limited
IHCB,iShares Core Global Corporate Bond (AUD Hedged) ETF
IHD,iShares S&P/ASX High Dividend Opportunities ETF
IHEB,iShares JP Morgan USD Emerging Markets Bond (AUD Hedged) ETF 
IHHY,iShares Global High Yield Bond (AUD Hedged) ETF 
IHK,iShares MSCI Hong Kong ETF
IHL,Incannex Healthcare Limited
IHOO,Ishares Global 100 AUD Hedged ETF
IHR,intelliHR Limited
IHVV,iShares S&P AUD Hedged ETF
IHWL,iShares Core MSCI World Ex Australia ESG Leaders (AUD Hedged) ETF
IIF,ING Industrial Fund
IIGF,Intelligent Investor Australian Equity Growth Fund (Managed Fund)
IIN,iiNET Limited
IIND,BetaShares India Quality ETF
IIQ,INOVIQ Ltd
IJH,iShares S&P Mid-Cap ETF
IJP,iShares MSCI Japan ETF
IJR,iShares S&P Small-Cap ETF
IKE,ikeGPS Group Limited
IKO,iShares MSCI South Korea ETF
IKW,Ikwezi Minings Limited
ILA,Island Pharmaceuticals Limited
ILB,Ishares Government Inflation ETF
ILC,iShares S&P/ASX 20 ETF
ILU,Iluka Resources Limited
IMA,Image Resources NL
IMB,Intelligent Monitoring Group Limited
IMC,Immuron Limited
IMD,Imdex Limited
IME,ImExHS Limited
IMI,Infinity Mining Limited
IMM,Immutep Limited
IMPQ,eInvest Better Future (Managed Fund)
IMR,Imricor Medical Systems Inc
IMS,Impelus Limited
IMU,Imugene Limited
INA,Ingenia Communities Group
INCM,BetaShares Global Income Leaders ETF
IND,Industrial Minerals Ltd
IND1,Indus Energy NL
INES,Intelligent Investor Ethical Share Fund (Managed Fund)
INF,Infinity Lithium Corporation Limited
ING,Inghams Group Limited
INIF,Intelligent Investor Aus Equity Income Fund (Managed Fund)
INL,Innlanz Limited
INM,Iron Mountain Incorporated
INP,IncentiaPay Limited
INR,ioneer Ltd
INV,InvestSMART Group Limited
IOD,IODM Limited
IOF,Investa Office Fund
