yearmonth,ticker,industry,ret,rmrf,smb,hml,rmw,cma,wml,pmc,ticker_encode,date,winsor_ret,winsor_rmrf,winsor_smb,winsor_hml,winsor_rmw,winsor_cma,winsor_wml,winsor_pmc,_Nobs,_R2,_adjR2,_b_winsor_rmrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_rmw,_b_winsor_cma,_b_winsor_wml,_b_winsor_pmc,_b_cons
202102,ABC,206,.13240418,.02494066,-.0075854515,.024443671,-.040298123,.0047184187,-.030533146,.025284916,ABC,2021m2,.13240418,.02494066,-.0075854515,.024443671,-.040298123,.0047184187,-.030533146,.025284916,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202006,ABC,206,.16911764,.035593837,-.058444761,-.017111029,-.037001677,-.037777897,.00025689954,-.0016902292,ABC,2020m6,.16911764,.035593837,-.058444761,-.017111029,-.037001677,-.037777897,.00025689954,-.0016902292,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202109,ABC,206,-.058309037,-.024216058,.045690466,.036834721,.0013099505,.016985638,.031134471,-.087638296,ABC,2021m9,-.058309037,-.024216058,.045690466,.036834721,.0013099505,.016985638,.031134471,-.087638296,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202004,ABC,206,.31884059,.10425772,-.048922099,-.11277871,.0013920193,-.092935197,-.013843284,-.0039120009,ABC,2020m4,.31884059,.10425772,-.048922099,-.10561209,.0013920193,-.092935197,-.013843284,-.0039120009,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202111,ABC,206,-.03691275,.0064090383,.074333228,.047926456,.094508007,.0601792,.045919541,.052651878,ABC,2021m11,-.03691275,.0064090383,.074333228,.047926456,.094508007,.0601792,.045919541,.052651878,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202011,ABC,206,.091872789,.1159729,-.065595724,-.028150953,-.040823102,-.031962126,-.12695561,-.041992866,ABC,2020m11,.091872789,.10425772,-.065595724,-.028150953,-.040823102,-.031962126,-.12695561,-.041992866,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202112,ABC,206,-.017421603,.031444404,-.01356483,.010458544,.025620837,.0025820283,-.015435502,-.0018051274,ABC,2021m12,-.017421603,.031444404,-.01356483,.010458544,.025620837,.0025820283,-.015435502,-.0018051274,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202101,ABC,206,-.14328358,.0055757812,.025690803,.015213263,-.036066242,.014608789,.066089787,-.025749048,ABC,2021m1,-.14328358,.0055757812,.025690803,.015213263,-.036066242,.014608789,.066089787,-.025749048,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202003,ABC,206,-.31,-.17508224,.030316567,.068879485,.044685215,.076486416,.027041361,.085492611,ABC,2020m3,-.25675213,-.099070437,.030316567,.068879485,.044685215,.076486416,.027041361,.055145532,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202007,ABC,206,-.30503145,.017012123,-.026258949,-.10561209,-.027686164,-.055564426,.024264453,-.0049992073,ABC,2020m7,-.25675213,.017012123,-.026258949,-.10561209,-.027686164,-.055564426,.024264453,-.0049992073,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202008,ABC,206,.15384616,.031946968,-.015151849,-.057523564,-.012503617,-.069293484,.014371037,.0059428113,ABC,2020m8,.15384616,.031946968,-.015151849,-.057523564,-.012503617,-.069293484,.014371037,.0059428113,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202108,ABC,206,-.031073445,.019450434,.015629625,-.024621228,-.014457887,-.033275161,.070773296,-.077133432,ABC,2021m8,-.031073445,.019450434,.015629625,-.024621228,-.014457887,-.033275161,.070773296,-.077133432,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202012,ABC,206,.084142394,.032206435,-.027641002,-.064692393,-.014682614,-.040503401,.018433265,.042402066,ABC,2020m12,.084142394,.032206435,-.027641002,-.064692393,-.014682614,-.040503401,.018433265,.042402066,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202005,ABC,206,-.0036630037,.056262679,.041350443,-.099257998,.056239557,-.041969426,-.0093317013,-.052551419,ABC,2020m5,-.0036630037,.056262679,.041350443,-.099257998,.056239557,-.041969426,-.0093317013,-.052551419,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202103,ABC,206,.070769228,.018034449,.0062767561,.072187833,.027491884,.044381596,-.0096860826,-.062186133,ABC,2021m3,.070769228,.018034449,.0062767561,.072187833,.027491884,.044381596,-.0096860826,-.062186133,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202104,ABC,206,-.074712642,.046335734,-.002041975,-.037920754,-.01348017,-.044959646,.043221992,.0088621872,ABC,2021m4,-.074712642,.046335734,-.002041975,-.037920754,-.01348017,-.044959646,.043221992,.0088621872,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202009,ABC,206,.11764706,-.035433196,.064302169,.036057342,.026435481,.018572453,.041954614,.0043717888,ABC,2020m9,.11764706,-.035433196,.064302169,.036057342,.026435481,.018572453,.041954614,.0043717888,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202110,ABC,206,-.077399381,-.0012682996,-.031974263,-.046489399,-.056420807,-.047253352,-.040377762,-.0011289456,ABC,2021m10,-.077399381,-.0012682996,-.031974263,-.046489399,-.056420807,-.047253352,-.040377762,-.0011289456,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202001,ABC,206,.05202312,.039854653,.026935395,.011097918,.053192265,.0354793,.080699466,.0098088961,ABC,2020m1,.05202312,.039854653,.026935395,.011097918,.053192265,.0354793,.080699466,.0098088961,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202010,ABC,206,-.007017544,.023161257,.0047466783,.0079757525,.01170937,.013222999,.013021181,-.02006318,ABC,2020m10,-.007017544,.023161257,.0047466783,.0079757525,.01170937,.013222999,.013021181,-.02006318,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202107,ABC,206,.020172911,.02261422,.03139504,.019987157,.055229373,-.0038471748,.0087829838,.032293957,ABC,2021m7,.020172911,.02261422,.03139504,.019987157,.055229373,-.0038471748,.0087829838,.032293957,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202106,ABC,206,.045180723,.025606615,.033699121,.017464086,.028355947,.0099630887,.036267959,-.022685332,ABC,2021m6,.045180723,.025606615,.033699121,.017464086,.028355947,.0099630887,.036267959,-.022685332,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202105,ABC,206,.031055901,.021808079,.0022735537,.018580506,.027237281,.026834641,-.017153865,.011839115,ABC,2021m5,.031055901,.021808079,.0022735537,.018580506,.027237281,.026834641,-.017153865,.011839115,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
202002,ABC,206,-.17582418,-.088748544,.010764377,.067450456,.0033436539,.032717351,-.0018096262,.0070900642,ABC,2020m2,-.17582418,-.088748544,.010764377,.067450456,.0033436539,.032717351,-.0018096262,.0070900642,24,.6277672294334218,.4649153923105438,2.0834840795577,.0450898453749375,3.054121353812731,.9606494269933148,-3.827899589925106,-.03709651381266,.5195517342451915,-.0391766260116093
201405,ABY1,54,-.13043478,-.023956224,-.0088153025,.012411557,-.013200194,.0061331899,.010717395,-.011335436,ABY1,2014m5,-.13043478,-.023956224,-.0088153025,.012411557,-.013200194,.0061331899,.010717395,-.011335436,74,.5601419313489525,.5134903180071748,1.365408319212872,1.222130068654413,.9126766583075858,-.3051618263284386,-2.714708452968724,-.5531073718367754,.4572765253657664,.0304169863753491
201309,ABY1,54,-.078947365,-.0020429653,-.03513876,-.057917133,-.037541542,-.033697091,-.024182072,-.021196673,ABY1,2013m9,-.078947365,-.0020429653,-.03513876,-.057917133,-.037541542,-.033697091,-.024182072,-.021196673,74,.5601419313489525,.5134903180071748,1.365408319212872,1.222130068654413,.9126766583075858,-.3051618263284386,-2.714708452968724,-.5531073718367754,.4572765253657664,.0304169863753491
201411,ABY1,54,-.125,-.035074618,.039365388,.060208693,.013751972,.037706219,.088207163,.0014760898,ABY1,2014m11,-.125,-.035074618,.039365388,.060208693,.013751972,.037706219,.088207163,.0014760898,74,.5601419313489525,.5134903180071748,1.365408319212872,1.222130068654413,.9126766583075858,-.3051618263284386,-2.714708452968724,-.5531073718367754,.4572765253657664,.0304169863753491
201210,ABY1,54,-.041666668,.00073148299,.0025395255,.0018337248,.01584891,.021394487,.0066735013,.037734047,ABY1,2012m10,-.041666668,.00073148299,.0025395255,.0018337248,.01584891,.021394487,.0066735013,.037734047,74,.5601419313489525,.5134903180071748,1.365408319212872,1.222130068654413,.9126766583075858,-.3051618263284386,-2.714708452968724,-.5531073718367754,.4572765253657664,.0304169863753491
